,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.43,1.36,-4.9
2024-10-29 20:00:00-04:00,1.23,1.32,7.36
2024-07-31 20:00:00-04:00,1.07,1.01,-5.59
2024-05-01 20:00:00-04:00,0.96,2.76,187.39
2024-02-12 19:00:00-05:00,1.04,7.85,656.09
2023-11-01 20:00:00-04:00,0.72,0.9,25.74
2023-08-02 20:00:00-04:00,0.57,0.54,-4.87
2023-05-03 20:00:00-04:00,0.5,0.3,-40.55
