,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-08-05 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,1.7,1.9,11.57
2024-11-05 19:00:00-05:00,1.55,2.02,29.99
2024-08-07 20:00:00-04:00,1.6,2.01,25.65
2024-04-24 20:00:00-04:00,-1.49,-1.32,11.59
2024-02-05 19:00:00-05:00,1.76,1.72,-2.24
2023-11-06 19:00:00-05:00,1.92,2.29,19.44
2023-08-02 20:00:00-04:00,1.64,1.66,1.06
2023-04-26 20:00:00-04:00,1.54,1.37,-10.81
