,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,54.77,56.89,54.46,56.82,22478200,0.0,0.0
2020-02-24,60.24,60.75,58.36,59.43,42905000,0.0,0.0
2020-02-25,60.11,60.2,56.27,57.15,39199200,0.0,0.0
2020-02-26,58.14,61.52,57.65,60.9,35000500,0.0,0.0
2020-02-27,63.84,64.3,58.91,59.23,51482500,0.0,0.0
2020-02-28,57.2,57.95,54.32,56.54,33786900,0.0,0.0
2020-03-02,57.33,61.48,57.13,61.47,31113000,0.0,0.0
2020-03-03,60.55,60.99,58.3,60.5,24482000,0.0,0.0
2020-03-04,61.06,61.97,59.18,61.97,23741700,0.0,0.0
2020-03-05,61.14,63.18,60.76,62.06,22727600,0.0,0.0
2020-03-06,61.4,65.54,61.22,65.4,31704700,0.0,0.0
2020-03-09,63.52,63.74,59.58,59.94,32839400,0.0,0.0
2020-03-10,61.56,61.6,56.07,58.97,27660000,0.0,0.0
2020-03-11,60.24,61.45,59.33,60.08,32018600,0.0,0.0
2020-03-12,57.96,59.95,55.85,56.43,26364600,0.68,0.0
2020-03-13,59.18,59.24,55.54,58.21,30116100,0.0,0.0
2020-03-16,55.33,59.9,53.0,56.69,26764600,0.0,0.0
2020-03-17,57.6,62.6,56.77,61.32,28823700,0.0,0.0
2020-03-18,60.57,65.83,60.04,65.35,34965900,0.0,0.0
2020-03-19,66.63,70.74,64.42,64.63,46268200,0.0,0.0
2020-03-20,65.41,67.14,59.38,60.28,35110200,0.0,0.0
2020-03-23,61.96,61.96,56.66,59.74,19875200,0.0,0.0
2020-03-24,61.82,62.39,59.33,60.86,20608100,0.0,0.0
2020-03-25,60.78,61.29,57.05,57.32,24138100,0.0,0.0
2020-03-26,57.51,60.81,57.39,60.77,18351900,0.0,0.0
2020-03-27,60.65,62.03,59.17,59.94,16521600,0.0,0.0
2020-03-30,62.0,62.88,60.8,62.48,15929400,0.0,0.0
2020-03-31,62.49,62.81,60.72,61.51,12111900,0.0,0.0
2020-04-01,61.15,61.21,59.24,59.66,12177600,0.0,0.0
2020-04-02,59.09,63.75,58.73,63.34,20482100,0.0,0.0
2020-04-03,63.69,65.39,62.83,64.35,19421800,0.0,0.0
2020-04-06,65.2,65.54,62.44,63.96,19101100,0.0,0.0
2020-04-07,63.6,63.92,59.65,61.44,19917900,0.0,0.0
2020-04-08,61.49,61.82,60.53,61.7,12215400,0.0,0.0
2020-04-09,61.19,61.38,60.02,60.48,12798600,0.0,0.0
2020-04-13,62.37,62.53,60.66,61.94,16255600,0.0,0.0
2020-04-14,62.52,64.06,61.99,63.97,14379300,0.0,0.0
2020-04-15,62.67,63.02,61.27,61.41,11397400,0.0,0.0
2020-04-16,61.58,63.32,61.26,62.98,20935400,0.0,0.0
2020-04-17,70.08,70.59,66.66,69.11,94348500,0.0,0.0
2020-04-20,68.29,70.09,66.36,66.86,31003600,0.0,0.0
2020-04-21,66.03,67.67,64.39,64.62,19989400,0.0,0.0
2020-04-22,65.48,67.11,64.85,66.9,13970300,0.0,0.0
2020-04-23,67.61,69.12,61.22,64.0,65439700,0.0,0.0
2020-04-24,63.44,65.95,62.74,65.53,24424200,0.0,0.0
2020-04-27,65.74,66.15,64.38,65.74,14640700,0.0,0.0
2020-04-28,65.73,65.88,64.25,64.73,9778200,0.0,0.0
2020-04-29,69.09,69.95,65.87,68.41,78230200,0.0,0.0
2020-04-30,70.33,70.49,66.92,69.12,39332600,0.0,0.0
2020-05-01,66.81,66.98,63.87,65.78,34498100,0.0,0.0
2020-05-04,67.16,67.27,65.16,66.03,19203000,0.0,0.0
2020-05-05,65.27,65.69,64.6,65.12,14925900,0.0,0.0
2020-05-06,64.92,65.3,63.57,63.74,12591900,0.0,0.0
2020-05-07,64.1,64.53,63.2,63.86,13491700,0.0,0.0
2020-05-08,63.98,64.54,63.25,63.76,10539200,0.0,0.0
2020-05-11,63.99,66.58,63.87,66.48,13340500,0.0,0.0
2020-05-12,66.0,66.22,64.11,64.14,12140800,0.0,0.0
2020-05-13,65.25,65.29,63.27,63.41,11166300,0.0,0.0
2020-05-14,62.99,64.02,62.39,63.55,10711900,0.0,0.0
2020-05-15,62.92,63.23,62.08,62.75,12350800,0.0,0.0
2020-05-18,62.91,62.95,60.77,61.51,16586800,0.0,0.0
2020-05-19,60.62,61.59,59.49,59.52,14152000,0.0,0.0
2020-05-20,59.91,60.96,59.83,60.8,13429500,0.0,0.0
2020-05-21,60.45,60.83,59.97,60.48,7193500,0.0,0.0
2020-05-22,60.14,60.47,59.83,60.35,6268500,0.0,0.0
2020-05-26,60.87,61.14,59.58,60.21,12308100,0.0,0.0
2020-05-27,59.56,61.69,59.56,61.63,11752300,0.0,0.0
2020-05-28,61.7,62.67,61.64,61.97,10511700,0.0,0.0
2020-05-29,62.34,64.28,61.39,64.04,24375100,0.0,0.0
2020-06-01,62.1,63.27,61.2,61.84,14665300,0.0,0.0
2020-06-02,61.19,61.41,60.03,60.28,16897900,0.0,0.0
2020-06-03,61.2,61.34,60.36,61.22,12654500,0.0,0.0
2020-06-04,60.99,64.33,60.84,63.8,14740900,0.0,0.0
2020-06-05,63.15,63.79,62.7,63.15,11047100,0.0,0.0
2020-06-08,65.25,65.26,63.13,63.33,17973400,0.0,0.0
2020-06-09,63.36,64.29,63.1,63.84,7804300,0.0,0.0
2020-06-10,64.02,64.5,63.26,63.41,7790800,0.0,0.0
2020-06-11,63.04,63.27,60.39,60.47,12098200,0.68,0.0
2020-06-12,60.87,61.2,59.7,60.77,8375600,0.0,0.0
2020-06-15,60.82,61.82,60.11,61.41,6411800,0.0,0.0
2020-06-16,61.92,62.81,61.18,61.94,9619700,0.0,0.0
2020-06-17,61.87,62.1,61.14,61.23,7534100,0.0,0.0
2020-06-18,60.92,61.58,60.61,61.46,5516100,0.0,0.0
2020-06-19,61.86,64.75,61.51,64.31,19322700,0.0,0.0
2020-06-22,63.49,63.71,62.29,62.82,8943000,0.0,0.0
2020-06-23,62.82,63.15,62.1,62.3,7117100,0.0,0.0
2020-06-24,62.18,63.13,62.04,63.03,7982000,0.0,0.0
2020-06-25,62.92,62.99,61.7,62.67,7172900,0.0,0.0
2020-06-26,62.34,62.57,61.21,61.9,10389200,0.0,0.0
2020-06-29,63.53,63.56,61.55,61.9,8775300,0.0,0.0
2020-06-30,61.71,64.05,61.36,63.87,9402600,0.0,0.0
2020-07-01,64.0,64.11,63.01,63.14,7786900,0.0,0.0
2020-07-02,63.35,64.0,62.8,63.38,6381000,0.0,0.0
2020-07-06,64.34,64.47,63.15,63.72,7056600,0.0,0.0
2020-07-07,63.5,63.89,63.35,63.44,5055700,0.0,0.0
2020-07-08,63.67,63.92,62.2,62.77,6293500,0.0,0.0
2020-07-09,62.35,62.96,61.39,62.02,5199800,0.0,0.0
2020-07-10,63.17,63.8,62.69,63.36,9553800,0.0,0.0
2020-07-13,63.52,65.03,63.05,63.66,9626600,0.0,0.0
2020-07-14,63.27,64.21,62.63,64.08,6904200,0.0,0.0
2020-07-15,63.91,64.16,63.29,63.63,6018800,0.0,0.0
2020-07-16,63.59,63.71,62.78,63.62,4862200,0.0,0.0
2020-07-17,63.53,64.46,63.27,64.34,6940100,0.0,0.0
2020-07-20,64.54,65.53,64.15,64.82,6974400,0.0,0.0
