,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,23.21,23.53,22.96,23.24,5771700,0.0,0.0
2020-02-25,23.4,23.41,21.83,22.14,12039900,0.0,0.0
2020-02-26,22.36,22.63,21.73,21.73,7331300,0.0,0.0
2020-02-27,21.13,21.86,20.56,20.87,10953900,0.22,0.0
2020-02-28,20.01,20.93,19.8,20.72,13670400,0.0,0.0
2020-03-02,20.87,21.43,20.41,21.42,8283900,0.0,0.0
2020-03-03,21.29,22.06,20.6,20.74,7959800,0.0,0.0
2020-03-04,21.06,21.79,20.76,21.79,6511000,0.0,0.0
2020-03-05,21.42,21.73,21.15,21.36,7953700,0.0,0.0
2020-03-06,20.54,21.69,20.5,21.6,9856800,0.0,0.0
2020-03-09,20.11,20.97,19.64,19.83,15034700,0.0,0.0
2020-03-10,20.69,21.02,19.7,21.0,9202400,0.0,0.0
2020-03-11,20.34,20.67,19.77,20.1,11517400,0.0,0.0
2020-03-12,18.49,19.39,17.68,17.77,8769200,0.0,0.0
2020-03-13,18.83,19.8,17.45,19.8,9033200,0.0,0.0
2020-03-16,17.22,17.49,15.99,16.55,12808000,0.0,0.0
2020-03-17,16.78,18.73,16.03,18.72,8982800,0.0,0.0
2020-03-18,17.23,18.72,16.84,18.67,7564000,0.0,0.0
2020-03-19,18.36,19.09,17.38,18.47,7353100,0.0,0.0
2020-03-20,18.54,18.76,16.31,16.38,7796400,0.0,0.0
2020-03-23,16.24,16.31,15.14,15.41,6781200,0.0,0.0
2020-03-24,16.24,17.43,15.82,17.38,7194500,0.0,0.0
2020-03-25,17.28,18.27,16.64,17.58,8754900,0.0,0.0
2020-03-26,17.62,19.07,17.29,18.94,6741500,0.0,0.0
2020-03-27,18.25,18.75,17.77,18.01,5685800,0.0,0.0
2020-03-30,18.16,18.58,17.6,18.48,6231300,0.0,0.0
2020-03-31,18.55,18.71,17.76,17.83,6099900,0.0,0.0
2020-04-01,16.95,17.09,16.29,16.59,6386600,0.0,0.0
2020-04-02,16.58,16.88,16.05,16.24,7654500,0.0,0.0
2020-04-03,16.16,16.36,15.47,15.55,7183200,0.0,0.0
2020-04-06,16.41,17.23,15.93,17.11,10797100,0.0,0.0
