,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,2.5,2.8,12.09
2024-10-30 20:00:00-04:00,1.95,2.25,15.48
2024-07-30 20:00:00-04:00,1.18,1.35,14.11
2024-04-30 20:00:00-04:00,0.72,0.88,22.68
2024-02-13 19:00:00-05:00,2.08,2.07,-0.65
2023-10-31 20:00:00-04:00,1.51,1.64,8.31
2023-08-01 20:00:00-04:00,1.14,1.08,-5.09
2023-05-02 20:00:00-04:00,0.49,0.63,29.55
