,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,2.96,2.95,-0.2
2024-10-29 20:00:00-04:00,3.12,3.08,-1.31
2024-08-06 20:00:00-04:00,2.9,2.93,1.03
2024-04-30 20:00:00-04:00,2.57,2.59,0.61
2024-02-13 19:00:00-05:00,2.64,2.65,0.46
2023-10-30 20:00:00-04:00,2.71,2.75,1.4
2023-07-31 20:00:00-04:00,2.59,2.62,1.34
2023-04-30 20:00:00-04:00,2.3,2.4,4.23
