,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,88.26,88.52,85.75,85.82,944000,0.0,0.0
2020-02-24,83.95,85.04,82.48,84.74,1044300,0.0,0.0
2020-02-25,84.82,85.78,81.07,81.75,1183700,0.0,0.0
2020-02-26,81.26,83.12,80.26,80.31,970800,0.0,0.0
2020-02-27,79.61,81.09,78.65,79.33,1346200,0.0,0.0
2020-02-28,77.96,78.96,75.92,78.54,2043500,0.0,0.0
2020-03-02,79.97,83.13,79.44,83.06,1475000,0.0,0.0
2020-03-03,83.18,84.36,79.43,80.04,1399600,0.0,0.0
2020-03-04,81.24,83.1,80.06,83.0,881600,0.0,0.0
2020-03-05,80.98,81.25,77.42,79.42,1512800,0.0,0.0
2020-03-06,77.16,78.18,75.49,77.77,1114700,0.0,0.0
2020-03-09,72.72,74.34,70.7,72.12,1173800,0.0,0.0
2020-03-10,74.07,75.33,72.0,75.01,1289400,0.0,0.0
2020-03-11,73.17,73.79,70.62,71.54,1103500,0.0,0.0
2020-03-12,67.49,69.18,64.32,64.76,1602900,0.0,0.0
2020-03-13,67.23,69.6,65.6,69.26,1430200,0.57,0.0
2020-03-16,61.79,65.83,60.45,63.45,1940400,0.0,0.0
2020-03-17,64.24,67.82,63.27,66.21,1600300,0.0,0.0
2020-03-18,63.04,64.45,58.77,64.22,1270500,0.0,0.0
2020-03-19,63.94,65.85,61.65,62.79,1091200,0.0,0.0
2020-03-20,63.45,63.45,58.85,59.13,1709000,0.0,0.0
2020-03-23,59.03,59.03,54.67,56.99,1658400,0.0,0.0
2020-03-24,59.68,63.42,58.41,63.02,1219900,0.0,0.0
2020-03-25,63.09,66.08,59.53,64.22,1551400,0.0,0.0
2020-03-26,64.63,67.12,63.66,66.48,1469500,0.0,0.0
2020-03-27,64.52,68.23,62.92,65.85,1260700,0.0,0.0
2020-03-30,66.16,69.17,64.85,68.68,1117700,0.0,0.0
2020-03-31,68.1,68.94,66.78,67.13,1023300,0.0,0.0
2020-04-01,64.47,66.7,62.88,63.95,1244300,0.0,0.0
2020-04-02,63.51,65.97,63.25,65.79,1345900,0.0,0.0
2020-04-03,65.69,66.36,63.27,64.09,1112400,0.0,0.0
2020-04-06,66.59,68.23,66.37,67.56,1387900,0.0,0.0
2020-04-07,69.43,70.29,65.94,66.48,1484200,0.0,0.0
2020-04-08,66.89,69.61,66.32,69.28,1106100,0.0,0.0
2020-04-09,70.55,71.41,69.51,70.44,1327000,0.0,0.0
2020-04-13,70.37,70.37,68.82,69.69,1060200,0.0,0.0
2020-04-14,70.95,73.81,70.68,73.43,1030300,0.0,0.0
2020-04-15,71.59,72.01,69.54,69.79,1090000,0.0,0.0
2020-04-16,69.97,70.82,69.25,70.45,1122200,0.0,0.0
2020-04-17,72.52,74.56,72.11,73.54,2604900,0.0,0.0
2020-04-20,72.91,73.21,71.23,71.69,863600,0.0,0.0
2020-04-21,70.37,71.16,69.61,69.89,913100,0.0,0.0
2020-04-22,71.26,71.6,70.31,70.72,622700,0.0,0.0
2020-04-23,70.46,72.12,70.46,71.02,661300,0.0,0.0
2020-04-24,71.41,71.96,70.2,70.68,719200,0.0,0.0
2020-04-27,70.55,72.77,70.12,72.31,994100,0.0,0.0
2020-04-28,73.68,75.2,73.17,74.69,1092000,0.0,0.0
2020-04-29,77.07,78.36,73.98,74.25,1778600,0.0,0.0
2020-04-30,73.66,73.76,71.31,72.69,1527400,0.0,0.0
2020-05-01,71.41,72.69,70.95,71.48,1089200,0.0,0.0
2020-05-04,70.85,71.7,70.54,71.4,1029600,0.0,0.0
2020-05-05,71.81,73.25,71.57,72.33,1014400,0.0,0.0
2020-05-06,72.8,73.21,70.43,70.51,813400,0.0,0.0
2020-05-07,70.99,71.81,69.84,69.89,950000,0.0,0.0
2020-05-08,71.2,72.97,70.31,72.85,1063900,0.0,0.0
2020-05-11,72.08,73.19,71.65,72.39,722200,0.0,0.0
2020-05-12,72.57,73.15,71.13,71.13,643600,0.0,0.0
2020-05-13,70.73,70.98,68.97,70.01,968900,0.0,0.0
2020-05-14,69.27,69.54,68.08,69.23,1062800,0.0,0.0
2020-05-15,69.23,71.02,68.52,69.88,2454700,0.0,0.0
2020-05-18,71.77,73.73,71.32,73.34,877200,0.0,0.0
2020-05-19,73.48,74.52,73.05,73.48,960100,0.0,0.0
2020-05-20,74.17,75.28,73.81,75.11,962500,0.0,0.0
2020-05-21,75.11,76.04,74.86,75.41,774100,0.0,0.0
2020-05-22,75.1,75.67,74.9,75.13,688800,0.0,0.0
2020-05-26,76.31,78.36,76.31,77.59,946000,0.0,0.0
2020-05-27,78.36,79.38,77.6,78.93,1061700,0.0,0.0
2020-05-28,80.16,81.88,79.22,81.42,2095300,0.0,0.0
2020-05-29,81.21,81.62,80.28,80.76,2731700,0.0,0.0
2020-06-01,80.95,82.32,80.42,81.09,951200,0.0,0.0
2020-06-02,81.36,82.89,81.05,82.79,1003100,0.0,0.0
2020-06-03,83.73,86.43,82.97,85.73,1356900,0.0,0.0
2020-06-04,85.42,85.47,83.17,83.53,1226700,0.0,0.0
2020-06-05,85.65,87.12,84.34,86.45,1116700,0.0,0.0
2020-06-08,86.53,88.97,86.53,88.93,1100200,0.0,0.0
2020-06-09,87.88,88.58,87.0,87.88,830000,0.0,0.0
2020-06-10,88.25,88.25,86.27,86.82,868500,0.0,0.0
2020-06-11,84.88,84.97,81.77,81.88,928200,0.0,0.0
2020-06-12,83.52,84.3,81.25,82.65,627000,0.61,0.0
2020-06-15,82.68,84.76,81.69,84.36,951400,0.0,0.0
2020-06-16,86.17,86.52,83.65,85.72,1059000,0.0,0.0
2020-06-17,86.38,87.02,85.64,86.53,838900,0.0,0.0
2020-06-18,85.86,86.54,85.13,85.82,729900,0.0,0.0
2020-06-19,87.22,88.66,85.48,88.66,3615800,0.0,0.0
2020-06-22,87.66,88.99,86.55,87.93,1463900,0.0,0.0
2020-06-23,88.55,89.21,88.1,88.11,928700,0.0,0.0
2020-06-24,87.21,87.66,85.03,85.91,765700,0.0,0.0
2020-06-25,85.41,86.84,84.81,86.76,591500,0.0,0.0
2020-06-26,86.55,86.88,85.09,85.53,872100,0.0,0.0
2020-06-29,85.56,86.76,85.27,86.69,1559000,0.0,0.0
2020-06-30,87.16,88.42,86.72,87.91,1003500,0.0,0.0
2020-07-01,88.37,88.94,87.49,87.57,780000,0.0,0.0
2020-07-02,88.41,89.07,87.58,87.93,577700,0.0,0.0
2020-07-06,89.08,89.67,88.55,89.33,819600,0.0,0.0
2020-07-07,88.38,89.76,88.27,89.01,580800,0.0,0.0
2020-07-08,89.29,89.58,87.78,88.52,547900,0.0,0.0
2020-07-09,88.58,88.8,86.6,87.38,758100,0.0,0.0
2020-07-10,87.12,87.58,85.9,87.54,779500,0.0,0.0
2020-07-13,88.13,88.94,86.88,87.0,809900,0.0,0.0
2020-07-14,86.36,88.32,85.95,88.21,724000,0.0,0.0
2020-07-15,88.2,89.97,88.2,89.67,785600,0.0,0.0
2020-07-16,89.62,91.43,89.43,91.1,1257000,0.0,0.0
2020-07-17,90.97,91.06,89.38,90.54,1191900,0.0,0.0
2020-07-20,90.52,90.55,89.67,90.34,648800,0.0,0.0
2020-07-21,90.16,90.86,89.94,89.99,693900,0.0,0.0
2020-07-22,90.0,91.48,89.97,91.38,768800,0.0,0.0
2020-07-23,91.43,92.33,89.71,90.34,687700,0.0,0.0
2020-07-24,87.46,89.46,86.72,87.22,1806700,0.0,0.0
2020-07-27,85.51,90.8,85.21,90.42,1657200,0.0,0.0
2020-07-28,90.75,90.77,88.96,89.58,1548100,0.0,0.0
2020-07-29,92.97,93.76,85.67,89.06,1807000,0.0,0.0
2020-07-30,87.98,90.64,87.54,90.17,1160700,0.0,0.0
2020-07-31,90.17,90.31,87.53,88.89,983600,0.0,0.0
2020-08-03,89.37,90.63,88.99,90.13,951700,0.0,0.0
2020-08-04,89.89,90.25,89.42,90.11,829300,0.0,0.0
2020-08-05,90.51,92.52,90.27,92.29,938800,0.0,0.0
2020-08-06,92.05,92.52,91.05,92.26,592000,0.0,0.0
2020-08-07,92.23,92.4,91.47,91.87,681200,0.0,0.0
2020-08-10,91.77,92.24,91.54,92.06,805500,0.0,0.0
2020-08-11,92.38,93.26,91.34,91.51,871000,0.0,0.0
2020-08-12,91.8,93.36,91.45,93.12,619900,0.0,0.0
2020-08-13,93.08,94.59,92.65,94.33,987200,0.0,0.0
2020-08-14,94.16,94.38,93.47,94.02,607900,0.0,0.0
2020-08-17,94.35,94.64,93.81,94.2,558300,0.0,0.0
2020-08-18,94.42,94.42,93.43,93.97,669800,0.0,0.0
2020-08-19,94.31,95.12,93.68,93.76,790600,0.0,0.0
2020-08-20,93.29,93.32,92.24,92.81,607900,0.0,0.0
2020-08-21,92.86,92.98,92.22,92.35,768500,0.0,0.0
2020-08-24,92.74,93.68,92.74,93.44,688800,0.0,0.0
2020-08-25,94.19,94.19,93.0,93.44,510900,0.0,0.0
2020-08-26,93.61,94.45,93.24,94.37,724400,0.0,0.0
2020-08-27,94.9,94.97,92.35,92.48,845800,0.0,0.0
2020-08-28,93.34,93.65,92.56,93.55,545400,0.0,0.0
2020-08-31,93.43,94.28,92.97,93.42,770100,0.0,0.0
2020-09-01,93.25,93.8,92.64,93.77,695700,0.0,0.0
2020-09-02,94.2,95.57,93.41,95.4,772700,0.0,0.0
2020-09-03,95.54,95.56,90.95,91.34,858400,0.0,0.0
2020-09-04,92.24,92.79,90.46,91.72,906300,0.0,0.0
2020-09-08,91.0,91.16,89.4,89.58,883200,0.0,0.0
2020-09-09,90.72,92.01,90.55,91.19,681400,0.0,0.0
2020-09-10,92.06,92.28,89.19,89.62,815500,0.0,0.0
2020-09-11,90.51,91.02,89.78,90.21,657700,0.0,0.0
2020-09-14,90.72,90.85,89.92,90.44,642700,0.61,0.0
2020-09-15,91.0,91.89,90.56,90.7,600300,0.0,0.0
2020-09-16,90.91,91.18,89.09,89.25,773900,0.0,0.0
2020-09-17,88.83,89.67,87.97,89.08,742000,0.0,0.0
2020-09-18,89.28,90.03,87.19,87.39,1403100,0.0,0.0
2020-09-21,86.58,86.58,84.57,85.51,879000,0.0,0.0
2020-09-22,85.3,86.53,84.94,86.31,960000,0.0,0.0
2020-09-23,87.19,87.37,84.55,84.78,826500,0.0,0.0
2020-09-24,84.53,86.55,83.63,84.07,640400,0.0,0.0
2020-09-25,83.84,85.15,83.31,84.86,536100,0.0,0.0
2020-09-28,86.1,86.91,85.24,86.52,550600,0.0,0.0
2020-09-29,86.7,86.89,86.05,86.19,487600,0.0,0.0
2020-09-30,86.49,86.94,85.61,86.05,750800,0.0,0.0
2020-10-01,86.89,87.02,85.59,85.89,627800,0.0,0.0
2020-10-02,85.04,86.86,85.04,86.12,501700,0.0,0.0
2020-10-05,86.85,87.68,86.67,87.58,562900,0.0,0.0
2020-10-06,87.58,88.16,86.11,86.31,581400,0.0,0.0
2020-10-07,86.97,88.17,86.9,87.92,586900,0.0,0.0
2020-10-08,88.46,89.09,87.92,89.02,491900,0.0,0.0
2020-10-09,89.33,90.22,89.19,89.64,539100,0.0,0.0
2020-10-12,90.05,90.25,89.57,89.87,412300,0.0,0.0
2020-10-13,89.57,90.11,88.92,89.64,395300,0.0,0.0
2020-10-14,89.82,90.12,88.59,89.34,440400,0.0,0.0
2020-10-15,88.63,90.06,88.31,89.83,369400,0.0,0.0
2020-10-16,89.8,90.61,89.49,89.92,808000,0.0,0.0
2020-10-19,90.33,91.02,88.4,88.65,468400,0.0,0.0
2020-10-20,89.2,90.87,88.76,89.62,500100,0.0,0.0
2020-10-21,89.83,90.38,88.53,89.25,428500,0.0,0.0
2020-10-22,89.16,90.33,89.16,89.84,485700,0.0,0.0
2020-10-23,90.4,91.56,89.82,91.48,701000,0.0,0.0
2020-10-26,90.74,90.93,89.43,90.19,730100,0.0,0.0
2020-10-27,89.99,90.86,89.38,89.45,575700,0.0,0.0
2020-10-28,90.82,92.23,88.42,88.51,1444800,0.0,0.0
2020-10-29,88.46,92.83,88.46,91.38,1103600,0.0,0.0
2020-10-30,91.97,95.47,91.83,94.36,1946600,0.0,0.0
2020-11-02,95.33,99.7,95.27,99.69,2065600,0.0,0.0
2020-11-03,100.97,101.4,99.25,100.35,1914900,0.0,0.0
2020-11-04,100.8,102.57,99.94,100.93,1159300,0.0,0.0
2020-11-05,101.6,103.81,101.15,102.75,1725600,0.0,0.0
2020-11-06,103.05,105.49,102.7,104.49,1009700,0.0,0.0
2020-11-09,109.12,109.24,104.49,104.57,1666300,0.0,0.0
2020-11-10,103.36,104.27,102.83,103.58,1200000,0.0,0.0
2020-11-11,104.22,105.12,103.58,104.16,713900,0.0,0.0
2020-11-12,104.69,104.9,102.73,103.19,634800,0.0,0.0
2020-11-13,103.46,104.94,103.22,104.89,595600,0.0,0.0
2020-11-16,106.16,106.78,105.37,106.6,862000,0.0,0.0
2020-11-17,106.29,106.64,105.75,106.44,606700,0.0,0.0
2020-11-18,106.45,106.45,103.65,103.69,818500,0.0,0.0
2020-11-19,104.04,104.69,102.34,103.68,571200,0.0,0.0
2020-11-20,103.86,104.51,102.96,103.86,653000,0.0,0.0
2020-11-23,104.22,104.67,103.48,104.01,578100,0.0,0.0
2020-11-24,104.98,106.38,103.96,105.65,676400,0.0,0.0
2020-11-25,105.49,105.87,104.39,105.57,678500,0.0,0.0
2020-11-27,105.96,107.05,105.57,106.18,399400,0.0,0.0
2020-11-30,105.35,106.2,103.7,105.92,1162400,0.0,0.0
2020-12-01,106.73,108.85,106.36,108.68,1008800,0.0,0.0
2020-12-02,108.86,108.86,106.85,107.48,639300,0.0,0.0
