,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,276.62,282.08,275.05,278.32,255300,0.0,0.0
2020-02-25,278.58,278.58,266.67,267.74,291600,0.0,0.0
2020-02-26,270.84,273.25,266.54,267.8,443800,0.0,0.0
2020-02-27,263.05,270.99,257.5,263.04,704900,0.0,0.0
2020-02-28,254.75,261.12,252.84,260.92,713000,0.0,0.0
2020-03-02,262.63,271.62,255.84,271.58,523400,0.0,0.0
2020-03-03,271.05,275.45,265.51,268.75,560200,0.0,0.0
2020-03-04,274.51,278.7,270.8,277.03,484400,0.0,0.0
2020-03-05,267.99,276.05,267.99,272.96,447000,0.0,0.0
2020-03-06,263.83,268.36,261.37,267.59,485400,0.0,0.0
2020-03-09,252.81,266.17,236.56,240.51,949100,0.0,0.0
2020-03-10,248.64,262.92,241.05,262.88,486800,0.0,0.0
2020-03-11,256.32,264.64,252.58,258.17,597700,0.0,0.0
2020-03-12,239.73,241.44,227.73,231.45,701200,0.0,0.0
2020-03-13,243.36,250.19,231.62,250.09,543300,0.0,0.0
2020-03-16,226.57,241.5,210.59,215.79,602800,0.0,0.0
2020-03-17,219.31,232.17,212.45,231.68,599300,0.0,0.0
2020-03-18,216.23,231.16,212.56,221.77,534900,0.0,0.0
2020-03-19,219.52,233.72,213.05,220.91,413100,0.0,0.0
2020-03-20,221.31,222.43,199.32,200.98,474200,0.0,0.0
2020-03-23,199.91,205.1,188.6,196.95,473200,0.0,0.0
2020-03-24,207.94,225.6,207.94,224.4,711400,0.0,0.0
2020-03-25,224.34,240.11,216.76,223.08,465700,0.0,0.0
2020-03-26,225.37,234.11,214.41,234.11,429600,0.0,0.0
2020-03-27,226.5,238.59,224.41,232.35,316300,0.0,0.0
2020-03-30,232.08,240.95,227.42,239.86,330600,0.0,0.0
2020-03-31,236.61,241.65,233.16,233.62,383200,0.0,0.0
2020-04-01,225.63,230.6,219.85,222.36,412400,0.0,0.0
2020-04-02,220.65,230.1,219.89,225.34,460400,0.0,0.0
2020-04-03,222.44,228.39,220.0,224.46,332900,0.0,0.0
2020-04-06,233.5,239.5,230.49,236.14,414500,0.0,0.0
2020-04-07,238.1,256.21,238.1,242.49,600900,0.0,0.0
2020-04-08,246.1,257.35,241.53,254.21,325900,0.0,0.0
2020-04-09,258.48,265.31,256.99,263.11,447000,0.0,0.0
2020-04-13,261.63,261.63,255.71,257.93,271000,0.0,0.0
2020-04-14,266.35,271.29,263.24,270.41,457600,0.0,0.0
2020-04-15,264.53,265.88,259.99,262.7,282100,0.0,0.0
2020-04-16,262.85,266.17,258.94,263.16,291200,0.0,0.0
2020-04-17,270.27,274.44,259.61,263.44,364000,0.0,0.0
2020-04-20,259.76,260.64,255.5,258.07,299200,0.0,0.0
2020-04-21,253.83,256.46,252.43,253.92,230100,0.0,0.0
2020-04-22,259.8,261.36,255.27,259.6,364100,0.0,0.0
2020-04-23,248.38,256.02,240.85,242.96,858600,0.0,0.0
2020-04-24,244.48,255.24,243.67,253.47,435600,0.0,0.0
2020-04-27,256.02,262.48,254.29,260.53,340300,0.0,0.0
2020-04-28,267.1,270.66,265.75,268.9,406400,0.0,0.0
2020-04-29,274.28,275.18,261.9,263.84,471900,0.0,0.0
2020-04-30,259.8,260.62,255.44,259.08,371000,0.0,0.0
2020-05-01,254.82,256.12,249.94,251.63,253200,0.0,0.0
2020-05-04,250.12,256.06,247.51,255.83,280200,0.0,0.0
2020-05-05,259.17,265.1,258.1,262.49,286900,0.0,0.0
2020-05-06,266.51,268.83,262.28,263.71,295400,0.0,0.0
2020-05-07,266.83,270.71,263.12,264.28,284400,0.0,0.0
2020-05-08,268.77,269.74,265.79,269.74,198200,1.44,0.0
2020-05-11,267.07,272.26,263.64,270.82,220100,0.0,0.0
2020-05-12,271.29,271.3,261.85,261.95,271700,0.0,0.0
2020-05-13,261.24,264.19,255.42,258.04,351400,0.0,0.0
2020-05-14,253.45,261.83,249.31,261.78,281000,0.0,0.0
2020-05-15,259.56,264.26,258.39,263.45,435000,0.0,0.0
2020-05-18,271.55,276.86,271.2,274.91,234200,0.0,0.0
2020-05-19,274.42,277.35,270.65,270.74,262800,0.0,0.0
2020-05-20,275.09,282.92,275.09,279.78,266300,0.0,0.0
2020-05-21,280.05,282.9,278.1,279.18,330900,0.0,0.0
2020-05-22,279.68,279.68,275.42,276.79,284700,0.0,0.0
2020-05-26,283.49,290.29,283.49,288.93,487500,0.0,0.0
2020-05-27,294.82,298.3,291.45,297.04,336800,0.0,0.0
2020-05-28,299.16,299.16,291.82,292.19,250400,0.0,0.0
2020-05-29,291.48,295.1,289.53,292.58,876800,0.0,0.0
2020-06-01,292.05,295.38,287.24,289.1,306000,0.0,0.0
2020-06-02,295.62,298.44,293.92,297.66,366600,0.0,0.0
2020-06-03,301.21,301.9,298.08,300.5,357700,0.0,0.0
2020-06-04,297.5,301.0,295.01,298.92,258400,0.0,0.0
2020-06-05,304.71,306.59,301.9,305.07,443000,0.0,0.0
2020-06-08,304.67,312.23,303.79,310.31,347200,0.0,0.0
2020-06-09,307.83,310.98,306.18,308.38,243200,0.0,0.0
2020-06-10,310.65,310.77,303.07,303.21,204400,0.0,0.0
2020-06-11,295.36,298.08,288.92,289.1,290800,0.0,0.0
2020-06-12,297.94,298.02,282.01,287.03,294000,0.0,0.0
2020-06-15,280.78,289.27,278.59,286.15,532000,0.0,0.0
