,EPS Estimate,Reported EPS,Surprise(%)
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,0.32,nan,nan
2024-10-23 20:00:00-04:00,1.28,1.73,35.37
2024-07-24 20:00:00-04:00,0.78,1.22,56.34
2024-04-23 20:00:00-04:00,0.27,0.61,127.19
2024-02-12 19:00:00-05:00,0.66,0.38,-42.14
2023-10-25 20:00:00-04:00,1.7,1.64,-3.39
2023-08-02 20:00:00-04:00,0.57,0.49,-13.92
2023-04-26 20:00:00-04:00,0.01,0.01,9.89
2023-02-15 19:00:00-05:00,1.29,1.31,1.75
