,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,81.28,81.29,74.49,74.59,3638000,0.0,0.0
2020-02-24,72.6,73.42,71.94,72.2,2284600,0.0,0.0
2020-02-25,72.5,72.67,68.5,68.82,1565900,0.0,0.0
2020-02-26,69.45,70.37,68.39,68.39,1820200,0.0,0.0
2020-02-27,67.32,68.58,65.83,65.91,2369400,0.0,0.0
2020-02-28,63.83,65.04,62.7,64.04,2288300,0.0,0.0
2020-03-02,64.1,65.93,63.05,65.73,1485900,0.0,0.0
2020-03-03,65.03,66.42,62.48,62.54,2577300,0.0,0.0
2020-03-04,63.42,64.55,62.55,64.54,2367600,0.0,0.0
2020-03-05,62.82,62.95,60.93,61.74,1286300,0.0,0.0
2020-03-06,59.6,61.22,58.8,60.31,1800600,0.0,0.0
2020-03-09,56.77,57.74,54.8,54.9,2254700,0.0,0.0
2020-03-10,57.08,57.32,53.0,55.75,2008000,0.0,0.0
2020-03-11,53.84,54.37,51.3,52.21,2602400,0.0,0.0
2020-03-12,48.53,49.07,44.58,44.59,2547500,0.0,0.0
2020-03-13,46.78,47.91,43.12,45.61,3069000,0.0,0.0
2020-03-16,41.03,41.8,37.05,37.08,2488500,0.0,0.0
2020-03-17,38.05,40.56,36.99,38.75,3130400,0.0,0.0
2020-03-18,36.83,40.09,34.26,38.81,2507100,0.0,0.0
2020-03-19,38.81,41.71,37.33,39.2,2495200,0.0,0.0
2020-03-20,39.77,41.92,37.83,38.22,2739100,0.0,0.0
2020-03-23,43.17,45.41,40.81,43.0,3802400,0.0,0.0
2020-03-24,45.59,52.39,45.47,52.32,3305500,0.0,0.0
2020-03-25,52.91,57.42,51.84,55.37,3121500,0.0,0.0
2020-03-26,55.25,59.04,53.95,56.61,1758700,0.0,0.0
2020-03-27,53.1,55.78,52.81,54.41,1322400,0.0,0.0
2020-03-30,54.06,60.18,53.88,59.26,1841500,0.0,0.0
2020-03-31,58.69,60.32,58.26,59.31,2456300,0.0,0.0
2020-04-01,56.4,59.83,55.75,58.1,2343100,0.0,0.0
2020-04-02,57.9,59.04,56.59,58.39,1468600,0.0,0.0
2020-04-03,58.52,59.81,55.1,55.49,1628400,0.0,0.0
2020-04-06,58.85,60.04,57.82,59.02,1250700,0.0,0.0
2020-04-07,61.94,62.66,60.6,61.69,1919200,0.0,0.0
2020-04-08,62.22,62.95,60.24,61.47,1194000,0.0,0.0
2020-04-09,62.36,64.87,61.56,62.73,1507900,0.0,0.0
2020-04-13,62.26,62.78,59.87,61.53,1003700,0.0,0.0
2020-04-14,62.51,63.62,61.32,61.89,1306900,0.0,0.0
2020-04-15,58.83,59.84,58.1,59.3,1598100,0.0,0.0
2020-04-16,59.89,61.21,59.16,60.52,1349700,0.0,0.0
2020-04-17,63.43,63.43,61.37,62.34,1306700,0.0,0.0
2020-04-20,61.75,64.14,61.55,62.74,1045800,0.0,0.0
2020-04-21,61.0,62.71,59.75,59.97,1267700,0.0,0.0
2020-04-22,61.06,62.05,60.71,61.47,787300,0.0,0.0
2020-04-23,61.44,61.92,60.25,60.32,1209400,0.0,0.0
2020-04-24,60.89,62.39,59.48,62.07,1540000,0.0,0.0
2020-04-27,62.75,64.16,62.67,63.63,1045700,0.0,0.0
2020-04-28,65.04,66.73,64.08,64.55,1926500,0.0,0.0
2020-04-29,62.93,63.4,60.06,60.44,3835300,0.0,0.0
2020-04-30,60.89,61.9,59.04,60.43,1860600,0.68,0.0
2020-05-01,59.12,59.4,57.1,57.51,1742400,0.0,0.0
2020-05-04,56.9,57.82,55.75,57.8,1120000,0.0,0.0
2020-05-05,58.99,59.12,56.18,56.24,1212700,0.0,0.0
2020-05-06,56.43,57.69,55.06,55.14,1229400,0.0,0.0
2020-05-07,56.02,57.68,55.91,57.22,911900,0.0,0.0
2020-05-08,57.73,58.51,57.09,58.32,719200,0.0,0.0
2020-05-11,57.81,58.12,56.48,57.4,772700,0.0,0.0
2020-05-12,57.56,57.58,54.81,54.84,819700,0.0,0.0
2020-05-13,55.06,55.06,51.89,52.58,1063900,0.0,0.0
2020-05-14,52.05,54.25,50.37,54.07,1064700,0.0,0.0
2020-05-15,53.72,54.63,52.59,54.22,1135100,0.0,0.0
2020-05-18,56.06,58.15,55.9,57.12,1264900,0.0,0.0
2020-05-19,57.46,57.92,56.37,56.88,848100,0.0,0.0
2020-05-20,57.76,58.01,57.04,57.62,677400,0.0,0.0
2020-05-21,57.33,57.71,56.42,57.57,691400,0.0,0.0
2020-05-22,57.47,57.68,55.62,55.81,1010100,0.0,0.0
2020-05-26,57.61,60.8,56.99,60.72,2309300,0.0,0.0
2020-05-27,61.6,62.73,60.45,61.38,1102400,0.0,0.0
2020-05-28,61.98,62.32,60.78,61.47,1289000,0.0,0.0
2020-05-29,62.09,62.17,60.71,61.51,1642000,0.0,0.0
2020-06-01,61.55,62.1,60.54,60.8,745400,0.0,0.0
2020-06-02,61.19,62.61,61.01,61.35,1050600,0.0,0.0
2020-06-03,62.17,64.68,62.13,64.59,1307000,0.0,0.0
2020-06-04,64.12,65.26,63.34,64.48,927000,0.0,0.0
2020-06-05,66.47,68.78,66.17,67.66,1154500,0.0,0.0
2020-06-08,68.43,70.28,68.24,70.22,1153000,0.0,0.0
2020-06-09,66.81,67.4,64.71,66.28,1110100,0.0,0.0
2020-06-10,66.18,66.18,63.57,63.7,813800,0.0,0.0
2020-06-11,61.5,61.65,58.89,59.48,918800,0.0,0.0
2020-06-12,61.57,62.37,60.37,62.17,800400,0.0,0.0
2020-06-15,60.55,63.83,59.83,63.19,856300,0.0,0.0
2020-06-16,65.33,65.6,63.22,64.53,680900,0.0,0.0
2020-06-17,64.71,64.91,63.49,64.14,548700,0.0,0.0
2020-06-18,63.19,64.19,62.73,62.89,755000,0.0,0.0
2020-06-19,64.13,64.13,59.57,59.7,3198300,0.0,0.0
2020-06-22,59.84,61.24,58.89,61.2,1204900,0.0,0.0
2020-06-23,62.53,62.53,61.19,61.73,697700,0.0,0.0
2020-06-24,60.99,61.0,58.73,59.36,999100,0.0,0.0
2020-06-25,58.79,59.27,58.01,58.88,1235900,0.0,0.0
2020-06-26,58.66,59.26,58.11,59.09,3389700,0.0,0.0
2020-06-29,60.31,61.75,59.29,61.75,1011800,0.0,0.0
2020-06-30,61.33,62.97,60.58,62.72,981400,0.0,0.0
2020-07-01,62.5,63.53,62.24,62.5,731600,0.0,0.0
2020-07-02,63.93,64.42,62.2,62.43,692600,0.0,0.0
2020-07-06,63.09,63.78,62.0,62.63,743600,0.0,0.0
2020-07-07,62.46,62.48,61.22,61.54,680000,0.0,0.0
2020-07-08,61.4,61.86,60.39,61.3,595300,0.0,0.0
2020-07-09,61.17,61.5,59.42,59.83,1182700,0.0,0.0
2020-07-10,59.84,62.09,59.75,62.07,670300,0.0,0.0
2020-07-13,62.76,63.12,60.89,61.6,649300,0.0,0.0
2020-07-14,61.63,62.58,61.17,62.44,589800,0.0,0.0
2020-07-15,63.09,65.84,62.88,65.55,765200,0.0,0.0
2020-07-16,65.27,66.39,64.52,64.86,599500,0.0,0.0
2020-07-17,65.13,66.07,64.48,64.84,789400,0.0,0.0
2020-07-20,64.42,65.47,64.17,65.27,762700,0.0,0.0
2020-07-21,66.13,67.56,65.77,65.97,910800,0.0,0.0
2020-07-22,64.67,66.86,64.67,66.23,689100,0.0,0.0
2020-07-23,66.58,67.61,66.21,66.78,858500,0.0,0.0
2020-07-24,67.15,67.61,64.45,64.93,1653100,0.0,0.0
2020-07-27,62.79,63.09,59.23,60.12,5159500,0.0,0.0
2020-07-28,60.09,61.41,59.55,60.59,1411100,0.0,0.0
2020-07-29,60.97,62.41,60.36,61.95,1123000,0.0,0.0
2020-07-30,61.36,61.82,60.68,61.34,761400,0.0,0.0
2020-07-31,61.26,61.54,60.03,61.46,1111300,0.68,0.0
2020-08-03,61.62,63.28,61.05,63.24,1113100,0.0,0.0
2020-08-04,62.71,63.53,62.44,63.23,1140500,0.0,0.0
2020-08-05,63.68,65.39,63.67,65.34,981800,0.0,0.0
2020-08-06,65.36,65.59,64.65,64.94,707800,0.0,0.0
2020-08-07,64.6,64.83,63.85,64.83,543800,0.0,0.0
2020-08-10,65.18,66.77,64.78,66.7,787600,0.0,0.0
2020-08-11,67.28,67.95,66.28,66.49,664600,0.0,0.0
2020-08-12,66.99,67.9,66.27,67.42,732600,0.0,0.0
2020-08-13,67.01,67.52,66.46,66.68,476900,0.0,0.0
2020-08-14,67.02,67.71,66.36,67.26,473400,0.0,0.0
2020-08-17,67.36,67.36,65.86,66.21,546700,0.0,0.0
2020-08-18,66.06,66.67,65.47,66.43,462900,0.0,0.0
2020-08-19,66.68,67.52,66.13,66.38,363300,0.0,0.0
2020-08-20,65.92,66.05,64.58,65.42,500000,0.0,0.0
2020-08-21,65.32,65.81,64.47,64.88,591100,0.0,0.0
2020-08-24,65.16,67.82,64.64,67.52,517000,0.0,0.0
2020-08-25,68.12,68.12,66.6,67.05,452800,0.0,0.0
2020-08-26,67.4,67.57,66.25,67.11,483100,0.0,0.0
2020-08-27,67.12,69.33,67.07,68.15,658300,0.0,0.0
2020-08-28,68.42,68.72,67.15,68.37,689100,0.0,0.0
2020-08-31,68.07,68.08,66.3,66.68,750400,0.0,0.0
2020-09-01,66.36,69.2,65.88,69.18,711100,0.0,0.0
2020-09-02,70.05,70.22,68.33,69.73,646000,0.0,0.0
2020-09-03,69.81,70.32,66.95,67.58,755800,0.0,0.0
2020-09-04,68.17,68.42,66.05,66.78,613400,0.0,0.0
2020-09-08,65.44,66.89,65.17,65.96,869900,0.0,0.0
2020-09-09,66.3,67.15,64.84,66.19,1463900,0.0,0.0
2020-09-10,66.77,67.57,66.05,66.36,1098500,0.0,0.0
2020-09-11,66.97,66.97,65.93,66.43,782200,0.0,0.0
2020-09-14,66.5,67.93,65.12,65.19,1099800,0.0,0.0
2020-09-15,65.4,66.25,64.53,65.38,1169500,0.0,0.0
2020-09-16,64.85,67.58,64.74,66.31,1105500,0.0,0.0
2020-09-17,65.22,68.07,65.12,67.92,1257000,0.0,0.0
2020-09-18,67.82,69.24,67.16,67.5,1765700,0.0,0.0
2020-09-21,66.24,66.33,63.85,64.25,1066900,0.0,0.0
2020-09-22,64.29,65.52,63.56,63.73,716800,0.0,0.0
2020-09-23,65.81,67.36,64.85,64.94,987500,0.0,0.0
2020-09-24,65.26,65.42,63.58,64.33,702500,0.0,0.0
2020-09-25,64.23,65.23,63.69,65.01,693700,0.0,0.0
2020-09-28,65.88,66.43,65.28,66.09,482400,0.0,0.0
2020-09-29,66.88,69.18,66.59,68.62,941600,0.0,0.0
2020-09-30,70.98,72.49,69.51,69.87,1427800,0.0,0.0
2020-10-01,70.1,71.47,69.58,70.06,765300,0.0,0.0
2020-10-02,68.73,71.06,67.77,70.08,812400,0.0,0.0
2020-10-05,70.27,71.44,69.97,70.18,808700,0.0,0.0
2020-10-06,70.88,71.79,69.92,70.15,815900,0.0,0.0
2020-10-07,71.19,71.94,70.66,71.74,521300,0.0,0.0
2020-10-08,72.06,74.33,71.81,74.29,742000,0.0,0.0
2020-10-09,74.46,76.02,74.42,75.31,836100,0.0,0.0
2020-10-12,75.55,75.73,73.53,74.11,708600,0.0,0.0
2020-10-13,74.19,74.19,72.83,73.39,644200,0.0,0.0
2020-10-14,73.8,74.45,72.43,72.51,607000,0.0,0.0
2020-10-15,71.81,73.52,71.71,73.32,492100,0.0,0.0
2020-10-16,73.38,74.2,72.77,73.99,636100,0.0,0.0
2020-10-19,74.76,75.07,72.74,73.1,711900,0.0,0.0
2020-10-20,73.69,74.4,72.9,73.2,548200,0.0,0.0
2020-10-21,73.06,74.14,72.83,73.44,669400,0.0,0.0
2020-10-22,73.71,75.94,73.11,75.87,1165900,0.0,0.0
2020-10-23,77.67,78.51,76.86,77.71,1972000,0.0,0.0
2020-10-26,73.5,74.24,69.47,70.44,3951200,0.0,0.0
2020-10-27,71.03,72.98,69.83,71.88,2330000,0.0,0.0
2020-10-28,70.65,71.41,69.02,70.98,1717000,0.0,0.0
2020-10-29,70.45,71.68,69.43,70.84,1015900,0.0,0.0
2020-10-30,70.42,71.05,69.56,70.44,1198400,0.68,0.0
2020-11-02,71.13,71.62,69.84,70.17,839700,0.0,0.0
2020-11-03,71.24,72.66,70.12,72.13,755200,0.0,0.0
2020-11-04,71.62,72.07,70.02,70.15,839300,0.0,0.0
2020-11-05,71.5,71.95,70.7,71.62,818800,0.0,0.0
2020-11-06,71.94,72.77,70.83,71.82,588900,0.0,0.0
2020-11-09,75.0,75.56,72.43,72.72,1742700,0.0,0.0
2020-11-10,72.99,74.27,72.17,72.94,947800,0.0,0.0
2020-11-11,73.51,74.45,72.94,73.68,981900,0.0,0.0
2020-11-12,73.56,73.56,70.97,71.72,700700,0.0,0.0
2020-11-13,72.24,75.51,72.23,74.7,1152500,0.0,0.0
2020-11-16,76.52,77.44,74.75,77.4,891800,0.0,0.0
2020-11-17,77.05,78.74,76.02,78.25,641800,0.0,0.0
2020-11-18,78.29,80.3,77.48,78.41,1032200,0.0,0.0
2020-11-19,78.06,78.82,76.84,78.13,628300,0.0,0.0
2020-11-20,77.89,79.53,77.27,79.21,832900,0.0,0.0
2020-11-23,79.38,79.82,78.24,78.87,679300,0.0,0.0
2020-11-24,79.57,80.05,78.18,78.43,1144700,0.0,0.0
2020-11-25,77.96,78.63,77.41,78.46,587300,0.0,0.0
2020-11-27,78.25,79.36,77.91,78.62,227900,0.0,0.0
2020-11-30,78.35,79.41,77.23,79.22,1223400,0.0,0.0
2020-12-01,80.34,82.71,79.88,81.91,1914000,0.0,0.0
2020-12-02,80.7,80.87,77.75,79.99,1192100,0.0,0.0
2020-12-03,79.96,81.08,78.65,78.9,907300,0.0,0.0
2020-12-04,79.11,79.8,77.42,77.55,1477800,0.0,0.0
2020-12-07,77.21,77.48,76.13,76.27,1079300,0.0,0.0
2020-12-08,75.8,77.58,75.65,76.4,702000,0.0,0.0
2020-12-09,77.53,77.95,75.3,75.58,1366700,0.0,0.0
