,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,2.63,2.94,11.66
2024-10-23 20:00:00-04:00,2.54,2.53,-0.45
2024-07-24 20:00:00-04:00,2.24,2.5,11.51
2024-04-24 20:00:00-04:00,2.45,2.34,-4.57
2024-01-31 19:00:00-05:00,2.44,3.06,25.63
2023-10-25 20:00:00-04:00,1.98,2.29,15.49
2023-07-26 20:00:00-04:00,1.85,1.88,1.69
2023-04-26 20:00:00-04:00,1.72,1.68,-2.45
