,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,109.84,109.91,108.04,108.29,1716100,0.0,0.0
2020-02-24,103.4,104.12,102.28,102.8,4565200,0.0,0.0
2020-02-25,103.59,103.66,97.16,97.72,5490900,0.0,0.0
2020-02-26,98.47,99.64,95.17,96.75,6110500,0.0,0.0
2020-02-27,94.56,99.67,92.27,94.85,7692700,0.15,0.0
2020-02-28,92.0,97.34,91.76,96.21,6128600,0.0,0.0
2020-03-02,96.05,96.71,91.64,95.48,4791400,0.0,0.0
2020-03-03,95.6,95.8,91.3,92.38,6433300,0.0,0.0
2020-03-04,93.74,97.52,91.06,97.39,7065200,0.0,0.0
2020-03-05,93.14,94.17,90.36,90.57,9044900,0.0,0.0
2020-03-06,88.11,93.25,87.42,89.53,6450400,0.0,0.0
2020-03-09,82.55,86.65,82.55,85.3,7335700,0.0,0.0
2020-03-10,89.07,90.6,84.81,89.4,5472100,0.0,0.0
2020-03-11,87.32,87.32,78.36,80.26,9833200,0.0,0.0
2020-03-12,70.68,78.76,70.67,75.94,11501200,0.0,0.0
2020-03-13,80.03,81.14,75.86,77.83,8068300,0.0,0.0
2020-03-16,68.71,75.12,63.18,68.83,8647000,0.0,0.0
2020-03-17,69.85,70.28,61.22,64.17,10971800,0.0,0.0
2020-03-18,57.42,57.86,43.85,56.1,18610500,0.0,0.0
2020-03-19,54.44,62.18,50.52,57.44,13086300,0.0,0.0
2020-03-20,60.66,70.75,55.92,60.97,11377400,0.0,0.0
2020-03-23,60.62,67.09,59.44,62.68,11003500,0.0,0.0
2020-03-24,67.73,74.9,66.82,68.68,9956100,0.0,0.0
2020-03-25,74.54,75.95,66.66,71.51,7695500,0.0,0.0
2020-03-26,74.83,77.96,69.52,72.45,7410400,0.0,0.0
2020-03-27,68.3,70.97,65.52,68.44,5784100,0.0,0.0
2020-03-30,66.11,69.12,63.92,67.98,5064200,0.0,0.0
2020-03-31,68.05,71.1,67.2,67.54,5160600,0.0,0.0
2020-04-01,64.34,65.72,61.72,62.4,5743000,0.0,0.0
2020-04-02,61.69,65.32,56.42,57.27,7930200,0.0,0.0
2020-04-03,57.41,58.87,53.15,55.37,7232900,0.0,0.0
2020-04-06,60.25,63.67,59.5,63.15,9128500,0.0,0.0
2020-04-07,69.46,72.73,64.64,65.16,7903000,0.0,0.0
2020-04-08,66.62,69.47,65.65,69.38,8521200,0.0,0.0
2020-04-09,69.5,72.46,67.42,67.75,7537400,0.0,0.0
2020-04-13,67.83,68.2,63.66,65.96,4020700,0.0,0.0
2020-04-14,67.55,70.57,67.55,69.3,4575800,0.0,0.0
2020-04-15,65.37,70.55,64.94,69.16,5803000,0.0,0.0
2020-04-16,69.1,69.98,67.08,69.43,4772000,0.0,0.0
2020-04-17,73.91,75.08,71.99,74.85,4952800,0.0,0.0
2020-04-20,72.75,74.77,70.72,71.54,4815400,0.0,0.0
2020-04-21,69.61,71.74,69.38,70.62,3139100,0.0,0.0
2020-04-22,71.77,72.85,68.88,70.07,2708700,0.0,0.0
2020-04-23,70.86,73.04,69.98,71.21,2246100,0.0,0.0
2020-04-24,71.72,71.86,69.34,70.64,1954000,0.0,0.0
2020-04-27,72.4,75.22,72.01,74.42,2558000,0.0,0.0
2020-04-28,76.22,77.01,73.62,74.98,3003500,0.0,0.0
2020-04-29,76.23,80.91,76.23,78.47,6174000,0.0,0.0
2020-04-30,77.0,77.59,74.02,74.94,4382500,0.0,0.0
2020-05-01,72.36,73.0,70.69,71.3,3693400,0.0,0.0
2020-05-04,69.29,71.84,68.38,70.68,4295300,0.0,0.0
2020-05-05,72.02,72.93,70.68,71.01,3066900,0.0,0.0
2020-05-06,71.75,72.11,69.9,70.07,3838800,0.0,0.0
2020-05-07,71.24,72.71,70.56,71.17,4737500,0.0,0.0
2020-05-08,72.04,73.28,70.99,71.45,8488800,0.0,0.0
2020-05-11,70.38,70.53,67.56,67.6,5532600,0.0,0.0
2020-05-12,68.24,68.63,65.88,66.32,3176800,0.0,0.0
2020-05-13,66.32,66.51,63.41,64.19,4944400,0.0,0.0
2020-05-14,62.71,67.51,61.83,67.47,6036700,0.0,0.0
2020-05-15,66.59,68.13,65.83,67.84,2331000,0.0,0.0
2020-05-18,71.43,73.91,71.34,72.32,6424200,0.0,0.0
2020-05-19,72.3,76.29,71.1,74.52,3955000,0.0,0.0
2020-05-20,76.08,77.52,75.17,76.93,3522000,0.0,0.0
2020-05-21,76.36,78.06,75.06,76.87,4794500,0.0,0.0
2020-05-22,77.2,77.99,75.91,77.59,2822700,0.0,0.0
2020-05-26,84.26,84.71,80.6,80.86,3879800,0.0,0.0
2020-05-27,83.28,83.66,79.94,82.3,5166800,0.0,0.0
2020-05-28,83.12,83.68,79.62,79.8,3368600,0.0,0.0
2020-05-29,78.73,79.43,77.58,78.5,3919600,0.0,0.0
2020-06-01,78.84,81.89,78.55,81.08,2374600,0.0,0.0
2020-06-02,82.15,82.8,80.41,82.75,3138800,0.0,0.0
2020-06-03,83.63,86.53,82.94,85.23,3624900,0.0,0.0
2020-06-04,85.31,86.55,83.5,85.46,3503000,0.0,0.0
2020-06-05,89.5,92.77,85.77,86.31,6686200,0.0,0.0
2020-06-08,88.94,89.86,87.64,88.79,4554100,0.0,0.0
2020-06-09,86.91,86.94,84.38,85.25,3086700,0.0,0.0
2020-06-10,84.51,85.04,81.51,81.99,3943100,0.0,0.0
2020-06-11,77.2,79.79,75.95,76.8,5266500,0.0,0.0
2020-06-12,80.11,80.17,75.38,76.66,4733600,0.0,0.0
2020-06-15,73.78,77.63,73.1,76.69,3402900,0.0,0.0
2020-06-16,80.46,80.91,75.94,77.45,3103900,0.0,0.0
2020-06-17,77.07,77.67,75.08,75.64,3457400,0.0,0.0
2020-06-18,74.97,78.33,74.66,77.36,3899000,0.0,0.0
2020-06-19,78.42,78.45,74.62,75.39,4260900,0.0,0.0
2020-06-22,75.18,76.03,74.07,75.3,1949500,0.0,0.0
2020-06-23,75.96,76.17,74.39,74.91,3956900,0.0,0.0
2020-06-24,74.24,74.24,70.86,72.44,3776700,0.0,0.0
2020-06-25,71.75,71.99,70.09,71.77,3999700,0.0,0.0
2020-06-26,71.45,71.56,69.12,70.43,9989300,0.0,0.0
2020-06-29,70.79,73.17,69.39,73.17,3244000,0.0,0.0
2020-06-30,72.8,73.19,71.29,72.7,4377300,0.0,0.0
2020-07-01,73.92,75.75,73.36,73.68,3177000,0.0,0.0
2020-07-02,76.01,76.2,73.37,73.76,1766300,0.0,0.0
2020-07-06,75.3,75.57,74.22,75.46,2942700,0.0,0.0
2020-07-07,74.49,74.69,73.0,73.41,2761100,0.0,0.0
2020-07-08,73.54,74.32,72.65,74.32,3596800,0.0,0.0
2020-07-09,74.64,74.82,71.78,73.37,2809600,0.0,0.0
2020-07-10,73.08,74.5,72.75,74.47,2168300,0.0,0.0
2020-07-13,74.78,75.48,72.8,72.83,2984900,0.0,0.0
2020-07-14,72.46,72.79,71.13,72.76,2452000,0.0,0.0
2020-07-15,75.82,80.65,75.24,80.1,4597000,0.0,0.0
2020-07-16,78.99,80.39,78.16,80.07,2863200,0.0,0.0
2020-07-17,79.85,79.87,77.71,79.09,2268600,0.0,0.0
2020-07-20,78.63,79.5,76.74,77.37,2103400,0.0,0.0
2020-07-21,78.5,79.58,77.74,79.3,2086800,0.0,0.0
2020-07-22,78.8,79.53,77.99,78.81,2583900,0.0,0.0
2020-07-23,77.92,78.42,76.32,78.06,2150100,0.0,0.0
2020-07-24,77.62,77.7,76.15,76.64,1257400,0.0,0.0
2020-07-27,75.77,76.66,74.59,76.55,2389700,0.0,0.0
2020-07-28,76.23,76.79,75.72,75.89,2194800,0.0,0.0
2020-07-29,76.46,77.21,76.15,76.6,1605100,0.0,0.0
2020-07-30,75.72,76.18,74.61,75.36,2288600,0.0,0.0
