,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,52.38,52.74,52.11,52.59,1106600,0.0,0.0
2020-02-24,51.34,51.97,51.15,51.4,1200400,0.0,0.0
2020-02-25,51.47,51.74,49.27,49.36,1825300,0.0,0.0
2020-02-26,49.59,50.09,48.54,48.54,2368900,0.0,0.0
2020-02-27,47.95,49.29,47.27,47.68,2007300,0.0,0.0
2020-02-28,46.65,47.25,45.81,47.11,3241100,0.0,0.0
2020-03-02,47.36,48.86,47.04,48.81,3047100,0.0,0.0
2020-03-03,48.61,49.81,46.49,47.25,2703700,0.0,0.0
2020-03-04,48.11,49.47,47.68,49.38,2710400,0.0,0.0
2020-03-05,48.45,48.79,47.04,47.36,3396800,0.0,0.0
2020-03-06,46.06,47.13,45.72,46.75,2889600,0.0,0.0
2020-03-09,44.4,45.77,43.09,44.04,3867100,0.0,0.0
2020-03-10,45.36,45.97,43.9,45.81,2840500,0.0,0.0
2020-03-11,44.63,44.74,43.25,43.77,2689200,0.0,0.0
2020-03-12,41.27,42.11,39.36,39.43,3547700,0.0,0.0
2020-03-13,40.97,42.09,38.13,40.58,3989000,0.0,0.0
2020-03-16,34.41,37.09,32.13,32.25,3769600,0.0,0.0
2020-03-17,34.04,34.04,28.94,31.46,6406600,0.0,0.0
2020-03-18,33.2,33.99,26.48,29.62,6493900,0.0,0.0
2020-03-19,29.63,32.83,28.7,31.95,5303700,0.0,0.0
2020-03-20,32.0,32.84,30.12,31.04,4716500,0.0,0.0
2020-03-23,31.04,31.14,29.09,29.37,3390400,0.0,0.0
2020-03-24,30.81,31.77,30.22,31.44,3739200,0.0,0.0
2020-03-25,31.61,33.2,30.39,32.25,4324900,0.0,0.0
2020-03-26,32.84,34.25,32.5,34.02,4351300,0.0,0.0
2020-03-27,32.77,34.09,32.45,33.25,2902200,0.0,0.0
2020-03-30,33.0,35.36,32.7,35.0,3913600,0.0,0.0
2020-03-31,34.75,35.38,34.38,35.09,4364500,0.0,0.0
2020-04-01,33.74,34.34,32.54,32.7,3154200,0.0,0.0
2020-04-02,32.13,34.24,32.0,34.06,2577500,0.0,0.0
2020-04-03,33.9,34.34,32.54,32.81,2054000,0.0,0.0
2020-04-06,34.08,36.31,34.04,35.86,2703900,0.0,0.0
2020-04-07,38.02,38.88,37.38,37.77,3732700,0.0,0.0
2020-04-08,37.31,39.65,37.25,39.38,2180500,0.0,0.0
2020-04-09,40.16,41.66,40.0,41.11,3091900,0.0,0.0
2020-04-13,40.75,41.06,39.79,40.95,4724800,0.0,0.0
2020-04-14,41.11,42.65,41.04,42.0,2766300,0.0,0.0
2020-04-15,40.84,41.63,40.65,41.33,2043500,0.0,0.0
2020-04-16,41.47,42.0,41.11,41.45,2680200,0.0,0.0
2020-04-17,42.65,43.79,42.41,43.79,2234000,0.0,0.0
2020-04-20,42.97,44.31,42.52,43.24,3005700,0.0,0.0
2020-04-21,41.68,43.25,41.02,42.34,2822600,0.0,0.0
2020-04-22,42.88,43.18,42.4,42.88,2905400,0.0,0.0
2020-04-23,43.68,46.34,43.08,45.38,4665900,0.0,0.0
2020-04-24,45.9,47.45,45.81,47.11,3087800,0.0,0.0
2020-04-27,47.86,49.9,47.5,49.5,2737800,0.0,0.0
2020-04-28,49.97,50.5,48.4,48.68,3952400,0.0,0.0
2020-04-29,49.52,50.06,48.47,48.95,3854400,0.0,0.0
2020-04-30,53.43,53.45,49.22,50.09,9441300,0.0,0.0
2020-05-01,49.04,49.68,48.38,49.4,3199800,0.0,0.0
