,EPS Estimate,Reported EPS,Surprise(%)
2025-11-23 19:00:00-05:00,nan,nan,nan
2025-08-25 20:00:00-04:00,nan,nan,nan
2025-05-26 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,nan,nan,nan
2024-11-25 19:00:00-05:00,0.93,0.93,0.03
2024-08-27 20:00:00-04:00,0.86,0.83,-3.47
2024-05-28 20:00:00-04:00,0.81,0.82,1.02
2024-02-27 19:00:00-05:00,0.81,0.81,-0.03
2023-11-20 19:00:00-05:00,0.9,0.9,0.07
2023-08-28 20:00:00-04:00,0.86,0.86,0.17
2023-05-29 20:00:00-04:00,0.76,0.8,5.21
2023-02-27 19:00:00-05:00,0.75,0.75,-0.38
