,EPS Estimate,Reported EPS,Surprise(%)
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-24 19:00:00-05:00,1.23,nan,nan
2025-01-27 19:00:00-05:00,nan,nan,nan
2024-11-04 19:00:00-05:00,1.17,1.22,4.57
2024-08-05 20:00:00-04:00,1.22,1.23,0.92
2024-05-06 20:00:00-04:00,1.01,1.1,8.41
2024-02-26 19:00:00-05:00,0.69,0.66,-4.86
2023-11-12 19:00:00-05:00,1.32,1.32,0.25
2023-08-06 20:00:00-04:00,1.28,1.31,2.46
2023-05-08 20:00:00-04:00,1.23,1.21,-1.48
