,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,68.65,69.55,67.45,67.54,1781200,0.0,0.0
2020-02-24,66.23,67.87,64.84,64.93,1427800,0.0,0.0
2020-02-25,65.55,66.12,62.72,63.13,1939200,0.0,0.0
2020-02-26,63.7,65.01,63.15,63.18,1622100,0.0,0.0
2020-02-27,62.38,64.09,61.09,62.52,2300700,0.0,0.0
2020-02-28,61.25,62.22,59.88,60.93,2319800,0.0,0.0
2020-03-02,60.99,62.91,60.31,62.91,2426100,0.0,0.0
2020-03-03,62.75,63.5,59.88,60.56,1493200,0.0,0.0
2020-03-04,61.31,62.34,60.4,61.63,1698100,0.0,0.0
2020-03-05,60.06,60.5,58.04,59.25,2054300,0.0,0.0
2020-03-06,57.56,58.72,56.7,57.68,1916200,0.0,0.0
2020-03-09,55.06,56.0,53.68,54.5,2464900,0.0,0.0
2020-03-10,56.2,57.97,55.22,57.86,3372400,0.0,0.0
2020-03-11,56.24,58.22,56.04,57.68,2510300,0.0,0.0
2020-03-12,54.47,56.93,53.75,55.06,3919500,0.0,0.0
2020-03-13,57.02,59.31,51.99,56.7,2644900,0.0,0.0
2020-03-16,57.27,57.65,51.25,51.65,2452100,0.0,0.0
2020-03-17,52.75,55.27,50.36,54.61,3543300,0.0,0.0
2020-03-18,52.13,52.81,42.27,50.74,2988800,0.0,0.0
2020-03-19,50.13,53.52,48.09,49.81,2977300,0.0,0.0
2020-03-20,49.7,50.74,44.79,45.0,2275000,0.0,0.0
2020-03-23,44.93,45.54,41.84,43.18,2324600,0.0,0.0
2020-03-24,45.38,49.02,44.84,46.97,2217700,0.0,0.0
2020-03-25,46.9,52.81,46.52,50.02,3307400,0.0,0.0
2020-03-26,51.81,60.81,49.65,53.56,10254100,0.0,0.0
2020-03-27,52.43,52.97,49.86,50.0,2755300,0.0,0.0
2020-03-30,52.59,52.77,50.29,52.09,3126600,0.0,0.0
2020-03-31,52.41,52.59,50.38,50.52,2653800,0.0,0.0
