,EPS Estimate,Reported EPS,Surprise(%)
2026-02-16 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-18 19:00:00-05:00,0.13,0.15,18.11
2024-11-05 19:00:00-05:00,0.1,0.12,17.94
2024-07-30 20:00:00-04:00,0.34,0.34,nan
2024-04-30 20:00:00-04:00,0.32,0.38,19.75
2024-02-20 19:00:00-05:00,0.2,0.19,-3.18
2023-10-31 20:00:00-04:00,0.11,0.16,43.82
2023-08-01 20:00:00-04:00,0.33,0.29,-11.74
2023-05-02 20:00:00-04:00,0.24,0.4,67.13
