,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-30 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,2.37,2.69,13.31
2024-11-06 19:00:00-05:00,2.56,2.34,-8.63
2024-07-31 20:00:00-04:00,1.43,1.27,-11.28
2024-05-02 20:00:00-04:00,2.76,3.07,11.2
2024-02-07 19:00:00-05:00,1.95,2.02,3.5
2023-10-25 20:00:00-04:00,2.45,2.6,5.93
2023-07-26 20:00:00-04:00,1.91,2.01,5.35
2023-04-26 20:00:00-04:00,2.66,2.96,11.25
