,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,4.02,4.1,1.99
2024-10-28 20:00:00-04:00,4.45,4.49,0.83
2024-07-29 20:00:00-04:00,4.24,4.37,3.09
2024-04-29 20:00:00-04:00,3.54,3.6,1.66
2024-01-29 19:00:00-05:00,3.58,3.69,3.16
2023-10-30 20:00:00-04:00,4.05,3.95,-2.56
2023-07-24 20:00:00-04:00,3.72,4.07,9.41
2023-04-24 20:00:00-04:00,2.47,3.61,45.93
