,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,-2.16,-2.16,0.23
2024-10-29 20:00:00-04:00,3.4,4.16,22.19
2024-07-30 20:00:00-04:00,5.85,6.96,19.03
2024-04-23 20:00:00-04:00,6.12,7.23,18.16
2024-01-24 19:00:00-05:00,0.15,-0.11,-174.23
2023-10-31 20:00:00-04:00,7.16,7.78,8.62
2023-08-01 20:00:00-04:00,8.82,8.94,1.39
2023-04-25 20:00:00-04:00,9.27,9.38,1.22
