,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,3.75,3.92,4.62
2024-10-22 20:00:00-04:00,2.23,2.3,3.29
2024-07-23 20:00:00-04:00,2.2,2.43,10.63
2024-04-23 20:00:00-04:00,1.6,1.68,5.1
2024-01-23 19:00:00-05:00,3.78,3.87,2.43
2023-10-24 20:00:00-04:00,2.13,2.2,3.51
2023-07-18 20:00:00-04:00,2.01,2.18,8.52
2023-04-18 20:00:00-04:00,1.26,1.36,8.1
