,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,110.65,112.58,110.55,111.35,5703210,0.0,0.0
2020-02-25,111.41,111.84,107.42,107.76,6497229,0.0,0.0
2020-02-26,108.67,109.55,106.16,106.27,5656663,0.0,0.0
2020-02-27,104.36,105.46,101.15,101.22,8808471,0.0,0.0
2020-02-28,98.84,99.69,96.09,98.97,13607832,0.0,0.0
2020-03-02,99.43,102.23,97.3,102.13,8923844,0.0,0.0
2020-03-03,102.26,103.5,97.18,98.02,8259321,0.0,0.0
2020-03-04,100.06,102.11,98.1,102.07,5226234,0.0,0.0
2020-03-05,99.24,100.6,97.68,98.51,5696725,0.0,0.0
2020-03-06,96.35,97.59,94.69,97.13,8570192,0.0,0.0
2020-03-09,91.37,93.08,89.18,89.59,11252345,0.0,0.0
2020-03-10,93.37,94.96,88.03,94.88,11935592,0.0,0.0
2020-03-11,92.02,93.21,88.5,89.71,8835039,0.0,0.0
2020-03-12,83.38,83.49,77.78,78.18,13088284,0.0,0.0
2020-03-13,82.64,83.01,76.66,82.09,13077197,0.0,0.0
2020-03-16,74.52,81.68,72.24,75.34,11054128,0.0,0.0
2020-03-17,76.51,81.67,73.84,81.1,9684182,0.0,0.0
2020-03-18,75.59,81.31,75.59,78.74,9176035,0.0,0.0
2020-03-19,77.81,78.85,74.7,76.3,8782739,0.0,0.0
2020-03-20,76.74,76.8,72.02,72.54,11031639,0.0,0.0
2020-03-23,71.94,74.32,68.86,72.06,10176952,0.0,0.0
2020-03-24,76.03,80.64,75.48,80.21,8340699,0.0,0.0
2020-03-25,80.21,85.53,78.19,80.49,9052084,0.0,0.0
2020-03-26,81.3,86.04,80.28,85.84,7482561,0.0,0.0
2020-03-27,82.57,84.79,81.86,82.15,6718458,0.0,0.0
2020-03-30,82.19,86.28,81.98,85.88,5820467,0.0,0.0
2020-03-31,85.17,86.54,83.78,84.35,6635092,0.0,0.0
2020-04-01,80.88,83.59,79.48,79.95,6394093,0.0,0.0
2020-04-02,80.13,83.89,79.95,83.65,6619820,0.0,0.0
2020-04-03,82.83,83.7,79.78,80.86,4747585,0.0,0.0
2020-04-06,83.91,87.93,83.75,87.31,7357773,0.0,0.0
2020-04-07,90.34,90.92,87.35,87.4,5852684,0.0,0.0
2020-04-08,88.45,91.22,87.5,90.71,5395896,0.0,0.0
2020-04-09,91.62,93.47,91.38,92.39,5832705,0.0,0.0
2020-04-13,92.49,92.62,89.76,92.13,5355206,0.0,0.0
2020-04-14,93.88,95.19,93.24,94.23,5322780,0.0,0.0
2020-04-15,90.58,91.4,88.79,90.26,5896616,0.0,0.0
2020-04-16,90.5,91.06,87.01,88.0,6754650,0.0,0.0
2020-04-17,90.72,91.55,89.67,91.34,5194436,0.0,0.0
2020-04-20,90.61,93.43,89.84,91.56,8558058,0.0,0.0
2020-04-21,86.69,89.08,85.21,88.79,15009054,0.0,0.0
2020-04-22,91.15,91.5,89.39,90.73,7412479,0.0,0.0
2020-04-23,90.92,93.56,90.58,92.28,7198154,0.0,0.0
