,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,1.49,1.52,1.95
2024-10-30 20:00:00-04:00,1.55,1.55,-0.06
2024-07-31 20:00:00-04:00,1.49,1.52,2.27
2024-05-01 20:00:00-04:00,1.48,1.48,-0.07
2024-02-07 19:00:00-05:00,1.29,1.33,3.02
2023-11-01 20:00:00-04:00,1.39,1.46,5.34
2023-08-02 20:00:00-04:00,1.37,1.43,4.38
2023-05-03 20:00:00-04:00,1.4,1.41,0.68
