,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,89.05,89.16,88.51,88.74,2047300,0.0,0.0
2020-02-24,87.57,88.73,87.16,87.9,2558900,0.0,0.0
2020-02-25,88.07,88.52,85.76,86.14,3063600,0.0,0.0
2020-02-26,86.31,88.51,85.95,87.91,3923900,0.0,0.0
2020-02-27,87.18,89.27,85.98,86.0,5272800,0.0,0.0
2020-02-28,84.91,86.76,81.88,83.56,7199900,0.0,0.0
2020-03-02,84.24,87.48,83.85,87.48,7056100,0.0,0.0
2020-03-03,87.68,90.12,86.39,88.92,6139200,0.0,0.0
2020-03-04,89.21,94.09,88.84,93.82,5223500,0.0,0.0
2020-03-05,91.98,93.01,90.63,91.7,3752300,0.0,0.0
2020-03-06,89.1,90.45,86.33,88.08,5964000,0.0,0.0
2020-03-09,83.29,86.1,82.11,83.0,5790200,0.0,0.0
2020-03-10,85.06,85.7,81.34,84.81,5243100,0.0,0.0
2020-03-11,82.64,83.65,79.57,80.73,4539900,0.0,0.0
2020-03-12,75.33,77.77,70.67,70.81,6554300,0.0,0.0
2020-03-13,74.71,78.01,71.91,77.85,7338700,0.0,0.0
2020-03-16,70.52,75.15,68.45,69.68,5791800,0.3,0.0
2020-03-17,71.26,74.14,69.28,72.18,7108100,0.0,0.0
2020-03-18,68.35,69.16,62.07,65.87,8145300,0.0,0.0
2020-03-19,65.82,70.44,60.26,69.26,5503100,0.0,0.0
2020-03-20,69.34,69.65,64.69,68.61,8462600,0.0,0.0
2020-03-23,67.9,68.06,59.7,62.84,6813600,0.0,0.0
2020-03-24,66.08,69.7,65.69,69.24,5101200,0.0,0.0
2020-03-25,69.08,72.88,68.16,70.05,4553200,0.0,0.0
2020-03-26,70.88,75.85,70.88,75.03,4670400,0.0,0.0
2020-03-27,73.0,79.29,72.68,76.37,4639700,0.0,0.0
2020-03-30,77.14,79.43,76.38,78.78,4768800,0.0,0.0
2020-03-31,77.59,77.98,75.47,75.9,3815600,0.0,0.0
2020-04-01,72.73,75.31,72.73,74.55,3229100,0.0,0.0
2020-04-02,74.26,76.5,72.54,76.27,2963200,0.0,0.0
2020-04-03,76.0,77.97,75.86,76.13,4932300,0.0,0.0
2020-04-06,78.52,80.52,77.5,79.36,4128100,0.0,0.0
2020-04-07,81.94,81.94,77.18,77.36,4680500,0.0,0.0
2020-04-08,78.2,80.8,77.36,80.22,3512100,0.0,0.0
2020-04-09,81.02,82.59,80.71,82.13,4285600,0.0,0.0
2020-04-13,81.49,81.49,79.59,80.07,2499300,0.0,0.0
2020-04-14,81.5,82.25,80.99,81.78,3350600,0.0,0.0
2020-04-15,80.86,81.53,80.27,81.07,3483100,0.0,0.0
2020-04-16,81.45,83.13,80.84,82.81,2675800,0.0,0.0
2020-04-17,84.32,85.11,82.59,84.97,3854600,0.0,0.0
2020-04-20,85.38,86.22,82.89,84.03,4323000,0.0,0.0
2020-04-21,82.57,83.65,81.53,82.28,3154600,0.0,0.0
2020-04-22,83.41,84.64,81.81,83.84,2237300,0.0,0.0
2020-04-23,83.72,84.89,82.86,83.19,2204600,0.0,0.0
2020-04-24,83.85,83.97,82.54,83.58,1804400,0.0,0.0
2020-04-27,84.61,87.02,84.41,86.81,2273800,0.0,0.0
2020-04-28,87.9,88.55,84.75,84.87,2333000,0.0,0.0
2020-04-29,86.19,86.72,85.12,85.25,2054500,0.0,0.0
2020-04-30,84.63,86.34,83.69,84.08,3764200,0.0,0.0
2020-05-01,83.23,85.2,82.83,83.35,3026200,0.0,0.0
2020-05-04,82.86,85.07,82.26,84.29,3015400,0.0,0.0
2020-05-05,84.46,88.15,84.3,87.39,2676900,0.0,0.0
2020-05-06,87.74,87.83,86.15,86.23,2318900,0.0,0.0
2020-05-07,87.41,89.0,87.05,87.5,2064500,0.0,0.0
2020-05-08,88.98,89.02,87.2,87.91,2126700,0.0,0.0
2020-05-11,87.62,88.66,87.13,88.45,3081300,0.0,0.0
2020-05-12,88.98,89.02,86.96,86.99,2624500,0.0,0.0
2020-05-13,86.64,88.35,85.92,87.7,3332700,0.0,0.0
2020-05-14,86.26,87.67,85.55,87.65,2450400,0.0,0.0
2020-05-15,87.34,88.44,87.12,87.86,2595800,0.0,0.0
2020-05-18,89.54,90.93,88.72,90.24,2872200,0.0,0.0
2020-05-19,89.78,90.37,87.13,87.38,2656300,0.0,0.0
2020-05-20,88.41,88.7,87.5,87.84,3702000,0.0,0.0
2020-05-21,87.6,88.09,86.51,87.29,2397500,0.0,0.0
2020-05-22,87.57,88.21,86.87,88.14,1747500,0.0,0.0
2020-05-26,89.62,89.95,88.38,88.57,2689600,0.0,0.0
2020-05-27,89.17,89.29,86.37,87.26,3450100,0.0,0.0
2020-05-28,88.23,89.89,87.52,89.17,2682000,0.0,0.0
2020-05-29,89.22,91.52,88.86,91.41,3405600,0.0,0.0
2020-06-01,91.55,92.57,91.11,91.76,2137300,0.0,0.0
2020-06-02,92.15,92.23,90.17,90.57,3342800,0.0,0.0
2020-06-03,90.83,92.27,90.19,92.0,2781800,0.0,0.0
2020-06-04,91.37,91.62,89.3,90.04,3720900,0.0,0.0
2020-06-05,90.24,92.48,87.87,91.94,3964700,0.0,0.0
2020-06-08,91.41,91.86,90.63,91.63,5449400,0.0,0.0
2020-06-09,91.23,92.28,90.88,91.59,2202200,0.0,0.0
2020-06-10,91.63,92.03,90.77,91.47,2466900,0.0,0.0
2020-06-11,91.17,91.18,86.27,86.51,3560700,0.0,0.0
2020-06-12,87.97,88.79,86.06,87.66,2808800,0.0,0.0
2020-06-15,86.13,88.68,85.59,88.43,2437000,0.3,0.0
2020-06-16,90.29,90.29,88.08,89.26,2266200,0.0,0.0
2020-06-17,89.75,89.79,88.98,89.23,3188400,0.0,0.0
2020-06-18,89.05,89.25,88.32,89.01,1944200,0.0,0.0
2020-06-19,90.27,90.3,88.16,89.13,4015800,0.0,0.0
2020-06-22,88.8,89.54,88.4,88.93,1570600,0.0,0.0
2020-06-23,89.61,89.82,88.12,88.17,2055000,0.0,0.0
2020-06-24,87.62,87.94,85.29,85.54,3967700,0.0,0.0
2020-06-25,85.68,87.66,84.88,87.54,2718900,0.0,0.0
2020-06-26,86.89,87.5,85.18,85.25,3368700,0.0,0.0
2020-06-29,86.09,86.09,84.96,85.25,2186600,0.0,0.0
2020-06-30,85.16,86.62,85.16,86.38,5300800,0.0,0.0
2020-07-01,86.45,88.55,86.35,87.98,2304000,0.0,0.0
2020-07-02,89.16,89.21,86.94,87.0,2084900,0.0,0.0
2020-07-06,88.17,88.21,86.9,87.26,1921600,0.0,0.0
2020-07-07,86.76,87.8,86.75,87.29,2085700,0.0,0.0
2020-07-08,87.4,88.52,87.27,88.49,2530000,0.0,0.0
2020-07-09,88.76,88.76,86.28,86.89,1888600,0.0,0.0
2020-07-10,86.98,87.42,86.33,87.27,1784100,0.0,0.0
2020-07-13,87.44,88.94,86.49,86.6,2435800,0.0,0.0
2020-07-14,86.61,87.08,85.66,86.49,2387100,0.0,0.0
2020-07-15,87.47,88.47,86.29,87.93,3542200,0.0,0.0
2020-07-16,87.6,88.27,86.81,87.1,2401400,0.0,0.0
2020-07-17,87.54,88.68,87.27,88.48,2094900,0.0,0.0
2020-07-20,88.07,89.24,87.91,88.88,1900400,0.0,0.0
2020-07-21,88.92,90.02,88.89,89.69,2420300,0.0,0.0
2020-07-22,89.26,90.73,89.01,90.58,2908100,0.0,0.0
2020-07-23,90.8,91.51,90.08,90.39,3245200,0.0,0.0
2020-07-24,90.39,91.04,90.06,90.83,3222000,0.0,0.0
2020-07-27,90.45,91.03,89.15,89.15,3023700,0.0,0.0
2020-07-28,89.19,89.28,87.53,87.62,3218700,0.0,0.0
2020-07-29,87.56,89.37,87.52,88.93,2489500,0.0,0.0
2020-07-30,88.29,89.94,88.03,88.99,3402900,0.0,0.0
2020-07-31,89.32,91.31,88.56,91.26,3423700,0.0,0.0
2020-08-03,91.58,92.32,90.47,90.79,2873300,0.0,0.0
2020-08-04,90.25,90.55,89.62,90.32,1834600,0.0,0.0
2020-08-05,90.67,91.07,90.23,90.68,2217900,0.0,0.0
2020-08-06,90.43,92.17,90.32,91.91,3174300,0.0,0.0
2020-08-07,91.4,95.35,89.85,95.21,5646100,0.0,0.0
2020-08-10,95.21,95.35,92.89,93.51,3587500,0.0,0.0
2020-08-11,94.18,94.18,92.76,92.99,3825200,0.0,0.0
2020-08-12,93.67,94.39,93.45,93.76,2859800,0.0,0.0
2020-08-13,93.53,95.0,93.24,94.49,5028700,0.0,0.0
2020-08-14,94.4,97.09,94.39,96.65,4239600,0.0,0.0
2020-08-17,96.66,98.36,96.28,98.12,4852100,0.0,0.0
2020-08-18,97.43,98.64,97.04,98.43,3333700,0.0,0.0
2020-08-19,98.66,98.86,97.37,97.63,2726700,0.0,0.0
2020-08-20,97.13,98.24,97.09,97.84,3332400,0.0,0.0
2020-08-21,97.87,98.49,97.44,98.26,2333500,0.0,0.0
2020-08-24,98.74,99.95,98.06,99.78,3492300,0.0,0.0
2020-08-25,99.86,99.86,98.08,98.49,3434800,0.0,0.0
2020-08-26,98.54,99.41,97.7,99.02,1944400,0.0,0.0
2020-08-27,99.18,99.46,98.48,99.03,2968300,0.0,0.0
2020-08-28,99.7,99.82,98.86,99.54,2053100,0.0,0.0
2020-08-31,99.72,100.55,99.45,100.18,2321500,0.0,0.0
2020-09-01,99.86,100.48,99.73,100.45,2670700,0.0,0.0
2020-09-02,99.97,100.89,99.65,100.27,3027800,0.0,0.0
2020-09-03,100.68,100.78,96.8,97.34,4110300,0.0,0.0
2020-09-04,97.44,97.81,93.02,94.38,4906700,0.0,0.0
2020-09-08,93.67,93.97,92.76,93.19,3258100,0.0,0.0
2020-09-09,94.09,96.27,93.66,95.44,2718400,0.0,0.0
2020-09-10,94.15,94.66,92.59,92.65,5602700,0.0,0.0
2020-09-11,93.07,93.6,91.95,92.63,3219900,0.0,0.0
2020-09-14,93.71,95.11,93.26,94.73,2994400,0.0,0.0
2020-09-15,95.14,95.86,94.9,95.08,3270600,0.3,0.0
2020-09-16,95.53,96.92,95.28,95.44,2258100,0.0,0.0
2020-09-17,94.45,94.96,93.86,94.55,2520700,0.0,0.0
2020-09-18,94.58,95.15,93.41,93.84,4798600,0.0,0.0
2020-09-21,92.47,93.96,92.35,93.89,2923300,0.0,0.0
2020-09-22,93.99,94.58,92.33,93.45,2522500,0.0,0.0
2020-09-23,93.59,94.32,91.55,91.75,2456300,0.0,0.0
2020-09-24,91.94,93.35,91.43,93.0,2531000,0.0,0.0
2020-09-25,92.19,95.17,92.16,95.11,2512400,0.0,0.0
2020-09-28,95.79,96.77,95.63,95.75,1855900,0.0,0.0
2020-09-29,95.92,96.27,91.65,93.8,4536100,0.0,0.0
2020-09-30,94.15,95.67,93.8,94.63,2344600,0.0,0.0
2020-10-01,95.61,96.58,95.08,95.94,2239200,0.0,0.0
2020-10-02,94.8,96.33,94.76,95.85,1925400,0.0,0.0
2020-10-05,96.27,96.54,95.31,96.29,1635700,0.0,0.0
2020-10-06,96.94,96.94,95.15,95.54,2470300,0.0,0.0
2020-10-07,95.98,96.63,94.86,95.39,2383200,0.0,0.0
2020-10-08,95.8,96.73,95.47,95.95,2251500,0.0,0.0
2020-10-09,96.45,96.75,95.68,95.9,1910900,0.0,0.0
2020-10-12,96.17,97.52,96.05,97.38,3357400,0.0,0.0
2020-10-13,97.42,98.25,96.46,97.09,3454100,0.0,0.0
2020-10-14,97.3,97.85,96.1,96.77,2602900,0.0,0.0
2020-10-15,95.75,96.71,95.43,96.54,2144700,0.0,0.0
2020-10-16,96.92,97.07,95.69,95.81,2410600,0.0,0.0
2020-10-19,96.14,96.16,92.99,93.12,2806000,0.0,0.0
2020-10-20,93.58,95.5,93.49,94.54,2026500,0.0,0.0
2020-10-21,94.41,95.3,93.7,94.08,1847900,0.0,0.0
2020-10-22,94.2,94.78,93.75,93.98,1973800,0.0,0.0
2020-10-23,94.58,94.66,93.4,93.59,2039900,0.0,0.0
2020-10-26,92.74,92.93,91.92,92.46,2552100,0.0,0.0
2020-10-27,92.65,93.3,92.2,92.27,1922700,0.0,0.0
2020-10-28,90.66,90.9,88.57,88.69,3170400,0.0,0.0
2020-10-29,88.3,91.11,87.4,90.52,3823000,0.0,0.0
2020-10-30,89.81,90.68,88.3,89.29,3520600,0.0,0.0
2020-11-02,90.68,92.07,88.88,89.53,3016600,0.0,0.0
2020-11-03,90.76,92.56,90.14,90.86,2251200,0.0,0.0
2020-11-04,92.25,95.18,91.34,93.03,2989700,0.0,0.0
2020-11-05,96.39,96.79,95.0,95.49,6270000,0.0,0.0
2020-11-06,95.71,95.99,93.23,95.21,2542300,0.0,0.0
2020-11-09,99.35,99.35,92.6,92.9,5231500,0.0,0.0
2020-11-10,92.71,92.98,90.93,92.69,3570100,0.0,0.0
2020-11-11,93.71,95.4,93.7,94.56,2352600,0.0,0.0
2020-11-12,94.37,94.37,92.29,92.98,2104200,0.0,0.0
2020-11-13,93.37,94.28,93.07,93.97,1446000,0.0,0.0
2020-11-16,94.72,94.92,93.54,94.31,1996700,0.0,0.0
2020-11-17,93.91,95.03,93.4,94.61,2056500,0.0,0.0
2020-11-18,94.47,95.23,93.85,94.07,1954300,0.0,0.0
2020-11-19,95.53,96.25,94.13,95.43,2278900,0.0,0.0
2020-11-20,95.42,96.28,95.42,95.59,3639400,0.0,0.0
2020-11-23,96.0,97.56,95.78,96.82,2131300,0.0,0.0
2020-11-24,97.05,98.33,96.57,97.49,2470400,0.0,0.0
2020-11-25,97.85,98.49,96.95,98.3,1930100,0.0,0.0
2020-11-27,98.49,99.34,98.32,99.3,1593300,0.0,0.0
2020-11-30,99.28,99.93,98.89,99.79,4146500,0.0,0.0
2020-12-01,100.46,101.55,99.92,101.36,4498900,0.0,0.0
2020-12-02,101.05,101.4,99.93,100.79,2627300,0.0,0.0
2020-12-03,100.63,102.19,100.03,101.64,4226400,0.0,0.0
2020-12-04,102.18,103.9,102.18,103.31,2376200,0.0,0.0
2020-12-07,103.27,104.62,103.13,104.31,2293600,0.0,0.0
2020-12-08,104.05,104.42,103.29,104.1,2451100,0.0,0.0
2020-12-09,103.89,104.71,103.14,104.2,2217300,0.0,0.0
2020-12-10,103.83,104.4,102.93,103.32,2193800,0.0,0.0
2020-12-11,102.92,103.78,102.26,102.93,1985300,0.0,0.0
2020-12-14,103.51,104.22,101.83,101.88,1984500,0.0,0.0
2020-12-15,102.84,105.33,102.48,105.26,3565700,0.3,0.0
2020-12-16,105.55,106.49,105.0,105.57,2559400,0.0,0.0
2020-12-17,106.22,107.19,105.81,106.98,2640400,0.0,0.0
2020-12-18,106.85,107.5,106.09,107.02,4366200,0.0,0.0
2020-12-21,106.32,107.09,104.84,106.74,2256500,0.0,0.0
2020-12-22,106.75,107.47,106.32,107.33,1924500,0.0,0.0
2020-12-23,107.75,108.4,106.33,106.4,1185900,0.0,0.0
2020-12-24,106.19,107.13,106.05,106.88,511200,0.0,0.0
2020-12-28,107.71,107.85,106.83,107.74,1303500,0.0,0.0
2020-12-29,108.25,108.25,107.03,107.08,1427600,0.0,0.0
2020-12-30,107.59,107.77,107.05,107.32,1080300,0.0,0.0
2020-12-31,107.41,109.45,107.19,109.35,1474300,0.0,0.0
2021-01-04,109.93,110.26,106.58,107.46,2726500,0.0,0.0
2021-01-05,107.18,107.95,107.13,107.69,2286200,0.0,0.0
2021-01-06,107.94,110.56,106.95,109.78,2581600,0.0,0.0
2021-01-07,109.41,110.31,108.97,109.84,2357800,0.0,0.0
2021-01-08,110.49,112.0,110.11,111.57,2405600,0.0,0.0
2021-01-11,111.14,112.69,110.84,111.59,1857300,0.0,0.0
2021-01-12,112.36,112.89,111.19,111.79,2775200,0.0,0.0
2021-01-13,111.61,112.37,111.55,111.77,2394500,0.0,0.0
2021-01-14,111.36,111.56,108.98,109.66,2626300,0.0,0.0
2021-01-15,109.08,109.66,108.7,109.26,2586600,0.0,0.0
2021-01-19,109.49,109.87,108.33,108.96,2980300,0.0,0.0
2021-01-20,109.51,109.51,107.67,108.78,2260300,0.0,0.0
2021-01-21,108.64,108.84,107.02,107.1,1505100,0.0,0.0
2021-01-22,106.73,107.12,105.83,106.15,1926200,0.0,0.0
2021-01-25,106.16,107.26,105.99,106.67,2811200,0.0,0.0
2021-01-26,106.92,107.35,106.09,106.85,1564900,0.0,0.0
2021-01-27,106.13,106.61,103.34,103.72,2410500,0.0,0.0
2021-01-28,104.13,108.7,103.48,106.81,2859700,0.0,0.0
2021-01-29,105.82,106.11,103.59,104.66,2791300,0.0,0.0
2021-02-01,105.79,107.99,105.39,107.57,2557900,0.0,0.0
2021-02-02,108.2,111.54,108.1,110.76,2429000,0.0,0.0
2021-02-03,110.63,111.21,109.36,109.36,2079800,0.0,0.0
2021-02-04,110.91,111.02,108.21,108.65,2856800,0.0,0.0
2021-02-05,109.07,109.22,105.98,108.31,3430200,0.0,0.0
2021-02-08,108.58,108.68,107.32,107.61,2511300,0.0,0.0
2021-02-09,107.58,108.09,107.27,107.42,2091600,0.0,0.0
2021-02-10,107.76,108.18,104.85,105.91,2580500,0.0,0.0
2021-02-11,106.49,106.49,104.44,105.57,2274800,0.0,0.0
2021-02-12,105.37,105.75,104.63,105.35,1681500,0.0,0.0
2021-02-16,106.29,106.77,104.97,106.63,2708600,0.0,0.0
2021-02-17,106.3,107.13,105.47,106.97,2730200,0.0,0.0
2021-02-18,106.84,108.32,106.5,107.99,1938200,0.0,0.0
2021-02-19,108.28,108.59,107.21,107.51,3279700,0.0,0.0
2021-02-22,106.67,106.96,104.95,105.96,2294600,0.0,0.0
2021-02-23,105.57,105.81,103.48,105.68,3627300,0.0,0.0
2021-02-24,105.65,106.16,104.42,105.72,2581400,0.0,0.0
2021-02-25,105.21,107.74,105.21,106.23,3470600,0.0,0.0
2021-02-26,106.81,107.17,104.47,104.63,3260400,0.0,0.0
2021-03-01,105.39,108.37,105.26,107.88,2297900,0.0,0.0
2021-03-02,107.91,109.05,107.25,107.77,1872400,0.0,0.0
2021-03-03,107.18,107.5,105.79,105.89,3542600,0.0,0.0
2021-03-04,105.59,107.62,104.35,105.4,3317600,0.0,0.0
2021-03-05,106.27,109.49,104.9,109.05,3007500,0.0,0.0
2021-03-08,109.07,110.08,107.76,107.88,2741100,0.0,0.0
2021-03-09,108.19,110.75,108.14,108.52,2786600,0.0,0.0
2021-03-10,109.21,110.12,108.72,109.63,2116600,0.0,0.0
2021-03-11,109.91,110.23,108.97,109.26,1882500,0.0,0.0
2021-03-12,109.55,109.81,108.84,109.38,1485300,0.0,0.0
2021-03-15,109.43,110.02,108.71,109.7,1756500,0.0,0.0
2021-03-16,110.04,110.41,108.81,109.06,1436700,0.33,0.0
2021-03-17,109.62,109.62,107.85,108.15,2027400,0.0,0.0
2021-03-18,108.03,108.13,106.11,106.19,2876100,0.0,0.0
2021-03-19,106.0,107.03,105.39,105.77,3531400,0.0,0.0
2021-03-22,105.46,106.71,104.85,106.11,1782900,0.0,0.0
2021-03-23,106.01,107.03,105.78,106.2,1948800,0.0,0.0
2021-03-24,106.24,107.69,105.71,107.11,1984200,0.0,0.0
2021-03-25,107.22,107.22,106.06,106.8,2053300,0.0,0.0
2021-03-26,107.17,108.17,106.32,108.09,1839700,0.0,0.0
2021-03-29,107.67,108.21,106.26,107.75,1966500,0.0,0.0
2021-03-30,107.08,107.5,105.55,105.8,1874800,0.0,0.0
2021-03-31,105.53,107.33,105.53,106.23,2210500,0.0,0.0
2021-04-01,106.94,108.64,106.47,108.63,1956000,0.0,0.0
2021-04-05,109.25,109.8,108.62,109.49,1508800,0.0,0.0
2021-04-06,109.42,109.61,108.18,108.35,2196300,0.0,0.0
2021-04-07,108.54,109.27,108.09,109.15,2436100,0.0,0.0
2021-04-08,109.93,110.53,109.44,110.38,2644900,0.0,0.0
2021-04-09,110.83,111.56,110.31,111.45,1657600,0.0,0.0
2021-04-12,111.14,112.14,110.97,111.96,2070800,0.0,0.0
2021-04-13,111.84,113.42,111.53,112.93,1690400,0.0,0.0
2021-04-14,112.91,114.08,112.2,112.42,1773700,0.0,0.0
2021-04-15,112.85,114.03,112.81,114.01,2091600,0.0,0.0
2021-04-16,114.52,115.17,113.72,114.84,2414400,0.0,0.0
2021-04-19,114.5,114.66,113.15,113.9,2085300,0.0,0.0
2021-04-20,113.93,114.62,113.52,113.91,2693600,0.0,0.0
2021-04-21,114.36,114.96,113.32,113.7,1908400,0.0,0.0
2021-04-22,113.24,114.89,113.09,113.99,1645100,0.0,0.0
2021-04-23,114.48,116.02,114.14,115.35,1375500,0.0,0.0
2021-04-26,115.5,115.95,114.89,114.96,1156700,0.0,0.0
2021-04-27,114.79,115.47,114.39,115.31,1662400,0.0,0.0
2021-04-28,115.55,115.58,112.72,113.26,2618900,0.0,0.0
2021-04-29,113.13,113.19,110.25,111.94,3624100,0.0,0.0
2021-04-30,111.38,111.96,109.82,111.96,3183300,0.0,0.0
2021-05-03,112.02,112.39,109.45,109.82,2672000,0.0,0.0
