,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,280.64,281.48,276.79,278.1,443300,0.0,0.0
2020-02-24,274.47,275.6,267.35,269.8,595400,0.0,0.0
2020-02-25,270.22,272.01,255.35,256.7,649000,0.0,0.0
2020-02-26,258.64,265.76,258.23,259.45,583900,0.0,0.0
2020-02-27,255.94,261.72,250.0,250.14,610100,0.0,0.0
2020-02-28,242.22,254.94,238.03,254.5,1614600,0.0,0.0
2020-03-02,254.92,262.32,247.66,261.98,700700,0.0,0.0
2020-03-03,259.25,263.73,247.63,251.25,728900,0.0,0.0
2020-03-04,256.07,263.33,251.0,263.02,602600,0.0,0.0
2020-03-05,258.17,260.01,250.97,255.16,524400,0.0,0.0
2020-03-06,245.44,250.83,242.75,249.88,559200,0.0,0.0
2020-03-09,236.1,246.33,230.55,242.83,909800,0.0,0.0
2020-03-10,251.99,256.0,241.35,255.36,605500,0.0,0.0
2020-03-11,245.58,252.63,243.36,245.58,694300,0.0,0.0
2020-03-12,230.16,246.66,225.75,241.0,1405500,0.0,0.0
2020-03-13,243.5,255.53,230.33,254.16,1371000,0.0,0.0
2020-03-16,231.94,240.22,223.71,223.83,1332000,0.0,0.0
2020-03-17,228.92,236.88,208.41,215.88,1271000,0.0,0.0
2020-03-18,204.33,213.28,199.17,205.13,1569300,0.0,0.0
2020-03-19,204.02,207.94,185.02,193.17,1852300,0.0,0.0
2020-03-20,193.94,196.94,180.19,183.28,1539200,0.0,0.0
2020-03-23,181.96,187.25,168.64,182.94,1386200,0.0,0.0
2020-03-24,190.38,207.05,186.72,204.99,1065900,0.0,0.0
2020-03-25,204.77,223.85,200.66,214.22,892300,0.0,0.0
2020-03-26,213.05,232.47,212.19,230.38,740500,0.0,0.0
2020-03-27,223.53,237.05,223.53,231.75,857900,0.0,0.0
2020-03-30,235.89,244.27,230.5,241.02,805200,0.0,0.0
2020-03-31,239.36,256.64,239.16,242.24,1175500,0.0,0.0
2020-04-01,237.8,239.27,227.69,230.66,940600,0.0,0.0
2020-04-02,226.02,240.75,226.02,239.69,786700,0.0,0.0
2020-04-03,237.88,244.0,233.25,234.55,946400,0.0,0.0
2020-04-06,246.25,255.63,243.36,254.42,743300,0.0,0.0
2020-04-07,260.66,264.98,247.63,251.74,723700,0.0,0.0
2020-04-08,249.41,256.25,244.97,254.72,820200,0.0,0.0
