,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,2.02,2.04,0.89
2024-10-28 20:00:00-04:00,1.88,1.9,0.82
2024-07-30 20:00:00-04:00,2.04,2.06,0.86
2024-04-22 20:00:00-04:00,1.76,1.88,6.95
2024-02-05 19:00:00-05:00,1.78,1.83,2.99
2023-10-24 20:00:00-04:00,1.89,2.12,12.34
2023-07-25 20:00:00-04:00,2.11,2.18,3.1
2023-04-25 20:00:00-04:00,2.02,2.09,3.67
