,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,162.8,163.96,161.98,163.46,231300,0.0,0.0
2020-02-24,158.89,160.88,158.15,159.77,390700,0.0,0.0
2020-02-25,160.42,160.42,152.7,153.55,454100,0.0,0.0
2020-02-26,154.68,155.13,150.21,150.22,555100,0.0,0.0
2020-02-27,147.03,149.9,143.47,143.47,666500,0.0,0.0
2020-02-28,139.23,143.31,137.27,139.56,979200,0.0,0.0
2020-03-02,140.83,144.97,140.08,144.31,1001400,0.0,0.0
2020-03-03,144.49,147.25,140.33,140.9,600400,0.0,0.0
2020-03-04,143.49,145.48,141.33,145.12,556600,0.0,0.0
2020-03-05,141.57,142.73,139.44,139.75,640700,0.0,0.0
2020-03-06,135.64,138.26,134.37,137.9,508600,0.0,0.0
2020-03-09,128.19,132.79,125.22,127.95,929200,0.0,0.0
2020-03-10,131.97,136.27,129.14,136.21,774800,0.0,0.0
2020-03-11,132.33,132.71,126.33,127.18,504300,0.0,0.0
2020-03-12,118.52,127.48,115.49,116.11,1103600,0.0,0.0
2020-03-13,123.42,123.42,115.0,123.38,1185500,0.0,0.0
2020-03-16,110.01,116.42,108.45,109.1,816000,0.0,0.0
2020-03-17,111.58,119.14,110.48,118.77,959700,0.0,0.0
2020-03-18,103.64,112.77,98.59,107.5,1052100,0.0,0.0
2020-03-19,106.91,117.79,105.2,116.32,1286100,0.0,0.0
2020-03-20,118.25,118.25,108.25,109.83,1066600,0.0,0.0
2020-03-23,109.05,113.4,103.46,108.11,944900,0.0,0.0
2020-03-24,113.46,114.51,109.63,113.14,1354000,0.0,0.0
2020-03-25,113.0,117.93,111.78,112.55,1326700,0.0,0.0
2020-03-26,113.61,120.21,110.34,118.63,1468000,0.0,0.0
2020-03-27,115.66,126.53,114.68,123.7,860200,0.0,0.0
2020-03-30,124.89,129.75,120.21,129.07,940900,0.0,0.0
2020-03-31,130.8,132.67,127.49,130.23,1064300,0.0,0.0
2020-04-01,125.18,127.61,123.28,125.6,1031200,0.0,0.0
2020-04-02,125.11,130.45,125.11,128.6,971300,0.0,0.0
2020-04-03,127.32,131.45,127.32,130.61,852300,0.0,0.0
2020-04-06,135.09,137.62,134.43,135.75,1056600,0.0,0.0
2020-04-07,139.59,142.44,137.44,137.76,902100,0.0,0.0
2020-04-08,137.49,143.86,136.86,142.39,571600,0.0,0.0
2020-04-09,143.95,146.42,142.02,142.88,573000,0.0,0.0
2020-04-13,142.93,144.05,136.99,138.26,470200,0.0,0.0
2020-04-14,141.53,143.41,140.46,141.65,537700,0.0,0.0
2020-04-15,137.9,138.88,135.11,137.1,451700,0.0,0.0
2020-04-16,137.29,138.82,134.95,138.45,496400,0.0,0.0
2020-04-17,141.7,144.87,141.58,144.02,550500,0.0,0.0
2020-04-20,141.98,144.36,139.83,142.93,389100,0.0,0.0
2020-04-21,139.63,141.77,138.33,140.15,457400,0.0,0.0
2020-04-22,143.06,143.79,139.17,143.01,415800,0.0,0.0
2020-04-23,142.86,146.51,142.69,143.67,536400,0.0,0.0
2020-04-24,138.02,145.41,135.44,144.01,772500,0.0,0.0
2020-04-27,145.94,148.33,144.29,147.37,543300,0.0,0.0
2020-04-28,149.46,152.87,147.08,148.78,496000,0.0,0.0
2020-04-29,150.87,152.43,147.9,148.87,470500,0.0,0.0
2020-04-30,147.31,147.34,144.24,144.87,660300,0.0,0.0
2020-05-01,142.98,144.3,141.16,142.66,362400,0.0,0.0
2020-05-04,141.44,142.17,139.02,142.04,406300,0.0,0.0
2020-05-05,144.05,145.09,142.85,143.12,346700,0.0,0.0
2020-05-06,143.69,144.36,141.68,143.05,512400,0.0,0.0
2020-05-07,145.31,146.36,144.17,144.65,448200,0.0,0.0
2020-05-08,146.93,148.96,144.86,145.87,479500,0.0,0.0
2020-05-11,144.36,145.12,142.25,144.8,491900,0.0,0.0
2020-05-12,145.18,145.18,139.56,139.62,347500,0.0,0.0
2020-05-13,139.25,140.35,136.08,138.43,573800,0.0,0.0
2020-05-14,136.65,141.21,134.22,141.01,752900,0.5,0.0
2020-05-15,140.17,144.66,139.97,140.43,2239500,0.0,0.0
2020-05-18,144.25,147.25,144.25,146.31,452700,0.0,0.0
2020-05-19,145.91,147.04,142.81,143.01,445600,0.0,0.0
2020-05-20,144.7,146.42,143.83,144.17,402200,0.0,0.0
2020-05-21,143.76,144.3,141.63,143.4,376800,0.0,0.0
2020-05-22,143.39,143.76,140.81,142.35,383200,0.0,0.0
2020-05-26,145.9,148.58,145.43,146.74,398900,0.0,0.0
2020-05-27,148.92,150.74,147.12,150.64,509000,0.0,0.0
2020-05-28,152.03,152.32,148.54,148.99,657700,0.0,0.0
2020-05-29,148.48,151.07,147.38,150.79,538100,0.0,0.0
2020-06-01,150.92,151.82,148.56,149.61,361100,0.0,0.0
2020-06-02,150.23,151.31,149.16,151.29,475800,0.0,0.0
2020-06-03,152.76,157.26,152.49,156.93,657700,0.0,0.0
2020-06-04,155.55,155.55,153.58,155.14,484400,0.0,0.0
2020-06-05,158.38,158.77,154.94,158.29,469600,0.0,0.0
2020-06-08,158.16,160.07,156.54,157.88,545800,0.0,0.0
2020-06-09,156.19,156.98,153.17,153.38,501500,0.0,0.0
2020-06-10,153.76,154.51,151.12,151.56,416200,0.0,0.0
2020-06-11,147.75,147.86,142.9,142.99,656400,0.0,0.0
2020-06-12,147.14,147.14,141.2,144.38,592800,0.0,0.0
2020-06-15,141.23,145.73,140.46,144.5,456100,0.0,0.0
2020-06-16,148.81,150.03,144.68,146.65,351100,0.0,0.0
2020-06-17,147.39,148.07,145.85,146.35,322000,0.0,0.0
2020-06-18,145.61,146.77,144.12,144.87,308100,0.0,0.0
2020-06-19,147.82,147.82,143.62,144.99,552700,0.0,0.0
2020-06-22,143.59,146.26,142.52,145.18,392900,0.0,0.0
2020-06-23,146.67,147.56,145.89,145.99,447500,0.0,0.0
2020-06-24,144.58,144.58,140.43,140.75,426100,0.0,0.0
2020-06-25,140.7,144.1,138.0,144.0,559300,0.0,0.0
2020-06-26,143.44,147.21,143.35,146.43,1808600,0.0,0.0
2020-06-29,147.45,147.65,145.23,146.08,412000,0.0,0.0
2020-06-30,145.58,150.47,145.17,149.53,411100,0.0,0.0
2020-07-01,149.73,149.94,146.92,147.45,264100,0.0,0.0
2020-07-02,148.98,151.39,148.44,149.39,347200,0.0,0.0
2020-07-06,151.72,152.04,149.72,151.42,350200,0.0,0.0
2020-07-07,150.35,151.97,149.14,149.81,229400,0.0,0.0
2020-07-08,149.88,150.54,148.26,149.32,180000,0.0,0.0
2020-07-09,148.49,149.86,146.81,148.73,315100,0.0,0.0
2020-07-10,148.78,149.21,147.43,148.49,252300,0.0,0.0
2020-07-13,149.49,152.85,149.49,150.86,345600,0.0,0.0
2020-07-14,150.52,154.5,150.47,154.03,373100,0.0,0.0
2020-07-15,155.96,159.89,155.0,159.56,600000,0.5,0.0
2020-07-16,159.22,160.54,158.5,159.88,332900,0.0,0.0
2020-07-17,161.04,161.66,159.6,160.94,327200,0.0,0.0
2020-07-20,160.59,161.58,158.62,160.38,343000,0.0,0.0
2020-07-21,160.83,163.13,160.41,161.49,417200,0.0,0.0
2020-07-22,161.49,162.99,160.66,160.72,467100,0.0,0.0
2020-07-23,161.65,163.59,161.0,162.21,511200,0.0,0.0
2020-07-24,161.67,161.67,156.64,159.13,622200,0.0,0.0
2020-07-27,159.96,162.32,158.6,160.93,503300,0.0,0.0
2020-07-28,160.61,160.89,156.93,156.96,282500,0.0,0.0
2020-07-29,157.91,159.26,157.46,158.12,266700,0.0,0.0
2020-07-30,156.54,157.22,154.32,156.22,332700,0.0,0.0
2020-07-31,155.94,156.71,154.49,156.43,302800,0.0,0.0
2020-08-03,157.15,159.04,156.94,157.82,350800,0.0,0.0
2020-08-04,157.02,157.58,155.96,156.65,225500,0.0,0.0
2020-08-05,157.51,158.84,157.38,157.69,332400,0.0,0.0
2020-08-06,157.62,158.14,156.2,158.04,201300,0.0,0.0
2020-08-07,158.18,159.03,157.27,159.01,365700,0.0,0.0
2020-08-10,158.71,162.53,158.71,162.49,461000,0.0,0.0
2020-08-11,163.24,167.0,162.71,165.16,499400,0.0,0.0
2020-08-12,166.29,168.58,165.39,167.97,407000,0.0,0.0
2020-08-13,166.9,166.9,164.8,165.96,276700,0.0,0.0
2020-08-14,164.97,168.07,164.61,167.7,429300,0.0,0.0
2020-08-17,167.67,168.1,165.3,165.96,295500,0.0,0.0
2020-08-18,165.91,168.16,165.91,167.57,377200,0.0,0.0
2020-08-19,168.2,168.53,166.45,166.84,300900,0.0,0.0
2020-08-20,165.61,167.33,164.74,167.31,370400,0.0,0.0
2020-08-21,167.4,170.44,166.89,169.75,637100,0.0,0.0
2020-08-24,169.91,171.91,169.76,171.4,337700,0.0,0.0
2020-08-25,171.69,171.87,169.99,170.55,480600,0.0,0.0
2020-08-26,170.39,171.4,169.3,170.84,280900,0.0,0.0
2020-08-27,171.43,172.02,169.58,169.64,335500,0.0,0.0
2020-08-28,169.63,171.69,168.59,171.68,284700,0.0,0.0
2020-08-31,171.49,171.49,169.86,171.06,361800,0.0,0.0
2020-09-01,170.41,173.27,169.71,172.81,234200,0.0,0.0
2020-09-02,173.14,175.75,172.72,174.79,319100,0.0,0.0
2020-09-03,175.09,175.09,169.86,170.98,328800,0.0,0.0
2020-09-04,173.42,173.87,167.89,168.58,440500,0.0,0.0
2020-09-08,167.86,169.83,165.12,167.05,368700,0.0,0.0
2020-09-09,168.2,172.22,167.23,170.54,282800,0.0,0.0
2020-09-10,170.7,171.34,168.3,168.37,353700,0.0,0.0
2020-09-11,169.31,172.31,168.91,171.9,356400,0.0,0.0
2020-09-14,172.56,175.25,172.18,174.73,360700,0.0,0.0
2020-09-15,174.82,177.13,174.82,176.73,304300,0.0,0.0
2020-09-16,177.69,178.56,176.23,176.97,357900,0.0,0.0
2020-09-17,175.88,178.59,173.81,177.03,383700,0.0,0.0
2020-09-18,176.68,177.96,175.47,176.57,572500,0.0,0.0
2020-09-21,174.23,174.79,167.52,169.18,499000,0.0,0.0
2020-09-22,169.94,171.59,168.49,171.16,395300,0.0,0.0
2020-09-23,170.95,172.35,167.42,167.52,275300,0.0,0.0
2020-09-24,167.95,170.67,166.65,168.71,251500,0.0,0.0
2020-09-25,167.83,170.7,166.96,169.92,342100,0.0,0.0
2020-09-28,171.66,174.13,171.62,172.09,214300,0.0,0.0
2020-09-29,171.48,173.37,171.48,172.5,201700,0.0,0.0
2020-09-30,173.56,174.45,171.16,173.12,494700,0.0,0.0
2020-10-01,174.73,175.78,168.11,169.05,351700,0.0,0.0
2020-10-02,167.53,172.45,167.26,170.76,228700,0.0,0.0
2020-10-05,172.4,174.38,172.4,173.6,166000,0.0,0.0
2020-10-06,173.65,177.4,172.67,174.44,277700,0.0,0.0
2020-10-07,176.21,179.71,176.1,179.55,344000,0.0,0.0
2020-10-08,180.35,181.24,179.48,180.33,333500,0.0,0.0
2020-10-09,180.77,181.62,179.29,180.72,258400,0.0,0.0
2020-10-12,181.05,181.05,175.53,179.55,497300,0.0,0.0
2020-10-13,178.69,179.54,175.44,176.72,321000,0.0,0.0
2020-10-14,176.2,180.17,175.87,179.05,408800,0.5,0.0
2020-10-15,177.64,180.59,176.46,180.45,411800,0.0,0.0
2020-10-16,181.33,183.8,181.33,183.41,1249900,0.0,0.0
2020-10-19,184.01,184.43,179.36,180.57,329600,0.0,0.0
2020-10-20,181.5,184.91,181.45,181.71,372300,0.0,0.0
2020-10-21,181.9,184.23,181.18,181.24,303800,0.0,0.0
2020-10-22,181.68,183.04,179.85,179.93,287700,0.0,0.0
2020-10-23,181.25,182.54,179.88,182.37,298200,0.0,0.0
2020-10-26,180.97,181.28,177.81,180.89,299100,0.0,0.0
2020-10-27,180.21,180.92,176.96,177.01,527300,0.0,0.0
2020-10-28,168.0,171.3,163.96,164.23,1125000,0.0,0.0
2020-10-29,164.38,165.33,159.62,160.57,1167100,0.0,0.0
2020-10-30,160.99,162.17,158.46,162.15,683000,0.0,0.0
2020-11-02,164.61,170.19,164.11,170.12,648900,0.0,0.0
2020-11-03,172.24,175.36,170.18,171.7,505200,0.0,0.0
2020-11-04,173.21,173.21,168.3,168.35,319900,0.0,0.0
2020-11-05,170.83,172.95,168.41,169.17,504600,0.0,0.0
2020-11-06,168.83,174.64,168.08,174.17,437100,0.0,0.0
2020-11-09,182.13,187.06,178.53,178.73,717100,0.0,0.0
2020-11-10,179.79,187.95,178.33,186.49,702900,0.0,0.0
2020-11-11,186.73,186.73,181.38,182.18,438300,0.0,0.0
2020-11-12,181.33,181.77,177.7,179.9,422300,0.0,0.0
2020-11-13,181.56,184.5,180.26,183.83,373800,0.0,0.0
2020-11-16,186.15,187.93,184.24,187.72,371900,0.0,0.0
2020-11-17,186.91,188.28,184.73,187.66,360400,0.0,0.0
2020-11-18,187.12,189.85,185.72,187.91,477800,0.0,0.0
2020-11-19,187.38,188.06,184.78,186.59,274400,0.0,0.0
2020-11-20,186.45,186.45,183.18,184.59,407900,0.0,0.0
2020-11-23,185.57,186.18,183.44,184.03,407300,0.0,0.0
2020-11-24,185.23,186.47,183.3,185.09,486600,0.0,0.0
2020-11-25,185.36,185.36,180.71,182.4,514400,0.0,0.0
2020-11-27,183.48,184.08,181.77,183.06,95700,0.0,0.0
2020-11-30,182.08,183.91,180.63,183.81,437800,0.0,0.0
2020-12-01,186.53,189.17,185.35,185.71,552700,0.0,0.0
2020-12-02,184.83,185.94,180.47,180.7,532100,0.0,0.0
2020-12-03,180.76,182.49,179.91,181.06,275100,0.0,0.0
2020-12-04,182.24,183.87,182.04,183.46,285700,0.0,0.0
2020-12-07,183.4,183.46,180.99,181.69,192600,0.0,0.0
2020-12-08,180.59,186.2,180.59,184.7,350500,0.0,0.0
2020-12-09,184.87,185.75,182.89,185.06,310500,0.0,0.0
2020-12-10,184.71,185.4,181.81,182.59,329000,0.0,0.0
2020-12-11,181.78,184.09,180.98,183.6,304300,0.0,0.0
2020-12-14,184.74,186.29,183.27,183.35,416500,0.0,0.0
2020-12-15,184.51,188.12,184.51,186.9,454800,0.0,0.0
2020-12-16,186.74,187.06,184.82,185.94,284000,0.0,0.0
2020-12-17,186.27,189.1,186.27,188.31,269500,0.0,0.0
2020-12-18,188.44,189.76,186.3,188.95,663700,0.0,0.0
2020-12-21,186.5,188.9,183.33,188.74,369200,0.0,0.0
2020-12-22,188.01,188.66,186.04,186.9,394700,0.0,0.0
