,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,54.61,55.64,54.35,54.74,26903100,0.0,0.0
2020-02-25,54.95,55.2,52.7,52.94,34495700,0.0,0.0
2020-02-26,53.28,53.91,52.53,52.87,26190100,0.0,0.0
2020-02-27,51.35,51.86,49.46,49.48,42226900,0.0,0.0
2020-02-28,48.13,49.97,47.51,49.21,60721700,0.0,0.0
2020-03-02,49.45,51.6,48.32,51.57,43140300,0.0,0.0
2020-03-03,51.43,52.31,49.1,49.61,49740300,0.0,0.0
2020-03-04,50.53,52.04,49.78,52.01,29223100,0.0,0.0
2020-03-05,50.58,51.99,50.18,50.49,29099200,0.0,0.0
2020-03-06,48.91,49.64,48.34,49.43,36259200,0.0,0.0
2020-03-09,46.02,46.72,44.32,45.07,56197000,0.0,0.0
2020-03-10,46.76,47.86,44.7,47.84,36569000,0.0,0.0
2020-03-11,46.44,47.45,45.21,45.79,38563500,0.0,0.0
2020-03-12,42.54,44.4,40.21,40.36,50661700,0.0,0.0
2020-03-13,42.77,48.75,42.31,48.24,48805100,0.0,0.0
2020-03-16,42.11,46.31,38.67,39.54,53878900,0.0,0.0
2020-03-17,40.56,45.76,40.06,44.39,52085200,0.0,0.0
2020-03-18,41.4,44.36,40.06,42.2,49309900,0.0,0.0
2020-03-19,42.4,43.63,40.03,40.72,44538000,0.0,0.0
2020-03-20,41.22,43.8,40.3,40.62,52344000,0.0,0.0
2020-03-23,40.79,44.75,40.69,43.94,46698500,0.0,0.0
2020-03-24,47.1,48.43,45.51,46.44,50019800,0.0,0.0
2020-03-25,46.52,47.68,44.24,45.43,41106100,0.0,0.0
2020-03-26,45.86,49.59,45.79,49.23,41459800,0.0,0.0
2020-03-27,47.35,48.43,46.15,46.42,31633500,0.0,0.0
2020-03-30,46.97,49.72,46.83,49.18,31628600,0.0,0.0
2020-03-31,48.8,49.46,47.17,47.97,48074700,0.0,0.0
2020-04-01,46.53,48.47,45.58,45.98,29586600,0.0,0.0
2020-04-02,45.46,48.36,45.4,48.17,27810000,0.0,0.0
2020-04-03,47.73,48.86,46.74,47.98,23906100,0.0,0.0
2020-04-06,50.19,52.09,49.74,51.79,32323400,0.0,0.0
2020-04-07,53.13,54.5,51.59,51.76,41410000,0.0,0.0
2020-04-08,52.29,52.75,51.33,52.28,26719500,0.0,0.0
2020-04-09,52.61,52.93,49.69,50.65,40499700,0.0,0.0
2020-04-13,50.14,52.09,50.14,52.03,23251900,0.0,0.0
2020-04-14,53.22,53.98,52.75,53.77,25674000,0.0,0.0
2020-04-15,52.95,53.03,51.75,52.18,22841600,0.0,0.0
2020-04-16,52.84,54.03,52.13,53.88,24433500,0.0,0.0
2020-04-17,54.97,55.07,53.03,53.5,27385600,0.0,0.0
2020-04-20,52.54,53.22,52.2,52.45,26420300,0.0,0.0
2020-04-21,51.51,51.94,49.57,49.95,25248000,0.0,0.0
2020-04-22,51.65,53.62,51.24,53.27,23350400,0.0,0.0
2020-04-23,52.89,53.27,52.13,52.33,35092000,0.0,0.0
2020-04-24,49.81,52.65,49.72,52.53,50187000,0.0,0.0
2020-04-27,52.93,53.03,51.75,52.71,25902200,0.0,0.0
