,EPS Estimate,Reported EPS,Surprise(%)
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-25 19:00:00-05:00,0.18,nan,nan
2024-10-29 20:00:00-04:00,0.17,0.15,-10.18
2024-07-23 20:00:00-04:00,0.18,0.12,-34.98
2024-04-29 20:00:00-04:00,0.18,0.23,29.08
2024-02-12 19:00:00-05:00,0.18,0.21,20.0
2023-10-24 20:00:00-04:00,0.17,0.21,21.16
2023-07-25 20:00:00-04:00,0.17,0.22,32.76
2023-04-30 20:00:00-04:00,0.16,0.2,26.0
2023-02-14 19:00:00-05:00,0.15,0.16,7.56
