,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,27.62,27.84,27.38,27.52,3203400,0.0,0.0
2020-02-24,27.18,27.62,27.17,27.39,2575500,0.0,0.0
2020-02-25,27.41,27.47,26.68,26.69,2951100,0.0,0.0
2020-02-26,26.62,26.76,25.86,25.95,4510400,0.0,0.0
2020-02-27,25.61,26.22,25.36,25.37,6429000,0.0,0.0
2020-02-28,24.98,25.47,23.91,25.15,10703000,0.0,0.0
2020-03-02,25.3,26.19,25.21,26.16,4701000,0.0,0.0
2020-03-03,26.21,26.79,25.73,26.12,5045300,0.0,0.0
2020-03-04,26.44,27.01,26.44,26.94,4235000,0.0,0.0
2020-03-05,26.55,26.88,26.29,26.47,3316600,0.0,0.0
2020-03-06,25.89,26.17,25.14,25.89,5847900,0.0,0.0
2020-03-09,24.64,24.87,23.84,24.06,7718300,0.0,0.0
2020-03-10,24.47,24.96,23.57,24.95,6802600,0.0,0.0
2020-03-11,24.41,24.48,23.18,23.64,8298800,0.0,0.0
2020-03-12,22.12,23.91,19.28,22.51,6571700,0.0,0.0
2020-03-13,23.42,23.8,21.97,23.71,6259100,0.0,0.0
2020-03-16,21.83,21.83,18.12,18.13,5565700,0.0,0.0
2020-03-17,18.84,19.86,17.56,19.37,7090900,0.0,0.0
2020-03-18,18.35,18.84,15.02,16.92,6894000,0.0,0.0
2020-03-19,16.88,17.2,15.65,16.21,7939200,0.0,0.0
2020-03-20,16.41,16.57,14.79,15.07,8349800,0.0,0.0
2020-03-23,14.84,14.89,13.71,14.14,6447300,0.0,0.0
2020-03-24,14.94,16.0,14.69,15.9,5961100,0.0,0.0
2020-03-25,15.88,17.28,15.58,16.55,7556300,0.0,0.0
2020-03-26,16.71,17.58,16.19,17.47,5889100,0.0,0.0
2020-03-27,16.89,18.84,16.76,18.24,5621800,0.0,0.0
2020-03-30,18.41,18.75,17.58,18.57,5653800,0.0,0.0
2020-03-31,18.32,19.05,17.72,18.73,8787300,0.0,0.0
2020-04-01,18.13,18.13,16.86,17.77,5575600,0.0,0.0
2020-04-02,17.44,18.01,17.27,17.92,4727700,0.0,0.0
2020-04-03,17.69,17.9,16.54,16.98,5347900,0.0,0.0
2020-04-06,17.67,18.95,17.62,18.8,6175200,0.0,0.0
2020-04-07,19.85,20.15,18.79,18.93,3856800,0.0,0.0
2020-04-08,19.22,20.33,18.74,20.2,3462300,0.0,0.0
2020-04-09,20.72,21.62,20.55,21.31,5019300,0.0,0.0
2020-04-13,21.17,21.21,20.62,20.74,3274800,0.0,0.0
2020-04-14,21.2,21.61,20.96,21.21,6526900,0.0,0.0
2020-04-15,20.55,21.12,20.33,20.87,5043700,0.0,0.0
2020-04-16,20.77,20.83,19.5,20.01,9798100,0.0,0.0
2020-04-17,20.58,21.04,20.23,20.88,4997100,0.0,0.0
2020-04-20,20.55,20.81,19.46,19.49,5211600,0.0,0.0
2020-04-21,18.98,19.36,18.45,18.55,5345600,0.0,0.0
2020-04-22,18.86,19.62,18.68,19.35,4905400,0.0,0.0
2020-04-23,19.55,19.59,18.88,18.92,3088700,0.0,0.0
2020-04-24,19.08,19.3,18.59,19.09,2328700,0.0,0.0
2020-04-27,19.23,19.88,19.1,19.79,1688100,0.0,0.0
2020-04-28,20.32,20.56,19.71,19.98,3815400,0.0,0.0
2020-04-29,20.83,21.15,20.05,20.95,4099400,0.0,0.0
2020-04-30,20.77,20.94,20.26,20.73,3274400,0.0,0.0
2020-05-01,20.15,20.43,19.72,20.05,2049400,0.0,0.0
2020-05-04,19.72,20.05,19.5,19.98,2603900,0.0,0.0
2020-05-05,20.26,20.76,20.26,20.61,4182700,0.0,0.0
2020-05-06,20.56,20.72,20.07,20.2,3978500,0.0,0.0
2020-05-07,20.16,21.9,20.13,21.57,5438300,0.0,0.0
2020-05-08,21.88,22.22,21.64,21.85,3438700,0.0,0.0
2020-05-11,21.56,22.55,21.56,22.19,4841600,0.0,0.0
2020-05-12,22.24,22.31,21.22,21.27,4369700,0.15,0.0
2020-05-13,21.08,21.52,20.83,21.14,5094900,0.0,0.0
2020-05-14,20.8,21.22,20.06,21.18,5074300,0.0,0.0
2020-05-15,20.99,21.31,20.68,21.25,3738000,0.0,0.0
2020-05-18,22.11,22.63,21.74,22.41,4692600,0.0,0.0
2020-05-19,22.24,22.6,22.07,22.26,4143500,0.0,0.0
2020-05-20,22.56,22.63,21.53,21.79,6259900,0.0,0.0
2020-05-21,21.55,22.29,21.55,22.25,4130300,0.0,0.0
2020-05-22,22.28,22.5,22.05,22.44,3831100,0.0,0.0
2020-05-26,22.57,23.29,22.49,23.04,5674700,0.0,0.0
2020-05-27,23.63,23.68,22.74,23.16,3494200,0.0,0.0
2020-05-28,23.46,23.67,22.6,23.1,4483100,0.0,0.0
2020-05-29,22.87,23.5,22.63,23.19,7669300,0.0,0.0
2020-06-01,23.41,24.74,23.2,24.61,5266500,0.0,0.0
