,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,1.17,1.11,-5.37
2024-10-21 20:00:00-04:00,0.7,0.7,-0.27
2024-07-23 20:00:00-04:00,0.59,0.61,2.98
2024-04-23 20:00:00-04:00,0.35,0.36,2.45
2024-02-07 19:00:00-05:00,1.13,1.18,4.46
2023-10-19 20:00:00-04:00,0.73,0.7,-3.85
2023-07-20 20:00:00-04:00,0.6,0.57,-5.63
2023-04-26 20:00:00-04:00,0.34,0.38,11.85
