,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 19:00:00-05:00,nan,nan,nan
2025-10-14 20:00:00-04:00,nan,nan,nan
2025-07-15 20:00:00-04:00,nan,nan,nan
2025-04-15 20:00:00-04:00,nan,nan,nan
2025-01-22 19:00:00-05:00,1.79,2.21,23.19
2025-01-14 19:00:00-05:00,nan,nan,nan
2024-10-16 20:00:00-04:00,1.63,1.84,12.58
2024-07-17 20:00:00-04:00,1.54,1.78,15.65
2024-04-17 20:00:00-04:00,1.41,1.5,6.53
2024-01-22 19:00:00-05:00,1.48,1.6,7.82
2023-10-18 20:00:00-04:00,1.41,1.46,3.38
2023-07-19 20:00:00-04:00,1.33,1.42,7.09
