,EPS Estimate,Reported EPS,Surprise(%)
2026-01-25 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-27 19:00:00-05:00,0.47,0.52,10.17
2024-10-21 20:00:00-04:00,0.43,0.44,2.98
2024-07-22 20:00:00-04:00,0.4,0.43,8.61
2024-04-22 20:00:00-04:00,0.4,0.33,-17.42
2024-01-22 19:00:00-05:00,0.4,0.47,17.5
2023-10-23 20:00:00-04:00,0.36,0.35,-1.43
2023-07-24 20:00:00-04:00,0.39,0.31,-21.46
2023-04-24 20:00:00-04:00,0.37,0.38,4.11
