,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-11-16 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,1.27,1.33,4.56
2024-11-18 19:00:00-05:00,1.54,1.37,-10.98
2024-08-05 20:00:00-04:00,1.96,1.96,-0.18
2024-05-06 20:00:00-04:00,1.85,1.91,3.11
2024-02-05 19:00:00-05:00,1.51,2.02,33.6
2023-11-20 19:00:00-05:00,1.87,1.96,4.78
2023-08-07 20:00:00-04:00,1.81,1.82,0.45
2023-05-08 20:00:00-04:00,1.75,1.81,3.66
