,EPS Estimate,Reported EPS,Surprise(%)
2025-12-15 19:00:00-05:00,nan,nan,nan
2025-09-23 20:00:00-04:00,nan,nan,nan
2025-06-17 20:00:00-04:00,nan,nan,nan
2025-03-12 20:00:00-04:00,nan,nan,nan
2024-12-17 19:00:00-05:00,1.88,2.0,6.52
2024-09-25 20:00:00-04:00,2.22,2.3,3.6
2024-06-19 20:00:00-04:00,1.85,1.89,2.09
2024-03-14 20:00:00-04:00,1.66,1.68,1.39
2023-12-13 19:00:00-05:00,2.58,2.6,0.91
2023-09-27 20:00:00-04:00,2.32,2.45,5.65
2023-06-14 20:00:00-04:00,1.87,1.99,6.16
2023-03-15 20:00:00-04:00,1.85,1.88,1.86
