,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-17 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,1.32,1.34,1.52
2024-11-04 19:00:00-05:00,1.61,1.63,1.45
2024-08-19 20:00:00-04:00,1.32,1.38,4.78
2024-05-06 20:00:00-04:00,1.17,1.19,2.06
2024-02-05 19:00:00-05:00,1.14,1.26,10.75
2023-11-06 19:00:00-05:00,1.32,1.39,5.65
2023-08-14 20:00:00-04:00,1.18,1.34,13.17
2023-05-01 20:00:00-04:00,1.1,1.12,1.95
