,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,0.58,0.64,9.97
2024-10-30 20:00:00-04:00,0.44,0.48,9.11
2024-07-24 20:00:00-04:00,0.44,0.31,-29.32
2024-04-24 20:00:00-04:00,0.4,0.29,-27.43
2024-01-29 19:00:00-05:00,0.64,0.61,-4.13
2023-10-25 20:00:00-04:00,0.55,0.6,9.7
2023-07-26 20:00:00-04:00,0.55,0.58,6.21
2023-04-24 20:00:00-04:00,0.43,0.48,11.05
