,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,20.98,21.18,20.85,20.88,2930000,0.0,0.0
2020-02-24,20.47,20.51,20.12,20.14,4400600,0.0,0.0
2020-02-25,20.21,20.24,19.37,19.59,3700000,0.0,0.0
2020-02-26,19.73,19.73,19.03,19.35,5739400,0.0,0.0
2020-02-27,19.04,19.56,18.63,18.8,5566000,0.0,0.0
2020-02-28,18.29,18.76,18.08,18.52,7056900,0.2,0.0
2020-03-02,18.54,19.11,18.22,19.1,5470800,0.0,0.0
2020-03-03,19.06,19.79,18.75,19.02,5379900,0.0,0.0
2020-03-04,19.2,19.72,18.91,19.7,3614300,0.0,0.0
2020-03-05,19.2,19.42,18.67,18.84,3698600,0.0,0.0
2020-03-06,18.26,18.73,18.2,18.66,3199100,0.0,0.0
2020-03-09,17.78,17.98,17.2,17.4,3926500,0.0,0.0
2020-03-10,17.8,18.66,17.56,18.64,6641200,0.0,0.0
2020-03-11,18.18,18.23,17.46,17.71,4769400,0.0,0.0
2020-03-12,16.68,17.16,15.53,16.76,5657500,0.0,0.0
2020-03-13,17.57,17.96,16.27,17.72,4838100,0.0,0.0
2020-03-16,14.65,17.3,13.27,16.14,7237100,0.0,0.0
2020-03-17,16.09,16.83,15.13,16.16,5958900,0.0,0.0
2020-03-18,14.8,16.1,14.64,16.02,6541100,0.0,0.0
2020-03-19,15.88,16.3,15.18,15.86,6661700,0.0,0.0
2020-03-20,15.96,16.28,15.29,15.4,3491700,0.0,0.0
2020-03-23,15.34,15.68,14.72,15.08,4383100,0.0,0.0
2020-03-24,15.73,17.09,15.55,16.98,5244300,0.0,0.0
2020-03-25,17.11,17.65,16.85,16.95,5323200,0.0,0.0
2020-03-26,16.99,17.92,16.78,17.81,4179100,0.0,0.0
2020-03-27,17.35,17.86,16.96,17.4,4103500,0.0,0.0
2020-03-30,17.49,17.74,17.03,17.67,2334400,0.0,0.0
2020-03-31,17.57,17.77,16.61,16.71,6755900,0.0,0.0
2020-04-01,16.24,16.85,16.1,16.78,3723300,0.0,0.0
2020-04-02,16.16,17.2,16.16,17.16,4387900,0.0,0.0
2020-04-03,17.1,17.65,16.97,17.55,4753500,0.0,0.0
2020-04-06,18.05,18.79,17.81,18.63,4517200,0.0,0.0
2020-04-07,19.05,19.49,18.92,19.05,3620400,0.0,0.0
2020-04-08,19.3,19.53,19.12,19.42,3375000,0.0,0.0
2020-04-09,19.52,19.66,18.74,18.91,3934000,0.0,0.0
2020-04-13,18.91,19.12,18.77,19.06,2365200,0.0,0.0
2020-04-14,19.33,19.74,19.2,19.62,3552900,0.0,0.0
2020-04-15,19.34,19.56,18.87,19.11,3200600,0.0,0.0
2020-04-16,19.15,19.25,18.64,19.15,2935800,0.0,0.0
2020-04-17,19.48,19.74,19.27,19.7,3477300,0.0,0.0
2020-04-20,20.05,20.56,19.78,20.16,4260600,0.0,0.0
2020-04-21,20.02,20.08,19.6,19.74,4282100,0.0,0.0
2020-04-22,20.08,20.39,19.93,20.25,5316800,0.0,0.0
2020-04-23,20.29,20.44,20.02,20.19,2688800,0.0,0.0
2020-04-24,20.3,20.36,20.08,20.33,3729200,0.0,0.0
2020-04-27,20.49,20.78,20.38,20.72,2950700,0.0,0.0
2020-04-28,20.95,21.26,20.76,20.9,4236700,0.0,0.0
2020-04-29,21.64,22.02,20.06,20.14,9337900,0.0,0.0
2020-04-30,19.95,20.01,18.79,18.85,10060800,0.0,0.0
2020-05-01,18.68,19.46,18.57,19.05,6458500,0.0,0.0
2020-05-04,19.14,19.17,18.6,18.82,3352200,0.0,0.0
2020-05-05,18.9,19.54,18.76,19.33,3902600,0.0,0.0
2020-05-06,19.47,19.81,19.28,19.72,4148200,0.0,0.0
2020-05-07,19.94,20.19,19.63,20.18,5535000,0.0,0.0
2020-05-08,20.32,20.7,20.27,20.67,4010400,0.0,0.0
2020-05-11,20.52,20.81,20.44,20.77,2934200,0.0,0.0
2020-05-12,20.95,20.98,20.37,20.42,4452000,0.0,0.0
2020-05-13,20.35,20.69,19.73,19.92,6740400,0.0,0.0
2020-05-14,19.74,20.21,19.72,20.01,3058200,0.0,0.0
2020-05-15,19.9,20.48,19.84,20.03,9379200,0.0,0.0
2020-05-18,20.36,20.56,20.15,20.46,3133800,0.0,0.0
2020-05-19,20.46,20.61,20.29,20.3,2479500,0.0,0.0
2020-05-20,20.46,20.8,20.4,20.63,2647800,0.0,0.0
2020-05-21,20.6,20.71,20.33,20.35,2462100,0.0,0.0
2020-05-22,20.43,20.43,19.99,20.22,2166500,0.0,0.0
2020-05-26,20.58,20.7,20.28,20.29,3373800,0.0,0.0
