,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,51.4,51.54,51.04,51.49,1943519,0.0,0.0
2020-02-24,50.83,51.12,50.24,50.69,2704674,0.0,0.0
2020-02-25,50.82,51.0,49.42,49.82,2706165,0.0,0.0
2020-02-26,50.01,50.49,49.17,49.33,1984308,0.0,0.0
2020-02-27,48.85,49.01,47.88,47.95,2843657,0.0,0.0
2020-02-28,47.15,47.73,45.35,47.52,4820723,0.0,0.0
2020-03-02,47.77,50.09,47.7,50.09,2752173,0.53,0.0
2020-03-03,50.1,51.11,49.23,49.7,2132237,0.0,0.0
2020-03-04,50.26,51.26,49.98,51.21,2561751,0.0,0.0
2020-03-05,50.56,51.24,50.2,50.51,1616031,0.0,0.0
2020-03-06,49.13,50.28,48.82,50.13,2437679,0.0,0.0
2020-03-09,47.77,50.12,47.6,49.51,2935886,0.0,0.0
2020-03-10,49.88,50.93,47.9,49.89,3000531,0.0,0.0
2020-03-11,48.76,49.3,47.75,48.94,2348006,0.0,0.0
2020-03-12,46.43,47.6,45.09,46.17,4075755,0.0,0.0
2020-03-13,47.66,50.6,47.21,50.51,3841349,0.0,0.0
2020-03-16,46.31,51.46,46.21,49.63,3992685,0.0,0.0
2020-03-17,50.29,55.04,49.36,54.92,5534699,0.0,0.0
2020-03-18,53.39,55.82,51.14,54.71,4217933,0.0,0.0
2020-03-19,54.31,54.54,48.45,48.74,5040858,0.0,0.0
2020-03-20,48.77,48.82,43.9,44.28,5077175,0.0,0.0
2020-03-23,43.79,45.05,41.78,42.49,3453582,0.0,0.0
2020-03-24,43.44,45.18,42.86,44.64,3102878,0.0,0.0
2020-03-25,44.43,47.02,43.4,44.56,3536120,0.0,0.0
2020-03-26,44.63,47.3,44.11,46.62,3562851,0.0,0.0
2020-03-27,45.79,48.34,45.25,47.18,2711490,0.0,0.0
2020-03-30,47.9,48.79,47.42,48.32,2039475,0.0,0.0
2020-03-31,48.47,49.05,47.37,47.59,2504028,0.0,0.0
2020-04-01,46.82,48.72,46.31,48.47,2637686,0.0,0.0
2020-04-02,47.82,49.17,47.32,48.65,2286662,0.0,0.0
2020-04-03,48.14,50.73,48.14,50.44,1702083,0.0,0.0
