,EPS Estimate,Reported EPS,Surprise(%)
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-24 19:00:00-05:00,0.58,nan,nan
2024-10-23 20:00:00-04:00,0.51,0.51,0.45
2024-07-24 20:00:00-04:00,0.45,0.45,0.08
2024-04-24 20:00:00-04:00,0.35,0.38,9.88
2024-02-21 19:00:00-05:00,0.54,0.55,1.7
2023-10-25 20:00:00-04:00,0.47,0.48,2.63
2023-07-26 20:00:00-04:00,0.4,0.42,3.94
2023-04-26 20:00:00-04:00,0.33,0.34,1.97
2023-02-22 19:00:00-05:00,0.5,0.5,-0.6
