,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,97.88,98.31,95.65,96.18,1966200,0.0,0.0
2020-02-24,93.0,93.22,90.34,90.88,2730000,0.0,0.0
2020-02-25,99.79,99.84,93.19,93.66,4298900,0.0,0.0
2020-02-26,94.68,97.16,93.26,94.06,3640200,0.0,0.0
2020-02-27,91.36,96.01,90.59,92.4,3434100,0.0,0.0
2020-02-28,89.5,95.0,89.36,94.76,3521400,0.0,0.0
2020-03-02,94.94,97.48,93.44,97.41,2516500,0.0,0.0
2020-03-03,97.0,99.76,92.73,93.51,2656300,0.0,0.0
2020-03-04,95.44,98.05,93.66,97.93,2133700,0.0,0.0
2020-03-05,95.41,98.91,95.0,98.59,2862900,0.0,0.0
2020-03-06,95.8,96.86,93.62,96.01,2477200,0.0,0.0
2020-03-09,90.19,92.26,87.7,89.19,3521200,0.0,0.0
2020-03-10,91.79,94.98,88.83,94.83,1991600,0.0,0.0
2020-03-11,92.37,94.2,90.26,91.8,2404200,0.0,0.0
2020-03-12,85.7,88.55,82.33,82.36,3438000,0.0,0.0
2020-03-13,87.08,92.02,85.11,92.02,2417000,0.0,0.0
2020-03-16,80.77,89.38,80.0,83.77,2765000,0.0,0.0
2020-03-17,85.4,94.5,80.19,94.19,2947000,0.0,0.0
2020-03-18,86.62,91.11,82.41,86.0,3053100,0.0,0.0
2020-03-19,85.16,86.48,79.87,85.97,2721400,0.0,0.0
2020-03-20,86.18,86.48,81.13,83.08,3254500,0.0,0.0
2020-03-23,82.66,83.9,79.0,81.16,2061300,0.0,0.0
2020-03-24,84.76,86.84,81.88,85.05,2162000,0.0,0.0
2020-03-25,84.18,85.0,80.58,81.95,2286700,0.0,0.0
2020-03-26,82.09,86.25,81.7,84.2,1930200,0.0,0.0
2020-03-27,82.98,82.98,77.93,78.27,2366500,0.0,0.0
2020-03-30,79.38,86.48,78.95,85.66,1935100,0.0,0.0
2020-03-31,85.18,86.58,83.19,83.68,2273500,0.0,0.0
2020-04-01,81.19,83.37,80.06,80.88,1279500,0.0,0.0
2020-04-02,79.88,83.87,79.4,83.75,1440300,0.0,0.0
2020-04-03,83.59,84.94,80.66,82.51,1301000,0.0,0.0
2020-04-06,85.55,91.52,85.0,90.73,1981600,0.0,0.0
2020-04-07,93.3,94.62,89.0,89.2,2201400,0.0,0.0
2020-04-08,90.11,91.73,88.3,91.0,1283000,0.0,0.0
2020-04-09,91.05,93.26,90.37,92.09,1040000,0.0,0.0
2020-04-13,91.41,92.86,90.71,92.55,1018600,0.0,0.0
2020-04-14,93.63,96.15,93.59,94.86,1026100,0.0,0.0
2020-04-15,93.29,93.48,91.86,92.97,900700,0.0,0.0
2020-04-16,93.12,96.87,92.58,96.58,1100900,0.0,0.0
2020-04-17,97.65,98.56,94.86,95.83,1652800,0.0,0.0
2020-04-20,95.37,97.08,94.69,95.3,1063300,0.0,0.0
2020-04-21,94.47,94.47,91.28,91.59,1006500,0.0,0.0
2020-04-22,93.61,95.83,93.35,95.26,723500,0.0,0.0
2020-04-23,95.58,97.27,95.09,95.76,1155600,0.0,0.0
