,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,0.78,0.84,7.97
2024-10-29 20:00:00-04:00,0.74,0.75,1.44
2024-07-30 20:00:00-04:00,0.74,0.78,6.11
2024-04-30 20:00:00-04:00,0.69,0.69,0.47
2024-02-13 19:00:00-05:00,0.77,0.78,1.65
2023-10-31 20:00:00-04:00,0.66,0.72,9.46
2023-08-01 20:00:00-04:00,0.76,0.79,4.02
2023-05-02 20:00:00-04:00,0.6,0.68,13.91
