,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,15.26,15.46,15.2,15.38,3001600,0.0,0.0
2020-02-24,15.25,15.39,15.18,15.3,3861600,0.0,0.0
2020-02-25,15.38,15.38,14.93,14.98,3887800,0.0,0.0
2020-02-26,14.99,15.07,14.73,14.74,3828600,0.0,0.0
2020-02-27,14.56,14.88,14.14,14.26,6147100,0.0,0.0
2020-02-28,13.97,14.13,13.54,13.99,9435900,0.0,0.0
2020-03-02,14.02,14.41,13.7,14.37,5957100,0.0,0.0
2020-03-03,14.38,14.71,14.18,14.32,8309100,0.0,0.0
2020-03-04,14.48,14.83,14.45,14.74,4390300,0.0,0.0
2020-03-05,14.49,14.62,14.27,14.41,5061600,0.0,0.0
2020-03-06,14.07,14.07,13.64,13.97,3610900,0.0,0.0
2020-03-09,13.24,13.32,12.55,12.55,6039900,0.0,0.0
2020-03-10,12.9,13.08,12.35,13.05,4885700,0.0,0.0
2020-03-11,12.72,12.74,11.95,11.97,7932800,0.0,0.0
2020-03-12,11.18,11.21,8.06,10.26,9752800,0.0,0.0
2020-03-13,10.84,10.97,10.05,10.66,9039200,0.0,0.0
2020-03-16,9.92,10.01,8.52,8.55,10840500,0.0,0.0
2020-03-17,8.75,8.92,8.06,8.76,10354800,0.0,0.0
2020-03-18,8.18,8.26,7.5,7.87,7871800,0.0,0.0
2020-03-19,7.76,8.79,7.26,8.26,5697100,0.0,0.0
2020-03-20,8.44,9.13,8.12,8.57,13813700,0.0,0.0
2020-03-23,8.48,8.57,7.35,7.59,9990700,0.0,0.0
2020-03-24,8.1,8.51,7.86,8.46,8134000,0.0,0.0
2020-03-25,8.61,9.73,8.11,9.02,6815800,0.0,0.0
2020-03-26,9.18,9.51,8.55,9.13,7089000,0.0,0.0
2020-03-27,8.74,8.77,8.3,8.38,7074700,0.0,0.0
2020-03-30,8.35,8.44,7.71,8.14,9413000,0.0,0.0
2020-03-31,8.01,8.15,7.47,7.8,11178700,0.0,0.0
2020-04-01,7.24,7.47,6.85,6.89,9015300,0.28,0.0
2020-04-02,6.89,7.02,6.18,6.43,8732800,0.0,0.0
2020-04-03,6.38,6.76,6.24,6.45,8405100,0.0,0.0
2020-04-06,7.1,7.34,6.76,7.19,9092800,0.0,0.0
2020-04-07,7.87,8.52,7.58,7.6,12017100,0.0,0.0
2020-04-08,7.77,8.04,7.51,7.99,6226400,0.0,0.0
2020-04-09,8.45,9.33,8.45,8.98,10278200,0.0,0.0
2020-04-13,8.97,9.0,8.4,8.76,6093700,0.0,0.0
2020-04-14,8.94,9.22,8.76,8.91,5605200,0.0,0.0
2020-04-15,8.33,8.43,7.95,8.06,5323900,0.0,0.0
2020-04-16,7.95,7.98,6.98,7.04,7247100,0.0,0.0
2020-04-17,7.58,7.93,7.3,7.4,7354400,0.0,0.0
2020-04-20,7.11,7.38,6.91,7.11,11069500,0.0,0.0
2020-04-21,6.77,7.09,6.67,6.89,6075000,0.0,0.0
2020-04-22,7.21,7.21,6.81,6.91,6525000,0.0,0.0
2020-04-23,6.98,7.37,6.92,7.17,7400100,0.0,0.0
2020-04-24,7.26,7.45,6.96,7.14,9553100,0.0,0.0
2020-04-27,7.19,7.74,7.11,7.72,10851300,0.0,0.0
2020-04-28,8.14,8.62,8.14,8.43,9221800,0.0,0.0
2020-04-29,8.86,9.36,8.84,9.29,7488200,0.0,0.0
2020-04-30,8.97,9.17,8.67,9.06,9007300,0.0,0.0
2020-05-01,8.67,8.87,8.51,8.8,7635800,0.0,0.0
2020-05-04,8.39,8.73,8.29,8.63,5524500,0.0,0.0
2020-05-05,8.97,9.06,8.59,8.62,3661500,0.0,0.0
2020-05-06,8.63,8.68,8.1,8.15,6161800,0.0,0.0
2020-05-07,8.3,8.58,8.18,8.34,6183800,0.0,0.0
2020-05-08,8.55,9.21,8.43,9.05,7994900,0.0,0.0
2020-05-11,8.78,8.79,8.2,8.38,12131400,0.0,0.0
2020-05-12,8.44,8.5,7.78,7.79,9375800,0.0,0.0
2020-05-13,7.69,7.71,7.12,7.27,13396500,0.0,0.0
2020-05-14,7.09,7.68,6.93,7.65,9649300,0.0,0.0
2020-05-15,7.39,7.7,7.22,7.6,9746100,0.0,0.0
2020-05-18,8.08,8.72,7.99,8.64,7103300,0.0,0.0
2020-05-19,8.49,8.86,8.29,8.68,8218300,0.0,0.0
2020-05-20,8.79,9.12,8.61,9.1,12312700,0.0,0.0
2020-05-21,9.07,9.43,8.97,9.35,10145000,0.0,0.0
2020-05-22,9.35,9.47,9.2,9.41,9396400,0.0,0.0
2020-05-26,9.99,10.31,9.96,10.16,7554000,0.0,0.0
2020-05-27,10.63,10.76,10.04,10.32,9095400,0.0,0.0
2020-05-28,10.46,10.54,9.64,9.72,14658800,0.0,0.0
2020-05-29,9.54,9.63,9.1,9.22,38667900,0.0,0.0
2020-06-01,9.26,10.1,9.22,9.95,8212500,0.0,0.0
2020-06-02,10.16,10.5,10.05,10.36,7177400,0.0,0.0
2020-06-03,10.71,11.7,10.68,11.54,10540400,0.0,0.0
2020-06-04,11.46,11.92,11.15,11.88,7499100,0.0,0.0
2020-06-05,12.72,13.19,12.47,12.64,8813100,0.0,0.0
2020-06-08,13.14,13.34,12.9,13.03,7750000,0.0,0.0
2020-06-09,11.99,12.65,11.98,12.39,7228700,0.0,0.0
2020-06-10,12.21,12.3,11.49,11.67,8064800,0.0,0.0
2020-06-11,10.52,11.24,10.31,10.42,9753000,0.0,0.0
2020-06-12,11.19,11.51,10.79,11.43,6724500,0.0,0.0
2020-06-15,10.48,11.46,10.39,11.31,6629300,0.0,0.0
2020-06-16,12.14,12.2,11.47,11.73,6372900,0.0,0.0
2020-06-17,11.75,11.76,11.06,11.07,4260300,0.0,0.0
2020-06-18,10.89,11.13,10.71,11.07,4611000,0.0,0.0
2020-06-19,11.3,11.34,10.54,10.56,12156600,0.0,0.0
2020-06-22,10.49,10.89,10.37,10.84,4770100,0.0,0.0
2020-06-23,11.06,11.24,10.75,10.84,4625000,0.0,0.0
2020-06-24,10.6,10.69,10.12,10.64,5392100,0.0,0.0
2020-06-25,10.38,10.72,10.33,10.59,5812200,0.0,0.0
2020-06-26,10.54,10.73,10.33,10.4,7351800,0.0,0.0
2020-06-29,10.54,10.73,10.28,10.56,6410500,0.0,0.0
2020-06-30,10.6,10.92,10.5,10.66,6929400,0.0,0.0
2020-07-01,10.74,11.13,10.7,10.72,6099100,0.0,0.0
2020-07-02,11.07,11.18,10.57,10.59,3600700,0.0,0.0
2020-07-06,11.04,11.13,10.61,10.74,3497900,0.0,0.0
2020-07-07,10.52,10.52,10.08,10.09,3972600,0.0,0.0
2020-07-08,10.08,10.15,9.77,10.09,3769200,0.0,0.0
2020-07-09,10.05,10.1,9.68,9.83,4718300,0.0,0.0
2020-07-10,9.76,10.06,9.75,10.05,3570500,0.0,0.0
2020-07-13,10.17,10.21,9.67,9.8,4136700,0.0,0.0
2020-07-14,9.72,9.77,9.49,9.55,3959000,0.0,0.0
2020-07-15,9.88,10.02,9.68,9.98,9877300,0.0,0.0
2020-07-16,9.84,9.96,9.75,9.83,5607900,0.0,0.0
2020-07-17,9.86,9.86,9.51,9.65,4768000,0.0,0.0
2020-07-20,9.62,9.71,9.31,9.34,4613900,0.0,0.0
2020-07-21,9.44,9.56,9.25,9.31,6117600,0.0,0.0
2020-07-22,9.22,9.48,9.12,9.37,5590000,0.0,0.0
2020-07-23,9.29,9.43,9.15,9.21,6380400,0.0,0.0
2020-07-24,9.21,9.35,8.92,8.93,5944200,0.0,0.0
2020-07-27,8.87,8.94,8.59,8.89,6599200,0.0,0.0
2020-07-28,8.84,9.33,8.74,9.23,6390100,0.0,0.0
2020-07-29,9.4,9.51,8.99,9.41,9111100,0.0,0.0
2020-07-30,9.19,9.37,8.98,9.32,6250900,0.0,0.0
2020-07-31,9.32,9.32,9.0,9.26,14200400,0.0,0.0
2020-08-03,9.22,9.28,9.03,9.21,3225500,0.0,0.0
2020-08-04,9.25,9.64,9.23,9.58,3833300,0.0,0.0
2020-08-05,9.7,9.77,9.32,9.4,4780700,0.0,0.0
2020-08-06,9.33,9.64,9.33,9.5,5193600,0.0,0.0
2020-08-07,9.43,9.91,9.28,9.91,4742200,0.0,0.0
2020-08-10,9.93,10.18,9.89,10.02,5633800,0.0,0.0
2020-08-11,10.49,10.7,10.32,10.35,5225800,0.0,0.0
2020-08-12,10.4,10.51,10.12,10.29,3127900,0.0,0.0
2020-08-13,10.17,10.35,9.94,9.97,3034900,0.0,0.0
2020-08-14,9.91,10.14,9.86,9.95,4449400,0.0,0.0
2020-08-17,9.96,10.03,9.82,9.96,3763800,0.0,0.0
2020-08-18,9.93,9.96,9.56,9.76,3498000,0.0,0.0
2020-08-19,9.78,9.8,9.47,9.49,4285400,0.0,0.0
2020-08-20,9.42,9.76,9.32,9.59,3206600,0.0,0.0
2020-08-21,9.58,9.64,9.4,9.49,3777400,0.0,0.0
2020-08-24,9.54,9.86,9.42,9.84,3759200,0.0,0.0
2020-08-25,9.87,9.99,9.62,9.81,2834800,0.0,0.0
2020-08-26,9.84,9.88,9.56,9.61,2527400,0.0,0.0
2020-08-27,9.66,9.96,9.66,9.86,3041800,0.0,0.0
2020-08-28,9.9,10.04,9.65,10.02,5936700,0.0,0.0
2020-08-31,10.02,10.02,9.85,9.96,6286400,0.0,0.0
2020-09-01,9.78,10.26,9.7,10.14,4725500,0.0,0.0
2020-09-02,10.15,10.27,9.96,10.26,4995500,0.0,0.0
2020-09-03,10.35,10.57,10.2,10.39,3771900,0.0,0.0
2020-09-04,10.46,10.59,10.25,10.51,5199900,0.0,0.0
2020-09-08,10.39,10.46,10.14,10.18,5594800,0.0,0.0
2020-09-09,10.22,10.29,10.03,10.12,4403000,0.1,0.0
2020-09-10,10.13,10.31,10.09,10.15,5819100,0.0,0.0
2020-09-11,10.09,10.1,9.66,9.76,8760500,0.0,0.0
2020-09-14,9.97,10.4,9.92,10.36,6067100,0.0,0.0
2020-09-15,10.41,11.03,10.35,10.86,6268200,0.0,0.0
2020-09-16,10.88,11.03,10.72,10.93,5124300,0.0,0.0
2020-09-17,10.75,10.91,10.67,10.76,3930700,0.0,0.0
2020-09-18,10.65,10.72,10.2,10.21,8098700,0.0,0.0
2020-09-21,9.92,9.96,9.51,9.67,5878600,0.0,0.0
2020-09-22,9.69,9.89,9.49,9.5,5933800,0.0,0.0
2020-09-23,9.46,9.68,9.02,9.03,3859300,0.0,0.0
2020-09-24,8.99,9.21,8.86,9.12,5409800,0.0,0.0
2020-09-25,9.03,9.43,9.01,9.39,2802200,0.0,0.0
2020-09-28,9.67,9.84,9.55,9.68,3512600,0.0,0.0
2020-09-29,9.61,9.61,9.17,9.44,5098400,0.0,0.0
2020-09-30,9.52,9.71,9.29,9.43,4247800,0.0,0.0
2020-10-01,9.48,9.75,9.35,9.72,5379100,0.0,0.0
2020-10-02,9.43,9.98,9.38,9.96,5727800,0.0,0.0
2020-10-05,10.07,10.13,9.76,10.0,4137100,0.0,0.0
2020-10-06,10.14,10.31,9.94,10.0,4605300,0.0,0.0
2020-10-07,10.05,10.13,9.78,9.84,5112700,0.0,0.0
2020-10-08,9.95,10.06,9.86,10.06,5078800,0.0,0.0
2020-10-09,10.15,10.15,9.71,9.73,3403400,0.0,0.0
2020-10-12,9.73,9.79,9.58,9.72,6290400,0.0,0.0
2020-10-13,9.61,9.69,9.22,9.27,3942300,0.0,0.0
2020-10-14,9.27,9.38,9.17,9.18,3446700,0.0,0.0
2020-10-15,9.12,9.36,9.06,9.3,3243200,0.0,0.0
2020-10-16,9.26,9.32,9.04,9.22,4698300,0.0,0.0
2020-10-19,9.43,9.45,9.03,9.15,5374900,0.0,0.0
2020-10-20,9.23,9.42,9.21,9.29,4079300,0.0,0.0
2020-10-21,9.25,9.31,9.11,9.26,3221200,0.0,0.0
2020-10-22,9.24,9.64,9.21,9.59,3928700,0.0,0.0
2020-10-23,9.64,9.84,9.48,9.63,3048700,0.0,0.0
2020-10-26,9.53,9.53,9.17,9.3,3235500,0.0,0.0
2020-10-27,9.25,9.37,8.86,8.86,3993000,0.0,0.0
2020-10-28,8.63,8.8,8.53,8.55,4403900,0.0,0.0
2020-10-29,8.5,8.81,8.4,8.72,3599300,0.0,0.0
2020-10-30,8.67,8.79,8.5,8.59,4037100,0.0,0.0
2020-11-02,8.71,8.79,8.55,8.75,5697200,0.0,0.0
2020-11-03,8.96,9.3,8.93,9.22,6880400,0.0,0.0
2020-11-04,9.17,9.18,8.8,8.98,4336300,0.0,0.0
2020-11-05,9.06,9.24,8.84,8.86,4442500,0.0,0.0
2020-11-06,8.93,9.07,8.51,8.59,5107300,0.0,0.0
2020-11-09,9.83,11.69,9.81,11.36,19590900,0.0,0.0
2020-11-10,11.34,12.06,11.32,11.84,13446900,0.0,0.0
2020-11-11,11.66,11.85,11.08,11.84,10056400,0.0,0.0
2020-11-12,11.6,11.75,11.24,11.34,6117700,0.0,0.0
2020-11-13,11.52,12.03,11.51,11.9,4619600,0.0,0.0
2020-11-16,12.67,12.95,12.27,12.75,6197400,0.0,0.0
2020-11-17,12.46,12.73,12.21,12.62,3626300,0.0,0.0
2020-11-18,12.64,12.93,12.17,12.18,4299000,0.0,0.0
2020-11-19,12.1,12.56,11.96,12.54,4688300,0.0,0.0
2020-11-20,12.54,12.6,12.33,12.52,2389400,0.0,0.0
2020-11-23,12.76,13.31,12.73,13.07,4446400,0.0,0.0
2020-11-24,13.36,13.61,12.88,12.92,8199600,0.0,0.0
2020-11-25,12.8,12.94,12.57,12.78,5996800,0.0,0.0
2020-11-27,12.85,12.93,12.55,12.62,1516400,0.0,0.0
2020-11-30,12.53,12.61,12.06,12.09,5826800,0.0,0.0
2020-12-01,12.34,12.58,12.24,12.39,4414200,0.0,0.0
2020-12-02,12.33,12.72,12.21,12.63,2566900,0.0,0.0
2020-12-03,12.72,12.9,12.58,12.72,5189400,0.0,0.0
2020-12-04,12.88,13.14,12.79,13.07,4386100,0.0,0.0
2020-12-07,12.98,12.98,12.57,12.64,3945100,0.0,0.0
2020-12-08,12.44,12.78,12.44,12.54,3280800,0.16,0.0
2020-12-09,12.63,12.72,12.46,12.63,4540600,0.0,0.0
2020-12-10,12.45,12.69,12.45,12.54,4415900,0.0,0.0
2020-12-11,12.44,12.51,12.33,12.48,3892200,0.0,0.0
2020-12-14,12.66,12.84,12.2,12.21,3482400,0.0,0.0
