,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,1.28,1.32,3.37
2024-10-23 20:00:00-04:00,1.21,1.38,14.13
2024-07-30 20:00:00-04:00,1.07,1.09,2.1
2024-04-30 20:00:00-04:00,0.96,0.97,1.42
2024-02-05 19:00:00-05:00,0.91,1.0,9.32
2023-11-06 19:00:00-05:00,0.82,0.88,7.32
2023-08-06 20:00:00-04:00,0.71,0.73,2.41
2023-05-07 20:00:00-04:00,0.74,0.81,10.06
