,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,7.75,8.2,5.79
2024-10-29 20:00:00-04:00,7.05,7.33,3.99
2024-07-23 20:00:00-04:00,6.15,6.6,7.38
2024-04-24 20:00:00-04:00,5.01,5.26,4.92
2024-01-24 19:00:00-05:00,5.91,6.16,4.16
2023-10-24 20:00:00-04:00,5.41,5.74,6.19
2023-07-26 20:00:00-04:00,4.85,5.4,11.25
2023-04-25 20:00:00-04:00,5.32,5.49,3.12
