,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,145.97,147.96,144.23,145.01,2649600,0.0,0.0
2020-02-25,146.47,147.14,138.73,139.05,2046900,0.0,0.0
2020-02-26,140.55,142.11,137.93,138.92,1879300,0.0,0.0
2020-02-27,134.71,139.96,134.2,139.6,3589700,0.0,0.0
2020-02-28,134.03,145.2,134.03,144.99,3695100,0.0,0.0
2020-03-02,145.74,149.98,143.1,149.74,2706400,0.0,0.0
2020-03-03,147.92,150.26,143.74,145.09,2397400,0.0,0.0
2020-03-04,148.18,151.59,145.89,151.59,1493300,0.0,0.0
2020-03-05,147.76,149.87,145.72,147.8,1697000,0.0,0.0
2020-03-06,143.43,147.28,142.9,146.85,1858400,0.0,0.0
2020-03-09,136.76,141.95,136.08,136.7,2815600,0.0,0.0
2020-03-10,140.09,145.98,137.32,145.8,2438500,0.0,0.0
2020-03-11,141.61,143.59,134.53,136.7,2730500,0.0,0.0
2020-03-12,127.57,131.12,118.14,118.25,2672700,0.0,0.0
2020-03-13,125.29,137.49,120.64,137.12,2804300,0.0,0.0
2020-03-16,121.39,132.51,119.03,122.15,2752300,0.0,0.0
2020-03-17,124.39,141.91,118.51,141.14,3213600,0.0,0.0
2020-03-18,124.75,135.01,120.14,124.53,2664600,0.0,0.0
2020-03-19,124.4,127.74,119.57,120.14,1954800,0.0,0.0
2020-03-20,122.35,125.03,106.66,107.55,2632600,0.0,0.0
2020-03-23,107.83,113.84,103.94,109.76,2124900,0.0,0.0
2020-03-24,114.8,128.8,113.19,128.63,2776100,0.0,0.0
2020-03-25,128.02,137.66,126.77,129.67,1703000,0.0,0.0
2020-03-26,132.79,141.94,131.17,141.27,1870400,0.0,0.0
2020-03-27,136.81,138.82,133.3,134.17,2240600,0.0,0.0
2020-03-30,134.01,142.03,133.95,141.04,1623700,0.0,0.0
2020-03-31,142.28,142.28,133.5,135.59,2907200,0.0,0.0
2020-04-01,130.83,133.21,122.3,124.14,1660800,0.0,0.0
2020-04-02,122.22,126.2,121.97,124.93,1346000,0.0,0.0
2020-04-03,123.4,125.45,118.44,120.68,1143700,0.0,0.0
2020-04-06,127.54,140.75,125.39,140.08,1846000,0.0,0.0
2020-04-07,145.36,146.21,138.21,138.92,1454100,0.0,0.0
2020-04-08,141.11,144.46,138.58,143.73,1350000,0.0,0.0
2020-04-09,143.52,148.92,140.07,141.61,1303800,0.0,0.0
2020-04-13,141.02,143.77,139.78,143.46,868300,0.0,0.0
2020-04-14,146.3,153.13,145.09,152.56,1274700,0.0,0.0
2020-04-15,149.21,149.32,142.54,144.53,1278600,0.0,0.0
2020-04-16,149.24,151.63,145.48,147.76,1563000,0.0,0.0
2020-04-17,151.8,153.09,148.84,152.07,998100,0.0,0.0
2020-04-20,149.78,151.25,147.2,147.43,634800,0.0,0.0
2020-04-21,144.74,145.43,139.1,140.16,1284700,0.0,0.0
2020-04-22,145.56,150.32,142.71,149.68,1207500,0.0,0.0
2020-04-23,149.45,151.72,148.1,150.41,1404500,0.0,0.0
2020-04-24,151.85,156.18,149.06,155.57,1492500,0.0,0.0
2020-04-27,157.57,159.64,155.3,156.64,1030500,0.0,0.0
2020-04-28,158.84,161.08,156.54,156.84,1198900,0.0,0.0
2020-04-29,160.29,167.12,158.67,165.91,1518900,0.0,0.0
2020-04-30,164.08,165.37,154.67,154.78,1241400,0.0,0.0
2020-05-01,149.32,149.88,139.33,141.75,2692500,0.0,0.0
2020-05-04,141.19,144.2,139.17,143.38,1473200,0.0,0.0
2020-05-05,147.59,151.58,145.23,146.8,1868900,0.0,0.0
2020-05-06,154.14,159.54,149.47,154.52,2422700,0.0,0.0
2020-05-07,157.88,160.07,154.29,154.55,1682200,0.0,0.0
2020-05-08,157.37,162.61,156.28,161.77,1265400,0.0,0.0
2020-05-11,159.59,160.31,157.79,159.21,1145800,0.0,0.0
2020-05-12,160.57,161.48,156.03,156.18,965300,0.0,0.0
2020-05-13,155.99,159.05,151.55,154.76,1805100,0.0,0.0
2020-05-14,153.33,166.92,149.88,166.73,2683500,0.0,0.0
2020-05-15,159.27,162.67,157.32,158.7,3709900,0.85,0.0
2020-05-18,162.85,164.42,159.98,163.32,1492100,0.0,0.0
2020-05-19,163.23,168.37,162.21,163.52,1074800,0.0,0.0
2020-05-20,166.35,170.81,165.84,168.64,1302600,0.0,0.0
2020-05-21,166.94,168.01,162.9,163.44,1001800,0.0,0.0
2020-05-22,164.71,164.9,161.51,163.98,666400,0.0,0.0
2020-05-26,167.68,170.92,165.58,167.43,1911100,0.0,0.0
2020-05-27,168.83,169.57,159.46,167.51,1659600,0.0,0.0
2020-05-28,168.39,170.82,164.36,165.5,1272000,0.0,0.0
2020-05-29,166.82,168.69,164.52,166.78,1792100,0.0,0.0
2020-06-01,165.87,169.1,164.4,166.78,1085400,0.0,0.0
2020-06-02,166.16,168.29,163.92,168.04,892600,0.0,0.0
2020-06-03,169.51,177.2,169.08,176.35,1659800,0.0,0.0
2020-06-04,175.17,179.26,174.11,176.57,1068700,0.0,0.0
2020-06-05,180.3,186.01,179.46,182.44,1500200,0.0,0.0
2020-06-08,183.52,183.94,178.92,181.86,816400,0.0,0.0
2020-06-09,180.6,182.51,178.81,181.07,776000,0.0,0.0
2020-06-10,182.39,184.83,180.41,182.72,779600,0.0,0.0
2020-06-11,181.34,181.34,170.46,171.16,1460300,0.0,0.0
2020-06-12,176.46,178.51,170.68,175.06,1253100,0.0,0.0
2020-06-15,168.94,178.32,167.37,177.96,1270800,0.0,0.0
