,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,0.52,0.55,6.59
2024-10-22 20:00:00-04:00,0.74,0.77,3.44
2024-07-22 20:00:00-04:00,0.81,0.84,4.27
2024-04-29 20:00:00-04:00,0.7,0.72,3.29
2024-02-12 19:00:00-05:00,0.49,0.49,0.4
2023-10-23 20:00:00-04:00,0.69,0.74,6.62
2023-07-25 20:00:00-04:00,0.72,0.78,8.03
2023-04-23 20:00:00-04:00,0.65,0.68,5.43
