,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,0.26,0.26,0.78
2024-11-06 19:00:00-05:00,0.27,0.28,2.26
2024-08-05 20:00:00-04:00,0.28,0.32,16.19
2024-05-06 20:00:00-04:00,0.26,0.28,9.63
2024-02-07 19:00:00-05:00,0.28,0.31,10.66
2023-10-25 20:00:00-04:00,0.31,0.31,-1.0
2023-07-19 20:00:00-04:00,0.3,0.32,5.96
2023-06-01 20:00:00-04:00,0.32,0.19,-40.62
