,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,110.8,110.95,107.74,109.34,1136000,0.0,0.0
2020-02-24,106.43,107.6,105.03,106.17,1229400,0.0,0.0
2020-02-25,106.27,106.77,101.67,101.81,1291100,0.0,0.0
2020-02-26,102.6,104.31,101.96,103.37,1233100,0.0,0.0
2020-02-27,101.37,101.64,97.96,98.04,1761100,0.0,0.0
2020-02-28,96.11,96.35,93.4,95.74,1684800,0.0,0.0
2020-03-02,97.27,102.67,96.01,102.66,1437600,0.0,0.0
2020-03-03,105.05,106.06,101.65,101.98,1741500,0.0,0.0
2020-03-04,103.67,105.21,101.13,104.77,1027500,0.0,0.0
2020-03-05,102.29,103.53,99.52,100.33,885500,0.0,0.0
2020-03-06,96.76,99.21,94.86,98.57,1250800,0.0,0.0
2020-03-09,91.95,95.67,89.98,90.97,1810300,0.0,0.0
2020-03-10,93.66,95.92,88.53,95.88,1469800,0.0,0.0
2020-03-11,93.01,93.57,88.93,91.38,1424400,0.0,0.0
2020-03-12,84.76,88.54,79.66,80.03,1762900,0.0,0.0
2020-03-13,84.41,85.01,74.91,84.57,1866100,0.34,0.0
2020-03-16,73.79,81.15,71.46,73.04,2061700,0.0,0.0
2020-03-17,74.51,78.94,72.4,76.21,2556000,0.0,0.0
2020-03-18,70.43,75.11,64.14,72.82,1916200,0.0,0.0
2020-03-19,71.53,73.79,69.14,71.08,1344500,0.0,0.0
2020-03-20,72.27,72.7,66.61,67.9,1684800,0.0,0.0
2020-03-23,66.89,70.04,63.68,66.33,1493400,0.0,0.0
2020-03-24,70.57,73.94,69.16,73.47,1107800,0.0,0.0
2020-03-25,74.33,83.16,72.87,80.65,1511500,0.0,0.0
2020-03-26,81.81,87.03,81.49,86.68,1194200,0.0,0.0
2020-03-27,83.58,89.77,83.45,87.5,1369500,0.0,0.0
2020-03-30,87.58,88.8,84.87,87.49,1346100,0.0,0.0
2020-03-31,87.2,90.32,85.4,85.82,1801200,0.0,0.0
2020-04-01,82.5,83.9,80.55,81.61,1054300,0.0,0.0
2020-04-02,81.01,83.44,80.18,83.0,2436400,0.0,0.0
2020-04-03,82.41,83.16,80.61,82.35,1877900,0.0,0.0
2020-04-06,86.46,89.78,85.15,88.86,1148300,0.0,0.0
2020-04-07,92.89,93.52,86.69,86.71,1166700,0.0,0.0
2020-04-08,87.19,90.09,86.76,89.37,979300,0.0,0.0
2020-04-09,90.1,91.99,88.73,89.39,1083800,0.0,0.0
2020-04-13,88.65,88.7,85.19,86.23,1131400,0.0,0.0
2020-04-14,87.84,89.68,86.73,89.5,1597100,0.0,0.0
2020-04-15,87.1,87.9,85.18,86.82,1068500,0.0,0.0
2020-04-16,86.95,87.32,83.93,86.95,1423900,0.0,0.0
