,EPS Estimate,Reported EPS,Surprise(%)
2025-02-05 19:00:00-05:00,3.39,3.45,1.89
2024-10-23 20:00:00-04:00,3.48,3.5,0.47
2024-07-31 20:00:00-04:00,3.78,3.94,4.33
2024-04-24 20:00:00-04:00,3.48,3.68,5.69
2024-02-14 19:00:00-05:00,3.26,3.3,1.31
2023-10-25 20:00:00-04:00,3.33,3.38,1.42
2023-07-26 20:00:00-04:00,3.53,3.8,7.53
2023-04-24 20:00:00-04:00,3.96,3.82,-3.43
2023-02-15 19:00:00-05:00,4.1,4.14,0.9
2022-10-26 20:00:00-04:00,4.67,4.68,0.28
2022-07-27 20:00:00-04:00,4.7,4.95,5.34
2022-04-27 20:00:00-04:00,5.98,6.11,2.23
