,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,4.23,5.6,32.29
2024-10-22 20:00:00-04:00,6.0,6.68,11.37
2024-07-23 20:00:00-04:00,6.57,6.83,3.94
2024-04-23 20:00:00-04:00,3.16,3.47,9.85
2024-01-30 19:00:00-05:00,3.46,3.63,4.87
2023-10-25 20:00:00-04:00,4.78,5.37,12.44
2023-07-26 20:00:00-04:00,5.19,6.15,18.4
2023-04-26 20:00:00-04:00,2.42,2.83,16.8
