,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,204.59,204.88,202.96,203.05,1660100,0.0,0.0
2020-02-24,196.37,197.45,194.92,195.81,2020400,0.0,0.0
2020-02-25,194.53,195.02,186.79,187.53,2743100,0.0,0.0
2020-02-26,189.07,192.43,188.4,189.17,2711200,0.0,0.0
2020-02-27,185.88,189.13,181.25,181.3,3685500,0.0,0.0
2020-02-28,177.45,179.33,172.93,177.64,5555300,0.0,0.0
2020-03-02,177.91,184.42,176.15,184.28,3489600,0.0,0.0
2020-03-03,184.15,187.71,178.87,181.71,4063300,0.0,0.0
2020-03-04,184.51,191.34,183.55,191.14,2755600,0.0,0.0
2020-03-05,184.76,186.39,182.27,183.61,3204300,0.96,0.0
2020-03-06,179.52,180.01,173.57,176.78,4466800,0.0,0.0
2020-03-09,163.57,168.54,161.01,161.76,4822700,0.0,0.0
2020-03-10,164.89,165.77,156.52,164.64,5604100,0.0,0.0
2020-03-11,162.07,165.06,161.21,162.5,4315300,0.0,0.0
2020-03-12,152.67,158.79,146.69,147.65,6340400,0.0,0.0
2020-03-13,162.0,165.52,150.76,164.91,6386900,0.0,0.0
2020-03-16,138.96,152.9,137.08,147.95,7079300,0.0,0.0
2020-03-17,146.47,154.77,145.44,153.12,4956600,0.0,0.0
2020-03-18,143.32,149.65,139.82,147.17,4723900,0.0,0.0
2020-03-19,141.53,148.38,139.04,143.9,4296100,0.0,0.0
2020-03-20,143.98,147.57,138.33,141.37,4699900,0.0,0.0
2020-03-23,139.95,145.16,137.16,140.15,4434000,0.0,0.0
2020-03-24,148.83,155.89,146.69,153.99,3423100,0.0,0.0
2020-03-25,152.36,163.94,150.75,154.45,3258400,0.0,0.0
2020-03-26,158.16,163.51,157.62,162.76,2726000,0.0,0.0
2020-03-27,156.35,159.83,155.3,156.35,2301600,0.0,0.0
2020-03-30,160.95,165.65,159.63,165.19,2480500,0.0,0.0
2020-03-31,161.36,165.61,159.41,161.64,3142300,0.0,0.0
2020-04-01,154.75,157.45,149.7,150.31,3822000,0.0,0.0
2020-04-02,149.64,155.79,148.95,153.32,3369800,0.0,0.0
2020-04-03,152.53,154.87,150.67,151.49,2665700,0.0,0.0
2020-04-06,158.48,165.43,158.39,164.37,3604000,0.0,0.0
2020-04-07,169.62,173.28,166.91,168.13,3097600,0.0,0.0
2020-04-08,168.74,175.13,167.02,174.67,2495400,0.0,0.0
2020-04-09,171.28,177.57,171.22,177.04,3206800,0.0,0.0
2020-04-13,174.21,176.15,171.7,173.89,2087700,0.0,0.0
2020-04-14,176.36,178.38,175.41,177.38,2372800,0.0,0.0
2020-04-15,170.19,171.41,167.55,169.26,2025500,0.0,0.0
2020-04-16,169.86,171.64,167.14,171.11,1806700,0.0,0.0
2020-04-17,175.49,176.5,173.76,176.17,2634400,0.0,0.0
2020-04-20,172.73,177.15,172.3,172.86,1598100,0.0,0.0
2020-04-21,169.74,170.68,165.01,167.14,2010000,0.0,0.0
2020-04-22,169.01,170.88,168.2,169.68,1376400,0.0,0.0
