,EPS Estimate,Reported EPS,Surprise(%)
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,0.76,nan,nan
2024-10-23 20:00:00-04:00,0.89,0.88,-0.77
2024-07-24 20:00:00-04:00,1.03,0.98,-4.89
2024-04-22 20:00:00-04:00,0.95,0.82,-13.65
2024-02-21 19:00:00-05:00,0.76,0.84,10.49
2023-10-25 20:00:00-04:00,0.96,0.86,-10.41
2023-07-26 20:00:00-04:00,1.09,1.09,0.15
2023-04-26 20:00:00-04:00,0.95,1.04,9.22
2023-02-22 19:00:00-05:00,0.86,0.78,-9.04
