,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-08-06 20:00:00-04:00,nan,nan,nan
2025-04-30 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,4.95,5.32,7.52
2024-10-29 20:00:00-04:00,1.47,1.18,-19.54
2024-08-07 20:00:00-04:00,2.6,3.92,50.92
2024-04-29 20:00:00-04:00,2.46,2.58,4.95
2024-02-05 19:00:00-05:00,2.22,2.49,12.22
2023-11-01 20:00:00-04:00,-0.13,0.1,174.32
2023-08-07 20:00:00-04:00,1.98,2.11,6.6
2023-04-26 20:00:00-04:00,1.73,1.62,-6.24
