,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-07-30 20:00:00-04:00,nan,nan,nan
2025-04-23 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,0.72,0.75,4.46
2024-10-31 20:00:00-04:00,1.98,1.88,-4.95
2024-08-01 20:00:00-04:00,2.23,2.24,0.51
2024-04-25 20:00:00-04:00,1.37,1.53,12.08
2024-02-01 19:00:00-05:00,1.31,1.39,5.87
2023-10-26 20:00:00-04:00,2.03,2.46,20.96
2023-08-03 20:00:00-04:00,2.28,2.44,6.89
2023-04-27 20:00:00-04:00,1.74,2.51,44.34
