,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,308.71,320.21,305.14,315.67,7816000,0.0,0.0
2020-02-25,312.43,314.27,292.42,294.49,12715700,0.0,0.0
2020-02-26,293.63,299.35,289.63,289.78,9403300,0.0,0.0
2020-02-27,277.13,289.2,273.15,277.89,13814600,0.0,0.0
2020-02-28,267.27,282.34,265.96,282.2,12846000,0.0,0.0
2020-03-02,290.6,298.45,281.41,298.23,9688100,0.0,0.0
2020-03-03,305.87,305.87,282.77,283.9,8051100,0.0,0.0
2020-03-04,290.82,294.4,284.63,293.98,6463800,0.0,0.0
2020-03-05,287.51,290.43,280.25,282.67,6621300,0.0,0.0
2020-03-06,274.85,280.84,270.89,279.05,7061500,0.0,0.0
2020-03-09,257.65,271.5,253.94,254.74,8498300,0.0,0.0
2020-03-10,268.76,273.08,255.57,272.79,8131400,0.0,0.0
2020-03-11,265.38,266.44,256.01,262.28,8366800,0.0,0.0
2020-03-12,237.75,255.21,234.25,234.8,15031500,0.0,0.0
2020-03-13,251.6,262.54,238.69,262.52,9934900,0.0,0.0
2020-03-16,227.99,250.58,222.9,229.11,12111500,0.0,0.0
2020-03-17,233.81,243.55,225.53,231.28,12665200,0.0,0.0
2020-03-18,216.17,222.75,207.31,221.61,11352800,0.0,0.0
2020-03-19,217.8,231.89,205.68,220.85,9126400,0.0,0.0
2020-03-20,229.47,229.47,204.18,205.56,10518600,0.0,0.0
2020-03-23,197.64,209.7,194.44,197.66,11588700,0.0,0.0
2020-03-24,209.93,231.83,209.04,230.5,11654800,0.0,0.0
2020-03-25,241.03,258.92,233.69,249.37,12642700,0.0,0.0
2020-03-26,250.75,258.44,245.61,255.88,9957900,0.0,0.0
2020-03-27,243.3,248.97,237.91,240.78,7819300,0.0,0.0
2020-03-30,239.03,247.2,237.87,246.23,5765800,0.0,0.0
2020-03-31,245.46,246.39,234.39,234.86,10373900,0.0,0.0
2020-04-01,224.54,230.52,220.8,222.27,6646200,0.0,0.0
