,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,124.88,125.78,124.55,124.84,703100,0.0,0.0
2020-02-24,123.76,125.44,123.12,123.27,728200,0.0,0.0
2020-02-25,123.53,123.96,120.62,120.87,825000,0.0,0.0
2020-02-26,121.06,122.64,120.22,120.24,841800,0.0,0.0
2020-02-27,119.1,120.02,113.31,113.38,1072800,0.0,0.0
2020-02-28,111.1,111.59,106.2,109.2,1818300,0.0,0.0
2020-03-02,110.01,114.58,109.71,114.39,993400,0.0,0.0
2020-03-03,114.62,118.11,113.75,115.97,1181000,0.0,0.0
2020-03-04,118.0,122.61,117.85,122.5,1180100,0.0,0.0
2020-03-05,120.94,122.53,119.57,122.31,917900,0.0,0.0
2020-03-06,119.54,121.28,116.45,121.06,865300,0.0,0.0
2020-03-09,115.73,117.35,113.23,113.46,1198700,0.0,0.0
2020-03-10,115.92,118.39,112.72,118.34,1365700,0.0,0.0
2020-03-11,115.78,116.27,111.28,113.11,1012400,0.0,0.0
2020-03-12,106.85,109.83,99.22,99.36,1357300,0.0,0.0
2020-03-13,104.78,107.27,98.88,106.45,1146900,0.0,0.0
2020-03-16,95.92,98.23,88.61,88.66,1137900,0.0,0.0
2020-03-17,90.96,97.8,86.89,95.61,1353500,0.0,0.0
2020-03-18,89.4,93.47,81.69,84.57,1118400,0.0,0.0
2020-03-19,83.87,86.47,81.25,84.03,855000,0.0,0.0
2020-03-20,84.33,84.78,72.19,73.92,1731900,0.0,0.0
2020-03-23,73.71,73.85,69.27,71.53,1247300,0.0,0.0
2020-03-24,74.61,79.09,72.96,75.34,1483800,0.0,0.0
2020-03-25,74.85,88.88,74.85,82.66,1311900,0.0,0.0
2020-03-26,82.92,87.33,81.27,86.84,1149100,0.0,0.0
2020-03-27,85.97,94.59,84.9,90.9,1287200,0.0,0.0
2020-03-30,91.73,92.3,85.17,90.51,1139700,0.0,0.0
2020-03-31,89.4,91.09,83.95,87.04,2255800,0.0,0.0
2020-04-01,82.96,83.83,78.77,83.42,1274800,0.0,0.0
2020-04-02,81.74,84.29,77.82,79.62,1515100,0.0,0.0
2020-04-03,78.56,81.31,78.09,79.67,1080000,0.0,0.0
2020-04-06,83.98,89.62,83.76,88.94,1144100,0.0,0.0
2020-04-07,93.02,94.76,87.35,87.68,781600,0.0,0.0
2020-04-08,88.4,94.43,86.98,93.72,1048300,0.0,0.0
2020-04-09,94.92,100.95,94.92,98.55,1328700,0.0,0.0
2020-04-13,97.55,98.84,92.96,94.09,818800,0.0,0.0
2020-04-14,96.04,98.76,94.71,97.2,1284000,1.0,0.0
2020-04-15,93.26,94.79,92.07,93.76,871500,0.0,0.0
2020-04-16,94.12,94.41,91.68,92.33,594100,0.0,0.0
2020-04-17,94.68,97.55,94.06,96.76,642500,0.0,0.0
2020-04-20,95.2,96.12,92.46,92.49,593700,0.0,0.0
2020-04-21,90.25,92.84,89.63,91.68,888800,0.0,0.0
2020-04-22,93.06,94.4,91.56,92.33,665900,0.0,0.0
2020-04-23,91.96,92.49,88.85,89.49,696200,0.0,0.0
2020-04-24,90.08,91.3,88.67,90.73,578500,0.0,0.0
2020-04-27,91.22,94.63,90.84,94.35,479700,0.0,0.0
2020-04-28,96.59,98.84,95.46,95.61,821200,0.0,0.0
