,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-10 19:00:00-05:00,2.38,2.45,2.81
2024-11-03 19:00:00-05:00,2.31,2.26,-2.08
2024-07-30 20:00:00-04:00,2.47,2.5,1.09
2024-04-30 20:00:00-04:00,2.17,2.13,-1.62
2024-02-12 19:00:00-05:00,2.12,3.57,68.27
2023-11-01 20:00:00-04:00,2.11,2.11,0.22
2023-07-31 20:00:00-04:00,2.18,2.26,3.76
2023-05-01 20:00:00-04:00,1.84,2.09,13.33
