,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,41.58,41.86,41.46,41.68,2480200,0.0,0.0
2020-02-24,40.61,41.75,40.61,41.61,4675600,0.0,0.0
2020-02-25,41.64,41.73,40.6,40.87,5313600,0.0,0.0
2020-02-26,41.05,41.56,40.7,40.9,5368000,0.0,0.0
2020-02-27,40.2,41.14,39.54,39.76,4975700,0.0,0.0
2020-02-28,38.71,39.24,37.35,38.12,6453800,0.0,0.0
2020-03-02,38.37,40.03,38.27,39.99,4843000,0.0,0.0
2020-03-03,39.85,41.05,39.15,39.83,5081900,0.0,0.0
2020-03-04,40.44,41.75,40.19,41.69,2996900,0.0,0.0
2020-03-05,40.62,41.3,40.07,40.54,3824200,0.0,0.0
2020-03-06,39.38,39.5,37.91,38.84,4037500,0.0,0.0
2020-03-09,36.23,37.12,35.6,36.02,4787400,0.0,0.0
2020-03-10,37.21,37.71,35.32,37.66,4067500,0.0,0.0
2020-03-11,36.78,37.97,36.12,36.47,5334200,0.0,0.0
2020-03-12,34.02,36.85,33.08,34.49,7414400,0.0,0.0
2020-03-13,35.86,36.94,33.96,36.71,6812100,0.0,0.0
2020-03-16,33.49,35.33,32.08,32.42,5932100,0.0,0.0
2020-03-17,33.11,34.69,31.5,33.57,5464800,0.0,0.0
2020-03-18,31.74,32.67,29.81,31.01,4571200,0.0,0.0
2020-03-19,30.7,31.42,29.14,30.06,3639100,0.0,0.0
2020-03-20,30.09,30.09,26.99,27.19,5973400,0.0,0.0
2020-03-23,27.05,27.75,24.94,25.4,6273700,0.0,0.0
2020-03-24,26.49,29.37,26.46,29.17,5726100,0.0,0.0
2020-03-25,29.3,32.61,29.11,31.48,5397000,0.0,0.0
2020-03-26,31.53,33.3,31.45,32.94,5241800,0.0,0.0
2020-03-27,31.66,32.47,30.97,31.97,6443600,0.0,0.0
2020-03-30,32.06,32.81,31.42,32.54,3976600,0.0,0.0
2020-03-31,32.09,32.53,31.68,31.89,5034900,0.0,0.0
2020-04-01,30.51,31.52,30.32,30.63,4561600,0.0,0.0
2020-04-02,30.29,30.9,29.53,30.45,4024800,0.0,0.0
2020-04-03,30.82,30.94,29.69,29.9,4647800,0.0,0.0
2020-04-06,31.56,32.8,31.21,32.64,5637800,0.0,0.0
2020-04-07,34.16,35.32,34.05,34.51,5582700,0.0,0.0
2020-04-08,34.94,36.65,34.71,36.48,4781700,0.0,0.0
2020-04-09,36.73,37.86,36.73,37.37,3166100,0.13,0.0
2020-04-13,37.13,37.18,36.08,36.48,3311000,0.0,0.0
2020-04-14,37.13,37.37,36.18,36.76,3649000,0.0,0.0
2020-04-15,35.63,36.21,35.04,35.39,3293400,0.0,0.0
2020-04-16,35.38,36.36,34.92,36.19,4543600,0.0,0.0
2020-04-17,37.15,37.72,36.12,37.02,4563700,0.0,0.0
2020-04-20,36.32,36.97,35.96,36.15,3190200,0.0,0.0
2020-04-21,35.27,36.12,35.21,35.6,3064100,0.0,0.0
2020-04-22,36.32,36.58,35.61,36.33,3163900,0.0,0.0
2020-04-23,36.74,37.56,36.48,36.73,2995200,0.0,0.0
2020-04-24,36.94,37.25,36.45,37.08,3715600,0.0,0.0
2020-04-27,37.51,38.71,37.43,38.45,2747500,0.0,0.0
2020-04-28,39.05,39.73,38.56,38.62,4198400,0.0,0.0
2020-04-29,40.35,40.67,37.89,38.42,5899800,0.0,0.0
2020-04-30,37.94,38.68,37.81,37.99,4245500,0.0,0.0
2020-05-01,37.16,37.58,36.83,37.07,3075900,0.0,0.0
2020-05-04,36.68,36.97,36.41,36.88,3467200,0.0,0.0
2020-05-05,36.91,38.02,36.91,37.79,4067600,0.0,0.0
2020-05-06,37.95,38.4,37.59,38.22,3098000,0.0,0.0
2020-05-07,38.58,39.2,38.39,38.46,2776000,0.0,0.0
2020-05-08,38.72,39.3,38.72,39.01,3792200,0.0,0.0
2020-05-11,38.53,38.71,38.21,38.46,2398100,0.0,0.0
2020-05-12,38.46,38.6,37.15,37.17,2546200,0.0,0.0
2020-05-13,36.92,37.15,36.3,36.9,3383500,0.0,0.0
2020-05-14,36.42,38.35,36.08,38.32,3682600,0.0,0.0
2020-05-15,37.98,39.67,37.68,39.55,3177600,0.0,0.0
2020-05-18,40.83,41.5,40.71,41.13,5549100,0.0,0.0
2020-05-19,41.2,42.54,41.07,41.81,3446500,0.0,0.0
2020-05-20,42.37,43.63,42.37,42.51,3652300,0.0,0.0
2020-05-21,42.39,42.83,41.57,41.6,3347700,0.0,0.0
2020-05-22,41.78,41.8,41.15,41.49,2935100,0.0,0.0
2020-05-26,42.71,43.79,42.68,43.32,3912800,0.0,0.0
2020-05-27,43.81,44.17,43.04,43.58,4110300,0.0,0.0
2020-05-28,44.31,44.33,43.2,43.35,2353300,0.0,0.0
2020-05-29,42.21,43.32,42.16,43.19,3856800,0.0,0.0
2020-06-01,43.27,43.33,42.8,43.23,2194600,0.0,0.0
2020-06-02,43.44,44.09,43.27,43.97,2972900,0.0,0.0
2020-06-03,44.38,45.22,44.3,44.95,2594800,0.0,0.0
2020-06-04,44.74,44.91,44.14,44.25,3240200,0.0,0.0
2020-06-05,45.36,45.41,44.74,45.02,4219000,0.0,0.0
2020-06-08,44.93,45.56,44.55,44.72,2921500,0.0,0.0
2020-06-09,44.2,44.72,43.98,44.29,2448300,0.0,0.0
2020-06-10,44.32,44.59,43.53,44.21,2522800,0.0,0.0
2020-06-11,42.99,43.48,42.13,42.15,3340400,0.0,0.0
2020-06-12,43.25,43.32,41.32,42.39,2863600,0.0,0.0
2020-06-15,41.42,43.55,41.14,43.54,2850800,0.0,0.0
2020-06-16,45.14,45.56,43.82,44.74,3151000,0.0,0.0
2020-06-17,44.98,45.47,44.7,44.79,3485100,0.0,0.0
2020-06-18,44.68,44.99,44.38,44.68,2951700,0.0,0.0
2020-06-19,45.59,45.59,43.95,44.89,7482200,0.0,0.0
2020-06-22,44.67,45.7,44.2,45.56,3887500,0.0,0.0
2020-06-23,46.12,46.38,45.43,45.45,3314400,0.0,0.0
2020-06-24,45.14,45.52,44.14,44.19,2572600,0.0,0.0
2020-06-25,44.07,45.2,44.05,45.08,3286400,0.0,0.0
2020-06-26,44.99,45.15,44.28,44.71,4512300,0.0,0.0
2020-06-29,45.2,45.79,44.76,45.25,2481400,0.0,0.0
2020-06-30,45.22,46.73,45.0,46.48,3501300,0.0,0.0
2020-07-01,46.7,46.7,45.55,45.96,2276300,0.0,0.0
2020-07-02,46.53,47.18,46.12,46.42,2163100,0.0,0.0
2020-07-06,47.25,47.38,46.36,46.6,2511400,0.0,0.0
2020-07-07,46.37,47.01,46.18,46.31,2116800,0.0,0.0
2020-07-08,46.25,46.8,45.96,46.46,2176200,0.0,0.0
2020-07-09,46.52,46.64,45.77,46.12,1848500,0.13,0.0
2020-07-10,46.28,46.43,45.78,46.23,1674300,0.0,0.0
2020-07-13,46.52,47.32,46.3,46.37,2411500,0.0,0.0
2020-07-14,46.43,47.41,46.22,47.37,3162300,0.0,0.0
2020-07-15,47.9,48.11,47.54,47.83,2431300,0.0,0.0
2020-07-16,47.95,48.64,47.86,48.58,1838500,0.0,0.0
2020-07-17,48.77,49.58,48.62,49.49,2402800,0.0,0.0
2020-07-20,49.29,49.76,49.07,49.59,2167200,0.0,0.0
2020-07-21,49.98,50.12,49.71,50.03,1651800,0.0,0.0
2020-07-22,49.99,51.29,49.94,51.19,1744800,0.0,0.0
2020-07-23,51.39,51.39,50.11,50.4,2341900,0.0,0.0
2020-07-24,50.45,50.48,49.95,50.22,1806500,0.0,0.0
2020-07-27,50.14,52.01,50.14,51.88,2190700,0.0,0.0
2020-07-28,51.52,51.57,50.44,50.57,2514800,0.0,0.0
2020-07-29,50.89,52.45,50.89,52.3,2157800,0.0,0.0
2020-07-30,51.13,53.7,50.95,52.94,2714300,0.0,0.0
2020-07-31,53.1,53.24,52.08,53.06,2861000,0.0,0.0
2020-08-03,53.35,53.8,53.12,53.58,1703600,0.0,0.0
2020-08-04,53.19,53.45,52.88,53.15,2006600,0.0,0.0
2020-08-05,53.51,53.98,52.73,52.99,2177400,0.0,0.0
2020-08-06,53.06,53.39,52.76,53.31,1407800,0.0,0.0
2020-08-07,53.15,54.01,53.15,54.0,1702200,0.0,0.0
2020-08-10,54.0,54.33,53.73,54.15,1665900,0.0,0.0
2020-08-11,54.35,54.44,52.89,53.07,2659400,0.0,0.0
2020-08-12,53.48,54.19,53.31,54.03,1558000,0.0,0.0
2020-08-13,53.77,54.28,53.65,54.04,1630600,0.0,0.0
2020-08-14,53.82,54.23,53.62,53.8,957900,0.0,0.0
2020-08-17,53.95,55.05,53.86,54.94,1265600,0.0,0.0
2020-08-18,55.34,55.79,54.58,54.67,1896100,0.0,0.0
2020-08-19,54.59,54.73,54.16,54.3,1070500,0.0,0.0
2020-08-20,54.03,54.48,53.68,53.84,902100,0.0,0.0
2020-08-21,54.03,54.52,53.84,54.49,1094100,0.0,0.0
2020-08-24,54.8,54.98,54.49,54.83,961700,0.0,0.0
2020-08-25,55.13,55.26,54.6,55.08,1510400,0.0,0.0
2020-08-26,55.28,55.28,54.54,54.86,1280500,0.0,0.0
2020-08-27,55.19,55.19,54.05,54.21,1198700,0.0,0.0
2020-08-28,54.29,54.62,53.94,54.34,1634900,0.0,0.0
2020-08-31,54.49,54.72,53.95,54.12,1800800,0.0,0.0
2020-09-01,54.14,55.13,53.78,55.1,1416900,0.0,0.0
2020-09-02,55.28,55.76,54.56,55.54,1568700,0.0,0.0
2020-09-03,55.39,55.42,52.55,53.06,1757600,0.0,0.0
2020-09-04,53.4,53.64,51.38,52.37,1510800,0.0,0.0
2020-09-08,51.95,52.79,51.5,51.98,1659900,0.0,0.0
2020-09-09,52.5,54.14,52.5,53.79,1670500,0.0,0.0
2020-09-10,53.85,54.3,53.35,53.55,1657600,0.0,0.0
2020-09-11,54.04,54.67,53.76,54.34,1595300,0.0,0.0
2020-09-14,54.8,55.31,54.6,55.14,1821000,0.0,0.0
2020-09-15,55.35,55.58,54.76,54.91,1850700,0.0,0.0
2020-09-16,55.24,55.84,54.68,54.83,2174100,0.0,0.0
2020-09-17,54.16,54.3,52.75,53.42,2749000,0.0,0.0
2020-09-18,53.11,54.3,53.11,53.55,3341000,0.0,0.0
2020-09-21,52.73,52.89,50.96,51.88,2164200,0.0,0.0
2020-09-22,51.98,52.67,51.82,52.52,2451000,0.0,0.0
2020-09-23,52.56,52.62,50.24,50.39,2318600,0.0,0.0
2020-09-24,50.45,51.25,50.2,50.58,3164900,0.0,0.0
2020-09-25,50.24,51.38,50.06,51.05,1874700,0.0,0.0
2020-09-28,51.71,52.93,51.56,52.65,2439000,0.0,0.0
2020-09-29,52.55,52.96,52.02,52.09,1448600,0.0,0.0
2020-09-30,51.27,52.82,50.62,51.18,4448500,0.0,0.0
2020-10-01,51.68,52.12,50.73,51.18,2476300,0.0,0.0
2020-10-02,50.43,51.65,50.4,51.32,1404100,0.0,0.0
2020-10-05,51.89,52.19,51.47,52.05,1408000,0.0,0.0
2020-10-06,52.21,52.25,50.42,50.45,2046400,0.0,0.0
2020-10-07,51.11,52.14,51.05,51.88,1716000,0.0,0.0
2020-10-08,52.27,53.4,52.09,53.36,1745500,0.14,0.0
2020-10-09,53.85,54.37,53.45,53.48,1811900,0.0,0.0
2020-10-12,53.84,54.02,53.32,53.68,2278000,0.0,0.0
2020-10-13,53.67,53.88,52.51,52.77,1786900,0.0,0.0
2020-10-14,53.09,53.61,52.87,52.93,1078900,0.0,0.0
2020-10-15,52.37,53.57,52.35,53.46,959700,0.0,0.0
2020-10-16,53.67,54.48,53.41,53.47,1268700,0.0,0.0
2020-10-19,53.5,53.6,51.82,51.99,1150100,0.0,0.0
2020-10-20,52.39,53.08,52.12,52.28,1444000,0.0,0.0
2020-10-21,52.22,52.98,51.96,52.22,1389800,0.0,0.0
2020-10-22,52.32,52.76,51.57,51.59,1403400,0.0,0.0
2020-10-23,51.87,52.02,50.48,50.96,2142200,0.0,0.0
2020-10-26,50.45,50.54,49.37,50.21,1932700,0.0,0.0
2020-10-27,50.36,50.4,49.2,49.85,2629500,0.0,0.0
2020-10-28,49.54,52.71,49.08,50.04,3158400,0.0,0.0
2020-10-29,50.24,50.63,49.22,50.22,1998000,0.0,0.0
2020-10-30,50.24,50.62,48.52,49.88,2374500,0.0,0.0
2020-11-02,50.41,51.33,50.19,50.94,1802500,0.0,0.0
2020-11-03,51.45,52.42,51.23,52.08,1355200,0.0,0.0
2020-11-04,52.23,54.12,51.72,53.34,1672900,0.0,0.0
2020-11-05,54.16,54.71,53.58,53.67,1384500,0.0,0.0
2020-11-06,53.87,54.19,53.23,54.04,2002800,0.0,0.0
2020-11-09,55.85,55.88,49.99,50.01,3089400,0.0,0.0
2020-11-10,49.9,50.61,49.31,49.85,3255900,0.0,0.0
2020-11-11,50.31,50.96,49.64,50.86,2445900,0.0,0.0
2020-11-12,50.75,51.11,49.97,50.33,1609200,0.0,0.0
2020-11-13,50.67,51.64,50.66,51.32,1331600,0.0,0.0
