,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,163.74,166.09,162.52,164.91,3727200,0.0,0.0
2020-02-24,161.12,163.27,159.44,159.7,6332900,0.0,0.0
2020-02-25,161.28,161.45,154.52,155.16,5059200,0.0,0.0
2020-02-26,156.11,157.37,152.13,153.35,5578100,0.0,0.0
2020-02-27,150.48,151.54,142.43,142.48,5900100,0.0,0.0
2020-02-28,138.68,142.06,133.43,135.28,9285800,0.41,0.0
2020-03-02,136.94,145.57,134.69,145.49,11921100,0.0,0.0
2020-03-03,145.63,149.73,141.0,142.96,18003100,0.0,0.0
2020-03-04,148.06,148.59,144.29,147.28,18687000,0.0,0.0
2020-03-05,144.59,146.25,136.5,140.37,16884200,0.0,0.0
2020-03-06,135.42,140.46,132.61,136.86,22272500,0.0,0.0
2020-03-09,127.94,132.82,117.34,127.65,25015700,0.0,0.0
2020-03-10,130.17,133.55,124.79,133.48,17595400,0.0,0.0
2020-03-11,129.75,135.29,129.02,130.75,9719600,0.0,0.0
2020-03-12,124.5,127.68,116.58,119.97,10738600,0.0,0.0
2020-03-13,127.4,128.61,119.96,128.23,9345300,0.0,0.0
2020-03-16,115.48,125.74,108.91,117.31,9402600,0.0,0.0
2020-03-17,120.43,135.48,116.07,134.91,6674700,0.0,0.0
2020-03-18,127.26,142.3,120.72,131.45,5796000,0.0,0.0
2020-03-19,128.44,135.41,122.19,123.23,3531600,0.0,0.0
2020-03-20,123.7,127.19,115.6,120.88,2993800,0.0,0.0
2020-03-23,119.2,119.88,109.99,111.96,2754100,0.0,0.0
2020-03-24,118.36,122.75,114.77,122.18,3116500,0.0,0.0
2020-03-25,122.08,125.87,116.19,117.27,2491400,0.0,0.0
2020-03-26,119.27,127.71,117.41,127.35,2282200,0.0,0.0
2020-03-27,122.0,124.43,118.94,121.59,9223000,0.0,0.0
2020-03-30,123.08,135.07,123.06,133.5,2538400,0.0,0.0
2020-03-31,128.91,134.09,128.0,130.83,3114200,0.0,0.0
2020-04-01,126.19,130.17,124.92,128.71,1902600,0.0,0.0
2020-04-02,124.66,126.48,117.19,124.97,2926000,0.0,0.0
2020-04-03,123.82,125.74,119.21,121.38,2268000,0.0,0.0
2020-04-06,126.83,131.43,123.94,130.78,2327100,0.0,0.0
2020-04-07,135.42,136.94,127.24,127.76,1988200,0.0,0.0
2020-04-08,127.05,129.82,124.6,127.26,2106500,0.0,0.0
2020-04-09,127.84,131.4,126.34,128.96,1857000,0.0,0.0
2020-04-13,128.6,129.59,124.93,126.73,1604200,0.0,0.0
2020-04-14,131.69,133.26,128.73,133.16,2701700,0.0,0.0
2020-04-15,132.47,134.68,129.04,133.47,2131800,0.0,0.0
2020-04-16,132.21,135.06,130.7,133.59,2213100,0.0,0.0
2020-04-17,136.84,137.12,132.91,136.98,1558300,0.0,0.0
2020-04-20,135.6,137.6,133.74,135.89,899100,0.0,0.0
2020-04-21,133.97,133.97,126.97,128.11,2193100,0.0,0.0
2020-04-22,129.9,132.12,129.9,130.8,1395700,0.0,0.0
2020-04-23,131.34,134.8,130.0,132.1,1023900,0.0,0.0
2020-04-24,132.42,135.6,130.89,135.36,2660500,0.0,0.0
2020-04-27,136.92,139.47,134.85,138.59,1264800,0.0,0.0
2020-04-28,140.26,140.65,135.36,135.77,1966800,0.0,0.0
2020-04-29,137.35,137.83,134.72,135.67,1252800,0.0,0.0
2020-04-30,134.95,137.79,133.53,136.63,2536400,0.0,0.0
2020-05-01,134.58,134.58,128.63,130.29,1071500,0.0,0.0
2020-05-04,129.62,131.77,128.46,131.24,908900,0.0,0.0
2020-05-05,132.98,133.7,128.59,129.18,1705000,0.0,0.0
2020-05-06,130.11,130.74,127.05,127.55,1096000,0.0,0.0
2020-05-07,129.07,131.59,128.67,130.18,1421400,0.0,0.0
2020-05-08,132.0,132.92,130.07,131.52,943100,0.0,0.0
2020-05-11,133.48,137.15,132.62,135.67,1571800,0.0,0.0
2020-05-12,136.56,137.06,130.31,130.36,1627000,0.0,0.0
2020-05-13,129.4,129.64,124.66,125.39,2064200,0.0,0.0
2020-05-14,123.8,125.68,121.54,125.19,1909000,0.0,0.0
2020-05-15,126.59,132.1,126.1,131.99,2173300,0.0,0.0
2020-05-18,135.55,139.14,134.62,138.01,1730600,0.0,0.0
2020-05-19,138.34,141.27,137.89,139.9,1877800,0.0,0.0
2020-05-20,135.52,146.37,134.66,141.57,3224100,0.0,0.0
2020-05-21,140.26,144.51,139.79,141.05,1598100,0.0,0.0
2020-05-22,141.14,145.09,141.12,144.53,902900,0.0,0.0
2020-05-26,147.46,148.68,143.95,144.31,1259700,0.0,0.0
2020-05-27,144.71,150.3,144.71,150.26,1561600,0.0,0.0
2020-05-28,151.6,154.1,150.54,151.73,1573700,0.0,0.0
2020-05-29,152.35,154.27,150.42,153.88,1642300,0.41,0.0
2020-06-01,153.55,155.73,152.87,154.14,991800,0.0,0.0
2020-06-02,154.1,158.42,151.7,158.27,3981800,0.0,0.0
2020-06-03,159.68,159.68,156.26,156.84,1147200,0.0,0.0
2020-06-04,155.54,157.35,153.61,154.71,1558100,0.0,0.0
2020-06-05,156.22,160.06,155.85,156.74,1518200,0.0,0.0
2020-06-08,156.34,160.15,156.19,159.71,1272200,0.0,0.0
2020-06-09,158.49,158.49,155.59,156.33,787100,0.0,0.0
2020-06-10,156.75,156.99,149.71,149.73,1435600,0.0,0.0
2020-06-11,146.91,147.23,140.2,142.14,1570400,0.0,0.0
2020-06-12,145.89,146.54,140.37,143.78,894600,0.0,0.0
2020-06-15,141.44,147.75,140.04,147.14,1856800,0.0,0.0
2020-06-16,151.12,152.85,148.67,151.6,1067500,0.0,0.0
2020-06-17,152.09,152.23,149.53,149.79,780500,0.0,0.0
2020-06-18,148.62,149.59,147.26,148.79,771300,0.0,0.0
2020-06-19,151.45,153.66,150.1,151.97,1502300,0.0,0.0
2020-06-22,151.71,152.73,149.32,150.22,1001200,0.0,0.0
2020-06-23,151.55,151.69,148.79,149.03,1132500,0.0,0.0
2020-06-24,147.95,149.67,144.18,146.02,1008500,0.0,0.0
2020-06-25,145.89,147.2,144.6,146.72,877900,0.0,0.0
2020-06-26,146.05,147.7,142.76,143.74,3726300,0.0,0.0
2020-06-29,144.84,147.72,144.56,147.19,817200,0.0,0.0
