,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,2.59,2.62,1.0
2024-10-21 20:00:00-04:00,2.86,3.21,12.32
2024-07-22 20:00:00-04:00,3.02,3.28,8.76
2024-05-01 20:00:00-04:00,3.04,3.37,11.0
2024-02-12 19:00:00-05:00,2.32,2.19,-5.47
2023-10-24 20:00:00-04:00,2.3,2.43,5.82
2023-07-24 20:00:00-04:00,2.24,2.3,2.52
2023-04-24 20:00:00-04:00,2.2,2.99,36.14
