,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,265.33,265.33,257.93,260.53,961400,0.0,0.0
2020-02-24,253.84,258.02,253.17,255.72,990000,0.56,0.0
2020-02-25,257.39,258.79,248.47,249.74,1090700,0.0,0.0
2020-02-26,250.21,256.87,250.15,250.68,951300,0.0,0.0
2020-02-27,246.67,246.67,234.25,234.41,1993700,0.0,0.0
2020-02-28,227.29,232.1,222.87,230.53,1987700,0.0,0.0
2020-03-02,236.18,249.5,233.02,249.25,1526000,0.0,0.0
2020-03-03,248.01,252.87,239.62,242.86,1734900,0.0,0.0
2020-03-04,246.98,259.65,245.55,258.91,1221400,0.0,0.0
2020-03-05,249.96,254.24,238.93,242.61,1557400,0.0,0.0
2020-03-06,233.02,234.81,222.23,229.03,2197400,0.0,0.0
2020-03-09,209.52,214.88,201.11,202.5,2551400,0.0,0.0
2020-03-10,212.06,218.59,205.43,218.59,2208100,0.0,0.0
2020-03-11,212.17,212.89,198.5,202.9,1611900,0.0,0.0
2020-03-12,192.41,203.73,181.52,185.69,2632300,0.0,0.0
2020-03-13,196.92,205.12,186.84,204.64,2329300,0.0,0.0
2020-03-16,174.8,186.26,172.87,178.06,2856300,0.0,0.0
2020-03-17,181.42,198.26,178.15,194.09,2046600,0.0,0.0
2020-03-18,175.68,179.93,158.69,167.45,2819000,0.0,0.0
2020-03-19,166.69,174.3,159.43,170.87,2610500,0.0,0.0
2020-03-20,173.2,175.76,164.68,168.84,2017300,0.0,0.0
2020-03-23,164.76,174.83,157.69,158.55,1699800,0.0,0.0
2020-03-24,168.32,188.83,165.21,188.0,1404700,0.0,0.0
2020-03-25,185.84,209.28,184.52,198.93,1686800,0.0,0.0
2020-03-26,201.36,218.47,200.84,215.45,1650700,0.0,0.0
2020-03-27,206.82,217.58,206.82,211.47,1305800,0.0,0.0
2020-03-30,213.37,217.37,209.66,213.42,1026900,0.0,0.0
2020-03-31,209.67,213.19,202.42,203.13,1379100,0.0,0.0
2020-04-01,193.94,199.09,187.95,189.73,1455000,0.0,0.0
2020-04-02,187.67,198.78,184.4,198.54,1025200,0.0,0.0
2020-04-03,194.97,201.94,194.95,200.53,1002100,0.0,0.0
2020-04-06,211.86,222.32,208.83,220.09,1429000,0.0,0.0
2020-04-07,228.85,230.48,219.62,219.66,1009500,0.0,0.0
2020-04-08,223.68,225.08,216.4,217.55,1059600,0.0,0.0
2020-04-09,219.82,238.36,219.1,232.11,2129400,0.0,0.0
2020-04-13,229.35,230.5,220.5,221.94,944100,0.0,0.0
2020-04-14,228.82,231.37,225.9,228.35,926900,0.0,0.0
2020-04-15,221.3,224.2,218.77,220.73,989000,0.0,0.0
2020-04-16,221.96,228.58,220.54,225.42,1263900,0.0,0.0
2020-04-17,233.31,237.01,226.18,229.89,1523500,0.0,0.0
2020-04-20,226.32,231.4,225.7,229.99,809400,0.0,0.0
2020-04-21,223.9,225.81,218.74,219.23,807400,0.0,0.0
2020-04-22,224.22,231.94,223.85,230.34,788300,0.0,0.0
2020-04-23,229.76,233.97,227.14,230.5,757900,0.0,0.0
2020-04-24,232.77,236.22,228.24,235.5,1024700,0.0,0.0
2020-04-27,238.9,246.95,238.18,244.48,1032900,0.0,0.0
2020-04-28,250.88,252.97,241.21,242.05,877800,0.0,0.0
2020-04-29,245.31,249.69,243.27,244.89,1203400,0.0,0.0
2020-04-30,231.46,241.57,225.83,234.25,1578300,0.0,0.0
2020-05-01,231.85,233.06,228.7,232.27,780700,0.0,0.0
2020-05-04,229.54,236.16,226.97,235.68,830000,0.0,0.0
2020-05-05,239.21,242.78,236.59,240.56,1106200,0.0,0.0
2020-05-06,241.64,242.18,230.78,231.93,843900,0.0,0.0
2020-05-07,235.81,239.39,234.55,237.89,764100,0.0,0.0
2020-05-08,241.78,243.68,239.87,241.79,576600,0.0,0.0
2020-05-11,239.1,245.14,237.51,243.04,690300,0.0,0.0
2020-05-12,244.89,247.1,240.58,240.58,655700,0.0,0.0
2020-05-13,239.03,243.37,234.62,237.92,751800,0.0,0.0
2020-05-14,234.9,244.25,233.51,243.82,1117900,0.0,0.0
2020-05-15,247.92,251.04,239.36,241.36,2691200,0.0,0.0
2020-05-18,246.83,252.2,246.31,249.53,1125100,0.0,0.0
2020-05-19,249.56,251.49,244.03,244.4,958300,0.56,0.0
2020-05-20,248.31,250.08,245.89,246.66,740600,0.0,0.0
2020-05-21,246.05,246.82,242.57,244.25,1228500,0.0,0.0
2020-05-22,246.19,248.79,242.65,247.19,384500,0.0,0.0
2020-05-26,253.15,253.89,249.38,249.96,805800,0.0,0.0
2020-05-27,253.52,253.81,245.81,249.08,806100,0.0,0.0
2020-05-28,251.21,258.57,249.47,254.86,1249400,0.0,0.0
2020-05-29,255.98,258.07,252.28,257.38,1245800,0.0,0.0
2020-06-01,259.53,267.56,259.53,266.65,988600,0.0,0.0
2020-06-02,266.76,267.32,263.11,266.07,1034000,0.0,0.0
2020-06-03,269.1,272.86,266.54,271.98,764900,0.0,0.0
2020-06-04,269.5,271.52,263.4,265.68,780300,0.0,0.0
2020-06-05,270.91,273.0,267.34,269.2,990900,0.0,0.0
2020-06-08,265.82,271.3,263.09,271.24,1089800,0.0,0.0
2020-06-09,266.61,268.63,264.39,264.67,946400,0.0,0.0
2020-06-10,266.35,270.09,263.66,266.42,683700,0.0,0.0
2020-06-11,261.07,261.07,248.08,248.59,901100,0.0,0.0
2020-06-12,256.34,258.1,250.25,256.97,805800,0.0,0.0
2020-06-15,252.17,261.42,250.74,260.08,609600,0.0,0.0
2020-06-16,268.9,269.29,258.67,264.25,596100,0.0,0.0
2020-06-17,264.87,267.75,263.62,264.71,362100,0.0,0.0
2020-06-18,263.92,266.2,262.5,264.58,369500,0.0,0.0
2020-06-19,269.33,271.23,262.6,264.91,784900,0.0,0.0
2020-06-22,264.57,266.56,262.46,266.2,495200,0.0,0.0
2020-06-23,268.76,269.61,265.5,266.64,405900,0.0,0.0
2020-06-24,263.72,264.46,254.4,255.57,825600,0.0,0.0
2020-06-25,256.11,266.1,252.87,265.81,642400,0.0,0.0
