,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 19:00:00-05:00,nan,nan,nan
2025-09-28 20:00:00-04:00,nan,nan,nan
2025-06-24 20:00:00-04:00,nan,nan,nan
2025-03-23 20:00:00-04:00,nan,nan,nan
2025-01-22 19:00:00-05:00,0.77,0.8,4.17
2024-09-30 20:00:00-04:00,0.68,0.83,22.51
2024-06-26 20:00:00-04:00,0.59,0.69,17.61
2024-03-25 20:00:00-04:00,0.58,0.63,8.98
2024-01-24 19:00:00-05:00,0.79,0.85,7.25
2023-10-02 20:00:00-04:00,0.65,0.65,-0.54
2023-06-28 20:00:00-04:00,0.57,0.6,5.08
2023-03-27 20:00:00-04:00,0.51,0.59,15.23
