,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,248.24,248.26,242.08,242.64,725200,0.0,0.0
2020-02-24,236.55,241.74,232.56,240.77,853400,0.0,0.0
2020-02-25,239.96,240.84,230.54,230.78,802200,0.0,0.0
2020-02-26,231.99,233.84,224.6,226.49,1021100,0.0,0.0
2020-02-27,223.8,230.1,221.93,222.91,819000,0.0,0.0
2020-02-28,218.4,221.99,216.03,220.11,1117700,0.55,0.0
2020-03-02,220.61,229.41,220.24,229.17,891300,0.0,0.0
2020-03-03,235.36,237.68,229.28,231.15,879900,0.0,0.0
2020-03-04,234.16,244.9,231.56,244.51,816100,0.0,0.0
2020-03-05,238.31,241.15,230.27,235.67,720600,0.0,0.0
2020-03-06,229.04,232.46,225.37,230.96,629400,0.0,0.0
2020-03-09,208.95,219.14,204.46,206.26,1032600,0.0,0.0
2020-03-10,210.89,212.81,200.12,210.28,880400,0.0,0.0
2020-03-11,205.41,206.7,197.74,199.77,801300,0.0,0.0
2020-03-12,183.8,194.81,179.65,179.66,875100,0.0,0.0
2020-03-13,187.23,191.94,179.09,191.78,850000,0.0,0.0
2020-03-16,175.39,183.1,165.4,165.8,1073200,0.0,0.0
2020-03-17,169.14,171.54,156.57,167.03,1072600,0.0,0.0
2020-03-18,160.37,164.27,130.67,144.93,1507300,0.0,0.0
2020-03-19,145.02,165.96,136.62,162.75,971400,0.0,0.0
2020-03-20,164.45,167.17,145.11,148.61,1372300,0.0,0.0
2020-03-23,148.98,148.98,136.52,139.42,1052600,0.0,0.0
2020-03-24,146.46,158.69,144.46,155.19,992500,0.0,0.0
2020-03-25,154.27,185.01,152.66,176.13,1620500,0.0,0.0
2020-03-26,178.91,188.56,178.03,188.56,1004600,0.0,0.0
2020-03-27,182.5,185.45,173.04,175.31,911200,0.0,0.0
2020-03-30,177.13,177.13,169.77,173.66,885800,0.0,0.0
2020-03-31,171.03,189.67,169.34,183.06,2338700,0.0,0.0
2020-04-01,176.25,189.11,175.1,180.05,1463100,0.0,0.0
2020-04-02,180.42,183.15,170.27,174.47,1267500,0.0,0.0
2020-04-03,173.45,173.64,156.74,163.98,1325000,0.0,0.0
2020-04-06,169.75,173.34,167.05,171.19,1348300,0.0,0.0
2020-04-07,177.74,189.37,175.44,179.37,945700,0.0,0.0
2020-04-08,180.09,191.55,177.93,190.35,778100,0.0,0.0
2020-04-09,193.29,207.5,193.29,201.4,1024800,0.0,0.0
2020-04-13,199.98,199.98,190.33,191.12,516400,0.0,0.0
